complex_id,avg_correlation,num_proteins,num_pairs,proteins_used
Replication_protein_A_complex,0.21037967644443561,2,1,"['OG6_101316', 'OG6_102423']"
U1_small_nuclear_ribonucleoprotein_complex,0.04200466867842565,9,21,"['OG6_100753', 'OG6_104156', 'OG6_101868', 'OG6_102085', 'OG6_102196', 'OG6_102349', 'OG6_104156', 'OG6_102323', 'OG6_103514']"
U6_small_nuclear_ribonucleoprotein_complex,0.27678047201138295,8,28,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102771', 'OG6_103012', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
U4/U6.U5_tri-small_nuclear_ribonucleoprotein_complex,0.11405589668196045,22,231,"['OG6_102682', 'OG6_102752', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103409', 'OG6_101868', 'OG6_102392', 'OG6_103447', 'OG6_102085', 'OG6_102786', 'OG6_102771', 'OG6_102494', 'OG6_102418', 'OG6_102196', 'OG6_101597', 'OG6_102616', 'OG6_102323', 'OG6_102118', 'OG6_102797', 'OG6_103136', 'OG6_103596']"
U2_small_nuclear_ribonucleoprotein_complex,0.013159254156135308,15,105,"['OG6_102364', 'OG6_101868', 'OG6_102431', 'OG6_100753', 'OG6_102085', 'OG6_103002', 'OG6_101702', 'OG6_102631', 'OG6_102196', 'OG6_102282', 'OG6_102496', 'OG6_102323', 'OG6_102158', 'OG6_102567', 'OG6_102421']"
U5_small_nuclear_ribonucleoprotein_complex,0.0724695984394252,10,45,"['OG6_102682', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103383', 'OG6_101868', 'OG6_102085', 'OG6_102196', 'OG6_102323', 'OG6_102797']"
"U5_small_nuclear_ribonucleoprotein_complex,_AAR2_variant",0.03954927970099485,5,10,"['OG6_101765', 'OG6_101868', 'OG6_102085', 'OG6_102196', 'OG6_102323']"
U4_small_nuclear_ribonucleoprotein_complex,-0.016031875981080856,6,15,"['OG6_102752', 'OG6_101868', 'OG6_102085', 'OG6_102196', 'OG6_102616', 'OG6_102323']"
U4/U6_small_nuclear_ribonucleoprotein_complex,0.14510672867221389,14,91,"['OG6_102752', 'OG6_103409', 'OG6_101868', 'OG6_102392', 'OG6_103447', 'OG6_102085', 'OG6_102771', 'OG6_102494', 'OG6_102418', 'OG6_102196', 'OG6_101597', 'OG6_102616', 'OG6_102323', 'OG6_102118']"
Sm_complex,-0.03201575189695996,4,6,"['OG6_101868', 'OG6_102085', 'OG6_102196', 'OG6_102323']"
LSM2-8_complex,0.39343114834698495,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102771', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM1-7_complex,0.5155872016710191,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102846', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM2-7_complex,0.46882058354400286,6,15,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM1-7-PAT1_complex,0.5155872016710191,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102846', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
HIR_complex,0.06476957880020222,3,3,"['OG6_103167', 'OG6_143630', 'OG6_127207']"
MICOS_mitochondrial_contact_site_and_cristae_organizing_system_complex,-0.026315789473684216,2,1,"['OG6_103871', 'OG6_115066']"
FZO1-MGM1-UGO1_complex,0.5414816185042066,2,1,"['OG6_114251', 'OG6_112063']"
Snf1_protein_kinase_complex_variant_GAL83,0.1301187630104789,3,3,"['OG6_100252', 'OG6_101734', 'OG6_101253']"
Snf1_protein_kinase_complex_variant_SIP1,-0.09224585191261186,2,1,"['OG6_100252', 'OG6_101734']"
FAL1-SGD1_complex,0.1316544585699126,2,1,"['OG6_102915', 'OG6_101114']"
"GID_E3_ubiquitin_ligase_complex,_GID4_variant",0.0708184074880302,4,6,"['OG6_104071', 'OG6_102654', 'OG6_103231', 'OG6_102297']"
Endoplasmic_Reticulum_Membrane_Complex,0.6137057105937213,2,1,"['OG6_102462', 'OG6_102473']"
Glutathione_hydrolase_complex,-0.04441413139601853,2,1,"['OG6_100503', 'OG6_106702']"
CLB1-CDC28_kinase_complex,0.5585812268712465,2,1,"['OG6_100334', 'OG6_100199']"
CLB3-CDC28_kinase_complex,0.5585812268712465,2,1,"['OG6_100334', 'OG6_100199']"
CLB4-CDC28_kinase_complex,0.5585812268712465,2,1,"['OG6_100334', 'OG6_100199']"
CLN2-CDC28_kinase_complex,0.0900937462695559,2,1,"['OG6_100334', 'OG6_222615']"
ATG2-ATG18_complex,0.16428571428571426,2,1,"['OG6_103112', 'OG6_102791']"
TAH18-DRE2_complex,-0.04394808402890489,2,1,"['OG6_102453', 'OG6_100390']"
Coenzyme_A-synthesizing_protein_complex,-0.036815811047934265,4,6,"['OG6_100772', 'OG6_102247', 'OG6_101466', 'OG6_101308']"
"Elongation_Factor_eEF1_complex,_variant_TEF4",0.2822313348981027,3,3,"['OG6_100227', 'OG6_101695', 'OG6_101050']"
PAN1_actin_cytoskeleton-regulatory_complex,0.19113834530435683,3,3,"['OG6_113577', 'OG6_113608', 'OG6_123057']"
Eukaryotic_translation_initiation_factor_2_complex,0.8525771579885417,2,1,"['OG6_101220', 'OG6_101121']"
Eukaryotic_translation_initiation_factor_2B_complex,0.2351585343679814,3,3,"['OG6_102755', 'OG6_101847', 'OG6_102141']"
"Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4631",0.48517412809535804,3,3,"['OG6_100627', 'OG6_101294', 'OG6_111107']"
"Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4632",0.48517412809535804,3,3,"['OG6_100627', 'OG6_101294', 'OG6_111107']"
ERF1-ERF3_translation_release_factor_complex,-0.13813967137408228,2,1,"['OG6_101550', 'OG6_100994']"
TOM40_mitochondrial_outer_membrane_translocase_holocomplex,0.19051767055655255,3,3,"['OG6_104251', 'OG6_104980', 'OG6_111918']"
Adaptor_complex_AP-1,-0.054054054054054064,3,3,"['OG6_100684', 'OG6_101263', 'OG6_101228']"
Adaptor_complex_AP-1R,-0.0841088976308993,3,3,"['OG6_100684', 'OG6_499970', 'OG6_101228']"
Adapter_complex_AP-2,-0.043161827564841826,3,3,"['OG6_100684', 'OG6_101447', 'OG6_102766']"
Adapter_complex_AP-3,-0.06711560552140244,2,1,"['OG6_101595', 'OG6_102126']"
cAMP-dependent_protein_kinase_complex_variant_1,0.5035227813804695,2,1,"['OG6_100326', 'OG6_100449']"
cAMP-dependent_protein_kinase_complex_variant_2,0.5035227813804695,2,1,"['OG6_100326', 'OG6_100449']"
DNA_replication_factor_C_complex,0.37595815966025536,4,1,"['OG6_102480', 'OG6_100321', 'OG6_101059', 'OG6_100321']"
NDC80_complex,-0.05405405405405406,2,1,"['OG6_103226', 'OG6_116989']"
Mitochondrial_isocitrate_dehydrogenase_complex_(NAD+),0.6103584186948385,2,1,"['OG6_100541', 'OG6_101342']"
Mitochondrial_respiratory_chain_complex_II,0.450065560191784,3,3,"['OG6_100664', 'OG6_103173', 'OG6_100447']"
Mitochondrial_respiratory_chain_complex_III,0.048343332880694444,6,15,"['OG6_102683', 'OG6_103572', 'OG6_102032', 'OG6_103720', 'OG6_104587', 'OG6_115933']"
Chromatin_assembly_factor_1_complex,-0.0761192244180079,2,1,"['OG6_101102', 'OG6_102357']"
cAMP-dependent_protein_kinase_complex_variant_3,0.5035227813804695,2,1,"['OG6_100326', 'OG6_100449']"
