complex_id,avg_correlation,num_proteins,num_pairs,proteins_used
Replication_protein_A_complex,0.714775400790221,2,1,"['OG6_101316', 'OG6_102423']"
U1_small_nuclear_ribonucleoprotein_complex,0.48125519168039516,14,66,"['OG6_100753', 'OG6_101966', 'OG6_104156', 'OG6_101868', 'OG6_102408', 'OG6_102085', 'OG6_500388', 'OG6_102196', 'OG6_102296', 'OG6_102349', 'OG6_102452', 'OG6_104156', 'OG6_102323', 'OG6_103514']"
U6_small_nuclear_ribonucleoprotein_complex,0.44993173329001274,8,28,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102771', 'OG6_103012', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
U4/U6.U5_tri-small_nuclear_ribonucleoprotein_complex,0.07974558449651781,24,276,"['OG6_102682', 'OG6_102752', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103409', 'OG6_101116', 'OG6_101868', 'OG6_102392', 'OG6_103447', 'OG6_102408', 'OG6_102085', 'OG6_102771', 'OG6_102494', 'OG6_102418', 'OG6_102196', 'OG6_101597', 'OG6_102452', 'OG6_102616', 'OG6_102323', 'OG6_102118', 'OG6_102797', 'OG6_103136', 'OG6_103596']"
U2_small_nuclear_ribonucleoprotein_complex,0.17671611774592258,18,153,"['OG6_103168', 'OG6_102364', 'OG6_102246', 'OG6_101868', 'OG6_102408', 'OG6_102431', 'OG6_100753', 'OG6_102085', 'OG6_103002', 'OG6_101702', 'OG6_102196', 'OG6_102452', 'OG6_102282', 'OG6_102496', 'OG6_102323', 'OG6_102158', 'OG6_102567', 'OG6_102421']"
U5_small_nuclear_ribonucleoprotein_complex,0.23616180988735783,12,66,"['OG6_102682', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103383', 'OG6_101868', 'OG6_102408', 'OG6_102085', 'OG6_102196', 'OG6_102452', 'OG6_102323', 'OG6_102797']"
"U5_small_nuclear_ribonucleoprotein_complex,_AAR2_variant",0.5730245784324762,8,28,"['OG6_103436', 'OG6_101765', 'OG6_101868', 'OG6_102408', 'OG6_102085', 'OG6_102196', 'OG6_102452', 'OG6_102323']"
U4_small_nuclear_ribonucleoprotein_complex,0.296253444606019,9,36,"['OG6_102752', 'OG6_101116', 'OG6_101868', 'OG6_102408', 'OG6_102085', 'OG6_102196', 'OG6_102452', 'OG6_102616', 'OG6_102323']"
U4/U6_small_nuclear_ribonucleoprotein_complex,0.13507211277805958,17,136,"['OG6_102752', 'OG6_103409', 'OG6_101116', 'OG6_101868', 'OG6_102392', 'OG6_103447', 'OG6_102408', 'OG6_102085', 'OG6_102771', 'OG6_102494', 'OG6_102418', 'OG6_102196', 'OG6_101597', 'OG6_102452', 'OG6_102616', 'OG6_102323', 'OG6_102118']"
Sm_complex,0.8109326547715271,6,15,"['OG6_101868', 'OG6_102408', 'OG6_102085', 'OG6_102196', 'OG6_102452', 'OG6_102323']"
LSM2-8_complex,0.5862783673245794,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102771', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM1-7_complex,0.4907897037726453,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102846', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM2-7_complex,0.5389839400943651,6,15,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM1-7-PAT1_complex,0.4603445376135563,8,28,"['OG6_111832', 'OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102846', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
HIR_complex,0.01953125,2,1,"['OG6_103167', 'OG6_127207']"
MICOS_mitochondrial_contact_site_and_cristae_organizing_system_complex,0.07366558042452447,4,6,"['OG6_103871', 'OG6_118306', 'OG6_115066', 'OG6_103551']"
FZO1-MGM1-UGO1_complex,0.020105729687870444,3,3,"['OG6_114251', 'OG6_112063', 'OG6_112510']"
Dehydrodolichyl_diphosphate_synthase_complex_variant_RER2,0.17233696556464517,2,1,"['OG6_100493', 'OG6_104306']"
Dehydrodolichyl_diphosphate_synthase_complex_variant_SRT1,0.17233696556464517,2,1,"['OG6_100493', 'OG6_104306']"
Snf1_protein_kinase_complex_variant_GAL83,0.5614185873025078,3,3,"['OG6_100252', 'OG6_101734', 'OG6_101253']"
Snf1_protein_kinase_complex_variant_SIP1,0.6503900674640851,2,1,"['OG6_100252', 'OG6_101734']"
FAL1-SGD1_complex,-0.08852644282606927,2,1,"['OG6_102915', 'OG6_101114']"
"GID_E3_ubiquitin_ligase_complex,_GID4_variant",0.023946068760281512,6,15,"['OG6_102395', 'OG6_104071', 'OG6_102654', 'OG6_103231', 'OG6_102407', 'OG6_102297']"
Endoplasmic_Reticulum_Membrane_Complex,-0.027438146475629973,3,3,"['OG6_102462', 'OG6_102350', 'OG6_102320']"
Glutathione_hydrolase_complex,-0.08084625105575854,2,1,"['OG6_100503', 'OG6_106702']"
CLB1-CDC28_kinase_complex,0.20943566829228677,2,1,"['OG6_100334', 'OG6_100199']"
CLB3-CDC28_kinase_complex,0.20943566829228677,2,1,"['OG6_100334', 'OG6_100199']"
CLB4-CDC28_kinase_complex,0.20943566829228677,2,1,"['OG6_100334', 'OG6_100199']"
CLN2-CDC28_kinase_complex,0.021312462224924195,3,3,"['OG6_100334', 'OG6_222615', 'OG6_100899']"
ATG2-ATG18_complex,-0.054497459638575135,2,1,"['OG6_103112', 'OG6_102791']"
CBP3-CBP6_complex,0.1537501371980973,2,1,"['OG6_107653', 'OG6_103736']"
TAH18-DRE2_complex,0.4398550316484391,2,1,"['OG6_102453', 'OG6_100390']"
Coenzyme_A-synthesizing_protein_complex,-0.04896237193208335,4,6,"['OG6_100772', 'OG6_102247', 'OG6_101466', 'OG6_101308']"
Glutamyl-tRNA(Gln)_amidotransferase_complex,-0.04473153198926533,2,1,"['OG6_101213', 'OG6_101205']"
Glucosidase_II_complex,0.36853389760637756,2,1,"['OG6_100592', 'OG6_102618']"
ELG1-RFC_complex_,0.20580183490753692,5,3,"['OG6_102480', 'OG6_100321', 'OG6_100321', 'OG6_101335', 'OG6_129948']"
"Elongation_Factor_eEF1_complex,_variant_TEF4",0.43911254847603726,3,3,"['OG6_100227', 'OG6_101695', 'OG6_101050']"
PAN1_actin_cytoskeleton-regulatory_complex,0.14460445817890547,3,3,"['OG6_113577', 'OG6_113608', 'OG6_123057']"
Eukaryotic_translation_initiation_factor_2_complex,0.6741808353339317,2,1,"['OG6_101265', 'OG6_101121']"
Eukaryotic_translation_initiation_factor_2B_complex,-0.05201188215007378,5,10,"['OG6_102755', 'OG6_101847', 'OG6_102141', 'OG6_101778', 'OG6_102470']"
"Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4631",0.5662584263314683,3,3,"['OG6_100627', 'OG6_101294', 'OG6_111107']"
"Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4632",0.5662584263314683,3,3,"['OG6_100627', 'OG6_101294', 'OG6_111107']"
ERF1-ERF3_translation_release_factor_complex,0.05844285440640059,2,1,"['OG6_101550', 'OG6_100994']"
DOM34-HBS1_ribosome_dissociation_complex,0.2761099990451438,2,1,"['OG6_103149', 'OG6_101450']"
TOM40_mitochondrial_outer_membrane_translocase_holocomplex,0.2035798063387729,3,3,"['OG6_104251', 'OG6_101593', 'OG6_104980']"
Adaptor_complex_AP-1,0.6519384471961441,4,6,"['OG6_100926', 'OG6_100684', 'OG6_101263', 'OG6_101228']"
Adaptor_complex_AP-1R,0.2910125726095995,4,6,"['OG6_100926', 'OG6_100684', 'OG6_499970', 'OG6_101228']"
Adapter_complex_AP-2,0.10001358647330766,4,6,"['OG6_100684', 'OG6_101447', 'OG6_102766', 'OG6_102976']"
Adapter_complex_AP-3,-0.0085063841192518,3,3,"['OG6_101595', 'OG6_102376', 'OG6_102126']"
cAMP-dependent_protein_kinase_complex_variant_1,0.6162646681189233,2,1,"['OG6_100326', 'OG6_100449']"
cAMP-dependent_protein_kinase_complex_variant_2,0.6162646681189233,2,1,"['OG6_100326', 'OG6_100449']"
DNA_replication_factor_C_complex,0.014827101037730933,5,3,"['OG6_102480', 'OG6_100321', 'OG6_101059', 'OG6_100321', 'OG6_101335']"
NDC80_complex,0.054870582127570296,3,3,"['OG6_103846', 'OG6_103226', 'OG6_116989']"
Mitochondrial_isocitrate_dehydrogenase_complex_(NAD+),0.969338900575153,2,1,"['OG6_100541', 'OG6_101342']"
Mitochondrial_respiratory_chain_complex_II,0.10686303989412865,4,6,"['OG6_100664', 'OG6_103173', 'OG6_103841', 'OG6_100447']"
Mitochondrial_respiratory_chain_complex_III,0.03392883400597801,6,15,"['OG6_102683', 'OG6_102032', 'OG6_109499', 'OG6_103720', 'OG6_101749', 'OG6_105128']"
Chromatin_assembly_factor_1_complex,-0.10968228810336128,2,1,"['OG6_101102', 'OG6_102357']"
cAMP-dependent_protein_kinase_complex_variant_3,0.6162646681189233,2,1,"['OG6_100326', 'OG6_100449']"
Tec1/Ste12/Dig1_transcription_regulation_complex,-0.03859019663395365,2,1,"['OG6_110016', 'OG6_127159']"
Carbamoyl-phosphate_synthase_arginine-specific,0.4747476460786027,2,1,"['OG6_100435', 'OG6_103680']"
mRNA_capping_enzyme_complex,0.8329629044813094,2,1,"['OG6_111222', 'OG6_101990']"
Calcineurin_complex_variant_1,0.5581493093040082,2,1,"['OG6_100566', 'OG6_101614']"
Calcineurin_complex_variant_2,0.5581493093040082,2,1,"['OG6_100566', 'OG6_101614']"
"Nuclear/nucleolar_exosome_complex,_DIS3-RRP6_variant",0.6430242771435162,11,36,"['OG6_100420', 'OG6_101400', 'OG6_101074', 'OG6_102545', 'OG6_103234', 'OG6_101821', 'OG6_100420', 'OG6_101226', 'OG6_102463', 'OG6_101473', 'OG6_129058']"
