complex_id,avg_correlation,num_proteins,num_pairs,proteins_used
Replication_protein_A_complex,-0.09380818535823959,2,1,"['OG6_101316', 'OG6_102423']"
U1_small_nuclear_ribonucleoprotein_complex,0.07409027445592262,10,28,"['OG6_100753', 'OG6_104156', 'OG6_102408', 'OG6_102085', 'OG6_500388', 'OG6_102296', 'OG6_102452', 'OG6_104156', 'OG6_102323', 'OG6_103514']"
U6_small_nuclear_ribonucleoprotein_complex,0.18434481304475683,8,28,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102771', 'OG6_103012', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
U4/U6.U5_tri-small_nuclear_ribonucleoprotein_complex,0.0964752179779468,22,231,"['OG6_102682', 'OG6_102752', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103409', 'OG6_101116', 'OG6_102392', 'OG6_103447', 'OG6_102408', 'OG6_102085', 'OG6_102771', 'OG6_102494', 'OG6_102418', 'OG6_101597', 'OG6_102452', 'OG6_102616', 'OG6_102323', 'OG6_102118', 'OG6_102797', 'OG6_103136', 'OG6_103596']"
U2_small_nuclear_ribonucleoprotein_complex,0.03300216856215617,12,66,"['OG6_102364', 'OG6_102408', 'OG6_100753', 'OG6_102085', 'OG6_103002', 'OG6_101702', 'OG6_102452', 'OG6_102282', 'OG6_102496', 'OG6_102323', 'OG6_102158', 'OG6_102421']"
U5_small_nuclear_ribonucleoprotein_complex,0.08364508204942875,10,45,"['OG6_102682', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103383', 'OG6_102408', 'OG6_102085', 'OG6_102452', 'OG6_102323', 'OG6_102797']"
"U5_small_nuclear_ribonucleoprotein_complex,_AAR2_variant",0.1149346650305131,6,15,"['OG6_103436', 'OG6_101765', 'OG6_102408', 'OG6_102085', 'OG6_102452', 'OG6_102323']"
U4_small_nuclear_ribonucleoprotein_complex,0.15514774042420504,7,21,"['OG6_102752', 'OG6_101116', 'OG6_102408', 'OG6_102085', 'OG6_102452', 'OG6_102616', 'OG6_102323']"
U4/U6_small_nuclear_ribonucleoprotein_complex,0.16475564570030457,15,105,"['OG6_102752', 'OG6_103409', 'OG6_101116', 'OG6_102392', 'OG6_103447', 'OG6_102408', 'OG6_102085', 'OG6_102771', 'OG6_102494', 'OG6_102418', 'OG6_101597', 'OG6_102452', 'OG6_102616', 'OG6_102323', 'OG6_102118']"
Sm_complex,0.13993811393603803,4,6,"['OG6_102408', 'OG6_102085', 'OG6_102452', 'OG6_102323']"
LSM2-8_complex,0.28937665072580027,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102771', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM1-7_complex,0.35346660171040156,7,21,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102846', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM2-7_complex,0.29998883499572704,6,15,"['OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
LSM1-7-PAT1_complex,0.31830955846177506,8,28,"['OG6_111832', 'OG6_103409', 'OG6_102392', 'OG6_103447', 'OG6_102846', 'OG6_102418', 'OG6_101597', 'OG6_102118']"
HIR_complex,-0.07250184882071772,2,1,"['OG6_103167', 'OG6_127207']"
MICOS_mitochondrial_contact_site_and_cristae_organizing_system_complex,0.10475781634846554,3,3,"['OG6_103871', 'OG6_118306', 'OG6_115066']"
Bub1-Bub3_complex,0.2794183069695188,2,1,"['OG6_102928', 'OG6_103677']"
FZO1-MGM1-UGO1_complex,-0.08092778889495006,3,3,"['OG6_114251', 'OG6_112063', 'OG6_112510']"
Snf1_protein_kinase_complex_variant_GAL83,-0.08672155982045017,3,3,"['OG6_100252', 'OG6_101734', 'OG6_101253']"
Snf1_protein_kinase_complex_variant_SIP1,-0.09097816785925637,2,1,"['OG6_100252', 'OG6_101734']"
FAL1-SGD1_complex,0.11598150010653684,2,1,"['OG6_102915', 'OG6_101114']"
"GID_E3_ubiquitin_ligase_complex,_GID4_variant",0.008102336892069005,6,15,"['OG6_102395', 'OG6_104071', 'OG6_102654', 'OG6_103231', 'OG6_102407', 'OG6_102297']"
Endoplasmic_Reticulum_Membrane_Complex,0.015076364698534387,3,3,"['OG6_102462', 'OG6_102473', 'OG6_102320']"
Glutathione_hydrolase_complex,0.3188828309860586,2,1,"['OG6_100503', 'OG6_106702']"
CLB1-CDC28_kinase_complex,-0.0790964996460416,2,1,"['OG6_100334', 'OG6_100199']"
CLB3-CDC28_kinase_complex,-0.0790964996460416,2,1,"['OG6_100334', 'OG6_100199']"
CLB4-CDC28_kinase_complex,-0.0790964996460416,2,1,"['OG6_100334', 'OG6_100199']"
CLN2-CDC28_kinase_complex,0.20093463659784053,3,3,"['OG6_100334', 'OG6_222615', 'OG6_100899']"
ATG2-ATG18_complex,0.0768861052133255,2,1,"['OG6_103112', 'OG6_102791']"
CBP3-CBP6_complex,0.4793012932694108,2,1,"['OG6_107653', 'OG6_103736']"
TAH18-DRE2_complex,0.8768921965557332,2,1,"['OG6_102453', 'OG6_100390']"
Coenzyme_A-synthesizing_protein_complex,-0.03757906106910799,4,6,"['OG6_100772', 'OG6_102247', 'OG6_101466', 'OG6_101308']"
Glutamyl-tRNA(Gln)_amidotransferase_complex,0.16176470588235292,2,1,"['OG6_101213', 'OG6_101205']"
"Elongation_Factor_eEF1_complex,_variant_TEF4",0.11486271358693217,3,3,"['OG6_100227', 'OG6_101695', 'OG6_101050']"
PAN1_actin_cytoskeleton-regulatory_complex,0.8091098379181867,3,3,"['OG6_113577', 'OG6_113608', 'OG6_123057']"
Eukaryotic_translation_initiation_factor_2_complex,0.5329908236611546,2,1,"['OG6_101265', 'OG6_101121']"
Eukaryotic_translation_initiation_factor_2B_complex,-0.03522257418104396,4,6,"['OG6_101847', 'OG6_102141', 'OG6_101778', 'OG6_102470']"
"Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4631",0.632409914627457,3,3,"['OG6_100627', 'OG6_101294', 'OG6_111107']"
"Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4632",0.632409914627457,3,3,"['OG6_100627', 'OG6_101294', 'OG6_111107']"
ERF1-ERF3_translation_release_factor_complex,0.15292423546382794,2,1,"['OG6_101550', 'OG6_100994']"
DOM34-HBS1_ribosome_dissociation_complex,0.11086899214250116,2,1,"['OG6_103149', 'OG6_101450']"
TOM40_mitochondrial_outer_membrane_translocase_core_complex,-0.08231351070799975,2,1,"['OG6_101593', 'OG6_111918']"
TOM40_mitochondrial_outer_membrane_translocase_holocomplex,0.36277836113173917,4,6,"['OG6_104251', 'OG6_101593', 'OG6_104980', 'OG6_111918']"
Adaptor_complex_AP-1,0.008208755814352875,4,6,"['OG6_100926', 'OG6_100684', 'OG6_101263', 'OG6_101228']"
Adaptor_complex_AP-1R,-0.09318757463321263,3,3,"['OG6_100926', 'OG6_100684', 'OG6_101228']"
Adapter_complex_AP-2,-0.04587019445719929,4,6,"['OG6_100684', 'OG6_101447', 'OG6_102766', 'OG6_102976']"
Adapter_complex_AP-3,0.02896763717577251,3,3,"['OG6_101595', 'OG6_102376', 'OG6_102126']"
cAMP-dependent_protein_kinase_complex_variant_1,-0.08207757699012683,2,1,"['OG6_100326', 'OG6_100449']"
cAMP-dependent_protein_kinase_complex_variant_2,-0.08207757699012683,2,1,"['OG6_100326', 'OG6_100449']"
NDC80_complex,0.14835749810594245,3,3,"['OG6_103846', 'OG6_103226', 'OG6_116989']"
Mitochondrial_isocitrate_dehydrogenase_complex_(NAD+),0.9716459915111881,2,1,"['OG6_100541', 'OG6_101342']"
Mitochondrial_respiratory_chain_complex_II,0.26929115475718424,4,6,"['OG6_100664', 'OG6_103173', 'OG6_103841', 'OG6_100447']"
Mitochondrial_respiratory_chain_complex_III,0.3247107794902851,7,21,"['OG6_102683', 'OG6_102032', 'OG6_109499', 'OG6_103720', 'OG6_101749', 'OG6_105128', 'OG6_115933']"
cAMP-dependent_protein_kinase_complex_variant_3,-0.08207757699012683,2,1,"['OG6_100326', 'OG6_100449']"
Tec1/Ste12/Dig1_transcription_regulation_complex,0.6131863864322429,2,1,"['OG6_110016', 'OG6_127159']"
Carbamoyl-phosphate_synthase_arginine-specific,0.8433431181371267,2,1,"['OG6_100435', 'OG6_103680']"
mRNA_capping_enzyme_complex,-0.06270906953017467,2,1,"['OG6_111222', 'OG6_101990']"
Calcineurin_complex_variant_1,-0.08043011062666637,2,1,"['OG6_100566', 'OG6_101614']"
Calcineurin_complex_variant_2,-0.08043011062666637,2,1,"['OG6_100566', 'OG6_101614']"
"Nuclear/nucleolar_exosome_complex,_DIS3-RRP6_variant",0.516643577216552,11,36,"['OG6_100420', 'OG6_101400', 'OG6_101074', 'OG6_102545', 'OG6_103234', 'OG6_101821', 'OG6_100420', 'OG6_101226', 'OG6_102463', 'OG6_101473', 'OG6_129058']"
"Cytoplasmic_exosome_complex,_DIS3_variant",0.6787595897194441,10,28,"['OG6_100420', 'OG6_101400', 'OG6_101074', 'OG6_102545', 'OG6_103234', 'OG6_101821', 'OG6_100420', 'OG6_101226', 'OG6_102463', 'OG6_129058']"
Actin-related_protein_2/3_complex,0.34239854045850837,5,10,"['OG6_102757', 'OG6_102934', 'OG6_102485', 'OG6_102024', 'OG6_102851']"
Signal_recognition_particle,0.1317424209022938,5,10,"['OG6_100507', 'OG6_101284', 'OG6_499891', 'OG6_102026', 'OG6_102219']"
ISW1a_chromatin_remodeling_complex,0.25631006489858876,2,1,"['OG6_100877', 'OG6_222577']"
SAGA_complex,0.049683533243888744,17,136,"['OG6_105306', 'OG6_104616', 'OG6_102222', 'OG6_112471', 'OG6_102926', 'OG6_101815', 'OG6_114268', 'OG6_102914', 'OG6_500210', 'OG6_103103', 'OG6_120122', 'OG6_100940', 'OG6_104688', 'OG6_101489', 'OG6_103171', 'OG6_101921', 'OG6_103784']"
Adenylyl_cyclase_complex,0.0070429521227376585,2,1,"['OG6_102913', 'OG6_101374']"
ISW2_chromatin_remodeling_complex,-0.05921988207876592,3,3,"['OG6_108356', 'OG6_103217', 'OG6_100877']"
Box_C/D_snoRNP_complex,0.18459905952142533,4,6,"['OG6_100868', 'OG6_101116', 'OG6_101480', 'OG6_101575']"
ISW2_chromatin_remodeling_complex_variant_2,-0.006506964552489683,2,1,"['OG6_108356', 'OG6_100877']"
Box_H/ACA_ribonucleoprotein_complex,0.19246534881090693,3,3,"['OG6_102146', 'OG6_102271', 'OG6_100327']"
Anaphase-Promoting_core_complex_,0.006863619237467228,8,28,"['OG6_102501', 'OG6_102790', 'OG6_101939', 'OG6_102604', 'OG6_102115', 'OG6_104954', 'OG6_103498', 'OG6_103028']"
"Anaphase-Promoting_Complex,_CDC20_variant",0.0017718994583267875,9,36,"['OG6_102501', 'OG6_102790', 'OG6_101791', 'OG6_101939', 'OG6_102604', 'OG6_102115', 'OG6_104954', 'OG6_103498', 'OG6_103028']"
"Anaphase-Promoting_Complex,_CDH1_variant",0.016021807544721222,9,36,"['OG6_102501', 'OG6_102790', 'OG6_101939', 'OG6_102604', 'OG6_101383', 'OG6_102115', 'OG6_104954', 'OG6_103498', 'OG6_103028']"
Anaphase-Promoting_complex_AMA1_variant,0.006863619237467228,8,28,"['OG6_102501', 'OG6_102790', 'OG6_101939', 'OG6_102604', 'OG6_102115', 'OG6_104954', 'OG6_103498', 'OG6_103028']"
Nuclear_origin_recognition_complex,0.20471216185233163,6,15,"['OG6_102887', 'OG6_500607', 'OG6_103513', 'OG6_100406', 'OG6_104370', 'OG6_103029']"
UTP-C_complex_variant_2,-0.048131095111188946,4,1,"['OG6_100821', 'OG6_100687', 'OG6_100687', 'OG6_102389']"
UTP-C_complex_variant_3,-0.048131095111188946,4,1,"['OG6_100821', 'OG6_100687', 'OG6_100687', 'OG6_102389']"
CURI_complex_variant_2,-0.048131095111188946,4,1,"['OG6_100821', 'OG6_100687', 'OG6_100687', 'OG6_102389']"
CURI_complex_variant_3,-0.048131095111188946,4,1,"['OG6_100821', 'OG6_100687', 'OG6_100687', 'OG6_102389']"
Elongator_holoenzyme_complex,0.03443107199737151,5,10,"['OG6_137837', 'OG6_103229', 'OG6_103712', 'OG6_100741', 'OG6_102646']"
NatC_N-alpha-acetyltransferase_complex,-0.056388387443460086,2,1,"['OG6_105331', 'OG6_103368']"
NatB_N-alpha-acetyltransferase_complex,-0.1267731382092775,2,1,"['OG6_102129', 'OG6_102465']"
NatA_N-alpha-acetyltransferase_complex,0.006590221486381114,3,3,"['OG6_100590', 'OG6_101670', 'OG6_102120']"
INO80_chromatin_remodeling_complex,0.036418063237102984,8,28,"['OG6_123088', 'OG6_103743', 'OG6_104278', 'OG6_100127', 'OG6_102754', 'OG6_101792', 'OG6_104893', 'OG6_101635']"
DBF4-dependent_CDC7_kinase_complex,0.368034964982589,2,1,"['OG6_103228', 'OG6_115956']"
FET3-FTR1_high_affinity_iron_permease_complex,-0.08292796479973422,2,1,"['OG6_100257', 'OG6_107140']"
