complex_id,avg_correlation,num_proteins,num_pairs,proteins_used
Replication_protein_A_complex,0.14455113410389703,2,1,"['OG6_101316', 'OG6_102423']"
U1_small_nuclear_ribonucleoprotein_complex,-0.016080186015767856,7,10,"['OG6_100753', 'OG6_104156', 'OG6_102085', 'OG6_102296', 'OG6_102349', 'OG6_102452', 'OG6_104156']"
U4/U6.U5_tri-small_nuclear_ribonucleoprotein_complex,0.06533516444849741,11,55,"['OG6_102682', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_101116', 'OG6_102085', 'OG6_102494', 'OG6_102452', 'OG6_102616', 'OG6_103136', 'OG6_103596']"
U2_small_nuclear_ribonucleoprotein_complex,0.011347305938268843,12,66,"['OG6_102364', 'OG6_102246', 'OG6_102431', 'OG6_100753', 'OG6_102085', 'OG6_101702', 'OG6_102452', 'OG6_102282', 'OG6_102496', 'OG6_102158', 'OG6_102567', 'OG6_102421']"
U5_small_nuclear_ribonucleoprotein_complex,0.050980227749603285,7,21,"['OG6_102682', 'OG6_102378', 'OG6_100305', 'OG6_101765', 'OG6_103383', 'OG6_102085', 'OG6_102452']"
"U5_small_nuclear_ribonucleoprotein_complex,_AAR2_variant",-0.009335051492392008,4,6,"['OG6_103436', 'OG6_101765', 'OG6_102085', 'OG6_102452']"
U4_small_nuclear_ribonucleoprotein_complex,0.07958853544654809,4,6,"['OG6_101116', 'OG6_102085', 'OG6_102452', 'OG6_102616']"
U4/U6_small_nuclear_ribonucleoprotein_complex,0.14798519585440895,5,10,"['OG6_101116', 'OG6_102085', 'OG6_102494', 'OG6_102452', 'OG6_102616']"
Sm_complex,-0.07351824263711973,2,1,"['OG6_102085', 'OG6_102452']"
LSM1-7-PAT1_complex,0.6672059262357729,2,1,"['OG6_111832', 'OG6_102846']"
HIR_complex,0.1502386739828877,2,1,"['OG6_103167', 'OG6_127207']"
MICOS_mitochondrial_contact_site_and_cristae_organizing_system_complex,0.3124891336124485,3,3,"['OG6_103871', 'OG6_118306', 'OG6_115066']"
Bub1-Bub3_complex,-0.09759000729485331,2,1,"['OG6_102928', 'OG6_103677']"
FZO1-MGM1-UGO1_complex,-0.07941066591158906,3,3,"['OG6_114251', 'OG6_112063', 'OG6_112510']"
Dehydrodolichyl_diphosphate_synthase_complex_variant_RER2,-0.06220907522417994,2,1,"['OG6_100493', 'OG6_104306']"
Dehydrodolichyl_diphosphate_synthase_complex_variant_SRT1,-0.06220907522417994,2,1,"['OG6_100493', 'OG6_104306']"
Snf1_protein_kinase_complex_variant_GAL83,0.17481239023461023,3,3,"['OG6_100252', 'OG6_101734', 'OG6_101253']"
Snf1_protein_kinase_complex_variant_SIP1,-0.12650659795908736,2,1,"['OG6_100252', 'OG6_101734']"
