complex_id,avg_correlation,num_proteins,num_pairs,proteins_used
Replication_protein_A_complex,-0.11435794980384562,2,1,"['A0A2H0ZYY1', 'A0A2H0ZKN9']"
U1_small_nuclear_ribonucleoprotein_complex,0.07216301128432685,10,28,"['A0A2H0ZGL6', 'A0A2H1A854', 'A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H1A7Y4', 'A0A2H0ZH90', 'A0A2H0ZZP6', 'A0A2H1A854', 'A0A2H0ZS57', 'A0A2H1A268']"
U6_small_nuclear_ribonucleoprotein_complex,0.16730534363576668,8,28,"['A0A2H0ZGH7', 'A0A2H1A513', 'A0A2H0ZDR9', 'A0A2H0ZR87', 'A0A2H0ZZD9', 'A0A2H0ZP87', 'A0A2H1A690', 'A0A2H0ZQR4']"
U4/U6.U5_tri-small_nuclear_ribonucleoprotein_complex,0.08535565444770812,22,231,"['A0A2H0ZVT3', 'A0A2H0ZY37', 'A0A2H0ZV20', 'A0A2H0ZIN1', 'A0A2H0ZD34', 'A0A2H0ZGH7', 'A0A5Q7YMH1', 'A0A2H1A513', 'A0A2H0ZDR9', 'A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H0ZR87', 'A0A2H0ZLP0', 'A0A2H0ZP87', 'A0A2H1A690', 'A0A2H0ZZP6', 'A0A2H0ZG04', 'A0A2H0ZS57', 'A0A2H0ZQR4', 'A0A2H0ZRF6', 'A0A2H0ZN34', 'A0A2H0ZVQ7']"
U2_small_nuclear_ribonucleoprotein_complex,0.015626905729250337,14,91,"['A0A2H1A6H5', 'A0A2H0ZI76', 'A0A2H1A5W5', 'A0A2H0ZEZ3', 'A0A2H0ZGL6', 'A0A2H0ZL34', 'A0A2H0ZG35', 'A0A2H0ZIF5', 'A0A2H0ZZP6', 'A0A2H0ZKK7', 'A0A2H0ZL06', 'A0A2H0ZS57', 'A0A2H0ZL29', 'A0A2H0ZKU7']"
U5_small_nuclear_ribonucleoprotein_complex,0.06253033717354109,10,45,"['A0A2H0ZVT3', 'A0A2H0ZV20', 'A0A2H0ZIN1', 'A0A2H0ZD34', 'A0A2H0ZRA9', 'A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H0ZZP6', 'A0A2H0ZS57', 'A0A2H0ZRF6']"
"U5_small_nuclear_ribonucleoprotein_complex,_AAR2_variant",0.11493466503051313,6,15,"['A0A2H1A3A6', 'A0A2H0ZD34', 'A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H0ZZP6', 'A0A2H0ZS57']"
U4_small_nuclear_ribonucleoprotein_complex,0.17712153354758467,7,21,"['A0A2H0ZY37', 'A0A5Q7YMH1', 'A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H0ZZP6', 'A0A2H0ZG04', 'A0A2H0ZS57']"
U4/U6_small_nuclear_ribonucleoprotein_complex,0.16476467119099608,15,105,"['A0A2H0ZY37', 'A0A2H0ZGH7', 'A0A5Q7YMH1', 'A0A2H1A513', 'A0A2H0ZDR9', 'A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H0ZR87', 'A0A2H0ZLP0', 'A0A2H0ZP87', 'A0A2H1A690', 'A0A2H0ZZP6', 'A0A2H0ZG04', 'A0A2H0ZS57', 'A0A2H0ZQR4']"
Sm_complex,0.13993811393603803,4,6,"['A0A2H0ZEZ3', 'A0A2H0ZL34', 'A0A2H0ZZP6', 'A0A2H0ZS57']"
