"Accession","Group ID"
"scer|Q0045","OG7_0006956"
"scer|Q0050","OG7_0000134"
"scer|Q0055","OG7_0000134"
"scer|Q0060","OG7_0156225"
"scer|Q0065","OG7_0155647"
"scer|Q0070","OG7_0155684"
"scer|Q0075","OG7_0025213"
"scer|Q0080","OG7_0041002"
"scer|Q0085","OG7_0007943"
"scer|Q0105","OG7_0006947"
"scer|Q0110","OG7_0006947"
"scer|Q0115","OG7_0006947"
"scer|Q0120","OG7_0006947"
"scer|Q0130","OG7_0005431"
"scer|Q0140","OG7_0155505"
"scer|Q0160","OG7_0022282"
"scer|Q0250","OG7_0007785"
"scer|Q0255","OG7_0024672"
"scer|Q0275","OG7_0008871"
"scer|YAL001C","OG7_0018417"
"scer|YAL002W","OG7_0005697"
"scer|YAL003W","OG7_0003992"
"scer|YAL005C","OG7_0000779"
"scer|YAL007C","OG7_0001609"
"scer|YAL008W","OG7_0155965"
"scer|YAL009W","OG7_0020676"
"scer|YAL010C","OG7_0018409"
"scer|YAL011W","OG7_0036288"
"scer|YAL012W","OG7_0002476"
"scer|YAL013W","OG7_0022151"
"scer|YAL014C","OG7_0007003"
"scer|YAL015C","OG7_0002796"
"scer|YAL016W","OG7_0004752"
"scer|YAL017W","OG7_0000009"
"scer|YAL018C","OG7_0013762"
"scer|YAL019W","OG7_0000402"
"scer|YAL020C","OG7_0000958"
"scer|YAL021C","OG7_0001922"
"scer|YAL022C","OG7_0002657"
"scer|YAL023C","OG7_0004620"
"scer|YAL024C","OG7_0001368"
"scer|YAL025C","OG7_0007199"
"scer|YAL026C","OG7_0001014"
"scer|YAL027W","OG7_0156177"
"scer|YAL028W","OG7_0101611"
"scer|YAL029C","OG7_0000433"
"scer|YAL030W","OG7_0001890"
"scer|YAL031C","OG7_0156141"
"scer|YAL032C","OG7_0007353"
"scer|YAL033W","OG7_0008843"
"scer|YAL034C","OG7_0016167"
"scer|YAL034W-A","OG7_0011620"
"scer|YAL035W","OG7_0005538"
"scer|YAL036C","OG7_0003744"
"scer|YAL037C-A","OG7_0155812"
"scer|YAL037W","OG7_0101618"
"scer|YAL038W","OG7_0002165"
"scer|YAL039C","OG7_0006933"
"scer|YAL040C","OG7_0001168"
"scer|YAL041W","OG7_0002017"
"scer|YAL042W","OG7_0002918"
"scer|YAL043C","OG7_0007511"
"scer|YAL044C","OG7_0155517"
"scer|YAL044W-A","OG7_0003123"
"scer|YAL046C","OG7_0003123"
"scer|YAL047C","OG7_0155745"
"scer|YAL048C","OG7_0004122"
"scer|YAL049C","OG7_0003630"
"scer|YAL051W","OG7_0002985"
"scer|YAL053W","OG7_0015877"
"scer|YAL054C","OG7_0000501"
"scer|YAL055W","OG7_0155767"
