Group ID	Entry
OGR7_0000276	A0A2H1A6P9
OG7_0011977	A0A2H1A6Q5
OG7_0002599	A0A2H1A283
OGR7_0010219	A0A2H1A2B5
OGR7_0014532	A0A2H1A6R0
OGR7_0011405	A0A2H1A6P8
OG7_0001253	A0A2H1A276
OG7_0001646	A0A2H1A7J0
OG7_0009265	A0A2H1A7P5
OG7_0001730	A0A2H1A299
OG7_0012317	A0A2H1A6R3
OG7_0002319	A0A2H1A6R4
OG7_0007099	A0A2H1A6R7
OGR7_0003998	A0A2H1A6S0
OG7_0004756	A0A2H1A6S1
OG7_0003118	A0A2H1A6R5
OG7_0004121	A0A2H1A6R6
OG7_0001014	A0A2H1A3E1
OGR7_0004027	A0A2H1A7Q3
OG7_0004945	A0A2H1A2B0
OGR7_0003445	A0A2H1A6S2
OG7_0155854	A0A2H1A6S6
OG7_0001210	A0A2H1A6S5
OG7_0010520	A0A2H1A6T0
OG7_0003241	A0A2H1A6T1
OG7_0001354	A0A2H1A6S3
OG7_0000082	A0A2H1A6S4
OG7_0007201	A0A2H1A7K9
OG7_0001822	A0A2H1A3K4
OGR7_0003997	A0A2H1A2B8
OG7_0003402	A0A2H1A2A5
OG7_0002777	A0A2H1A6T7
OG7_0002542	A0A2H1A6T9
OG7_0001465	A0A2H1A6U0
OG7_0011721	A0A2H1A6U1
OG7_0011721	A0A2H1A6T4
OG7_0004979	A0A2H1A6T3
OG7_0006780	A0A2H1A7L7
OG7_0001609	A0A2H1A7S8
OGR7_0003425	A0A2H1A6T8
OGR7_0003736	A0A2H1A6U2
OG7_0002180	A0A2H1A6U7
OG7_0021369	A0A2H1A6U8
OG7_0006575	A0A2H1A6V0
OG7_0000402	A0A2H1A6V1
OG7_0006007	A0A2H1A6U4
OG7_0005979	A0A2H1A6U3
OG7_0006472	A0A2H1A7N1
OG7_0071888	A0A2H1A7U2
OG7_0071888	A0A2H1A3M4
OG7_0015034	A0A2H1A6V2
OGR7_0003441	A0A2H1A6V8
OG7_0008718	A0A2H1A6V7
OG7_0006512	A0A2H1A6W0
OG7_0003537	A0A2H1A6V9
OG7_0006814	A0A2H1A6V3
OG7_0008733	A0A2H1A2E8
OG7_0008429	A0A2H1A7P0
OGR7_0002661	A0A2H1A7U9
OG7_0001368	A0A2H1A6V5
OG7_0155900	A0A2H1A2E6
OG7_0000970	A0A2H1A6W8
OG7_0001933	A0A2H1A6W4
OG7_0003690	A0A2H1A6W9
OG7_0008818	A0A2H1A2H3
OG7_0002147	A0A2H1A6W2
OG7_0007344	A0A2H1A2F8
OGR7_0002822	A0A2H1A7Q0
OG7_0008837	A0A2H1A7V9
OGR7_0003756	A0A2H1A6W3
OG7_0015586	A0A2H1A2F2
OG7_0001918	A0A2H1A6X7
OG7_0001918	A0A2H1A6X6
OG7_0002540	A0A2H1A6X9
OG7_0002926	A0A2H1A2E4
OG7_0003037	A0A2H1A6X3
OG7_0007199	A0A2H1A6X4
OG7_0010250	A0A2H1A7R0
OG7_0009582	A0A2H1A7W9
OG7_0001576	A0A2H1A3L0
OG7_0014205	A0A2H1A6Y3
OG7_0005954	A0A2H1A6Z0
OGR7_0029171	A0A2H1A6Y6
OG7_0019457	A0A2H1A2F0
OG7_0030270	A0A2H1A6Y9
OGR7_0004591	A0A2H1A6Y1
OG7_0001163	A0A2H1A2H1
OG7_0007922	A0A2H1A7R8
OG7_0008131	A0A2H1A2E7
OG7_0005238	A0A2H1A3M0
OG7_0005519	A0A2H1A3R4
OG7_0000699	A0A2H1A700
OG7_0001013	A0A2H1A6Z7
OG7_0002232	A0A2H1A6Z8
OG7_0009351	A0A2H1A6Z9
OG7_0009351	A0A2H1A6Z1
OG7_0006763	A0A2H1A2I0
OG7_0000131	A0A5C1DTW8
OG7_0017561	A0A2H1A2F7
OG7_0000542	A0A2H1A3N1
OGR7_0008214	A0A2H1A703
OG7_0000779	A0A2H1A2I2
OG7_0006451	A0A2H1A706
OGR7_0003752	A0A2H1A707
OG7_0007069	A0A2H1A2H2
OG7_0013310	A0A2H1A701
OG7_0003061	A0A5Q7YDP5
OG7_0004625	A0A2H1A7T5
OG7_0002665	A0A2H1A7Z8
OGR7_0004919	A0A2H1A702
OG7_0001162	A0A2H1A711
OG7_0008539	A0A2H1A2J2
OG7_0006107	A0A2H1A716
OG7_0002306	A0A2H1A2I1
OG7_0101643	A0A2H1A721
OGR7_0014522	A0A2H1A2L7
OGR7_0000189	A0A2H1A2K2
OG7_0010224	A0A2H1A7U5
OG7_0155744	A0A2H1A807
OG7_0007760	A0A2H1A3Q1
OG7_0006562	A0A2H1A3U3
OG7_0000411	A0A2H1A730
OG7_0005976	A0A2H1A728
OGR7_0003767	A0A2H1A2J1
OG7_0006573	A0A2H1A732
OG7_0001839	A0A2H1A719
OG7_0009603	A0A2H1A725
OG7_0022144	A0A2H1A7V6
OG7_0001056	A0A2H1A817
OG7_0013961	A0A2H1A723
OG7_0001761	A0A2H1A733
OG7_0016789	A0A2H1A740
OG7_0006742	A0A2H1A736
OG7_0006823	A0A2H1A739
OG7_0007120	A0A2H1A745
OG7_0006705	A0A2H1A729
OG7_0028333	A0A2H1A2L8
OG7_0008036	A0A2H1A2M0
OG7_0003116	A0A2H1A2J3
OG7_0005594	A0A2H1A734
OG7_0007155	A0A2H1A743
OG7_0001271	A0A2H1A749
OG7_0000102	A0A2H1A746
OG7_0008371	A0A2H1A2K5
OG7_0010831	A0A2H1A755
OG7_0003905	A0A2H1A737
OG7_0001169	A0A2H1A744
OG7_0007873	A0A2H1A7X4
OGR7_0005277	A0A2H1A838
OG7_0025211	A0A2H1A742
OG7_0030375	A0A2H1A752
OG7_0009261	A0A2H1A758
OG7_0023008	A0A2H1A757
OG7_0020356	A0A2H1A2N0
OGR7_0002294	A0A2H1A765
OGR7_0005306	A0A2H1A748
OG7_0022141	A0A2H1A754
OG7_0005804	A0A2H1A7Y4
OG7_0007595	A0A2H1A854
OG7_0003070	A0A2H1A753
OG7_0006844	A0A2H1A762
OG7_0002622	A0A2H1A768
OG7_0001212	A0A2H1A767
OG7_0006470	A0A2H1A770
OG7_0035606	A0A2H1A2N9
OG7_0010898	A0A2H1A759
OG7_0013042	A0A2H1A764
OG7_0000396	A0A2H1A7Z4
OG7_0000446	A0A2H1A869
OG7_0007156	A0A2H1A763
OG7_0002476	A0A2H1A772
OG7_0001750	A0A2H1A778
OG7_0156199	A0A2H1A777
OG7_0008072	A0A2H1A3Z5
OG7_0003757	A0A2H1A784
OG7_0156120	A0A2H1A769
OG7_0007713	A0A2H1A2N3
OG7_0004231	A0A2H1A804
OG7_0007137	A0A2H1A886
OG7_0013311	A0A2H1A776
OG7_0003516	A0A2H1A782
OG7_0005796	A0A2H1A787
OG7_0006003	A0A2H1A788
OG7_0000557	A0A2H1A405
OG7_0000698	A0A2H1A793
OG7_0006190	A0A2H1A779
OG7_0011978	A0A2H1A783
OG7_0001821	A0A2H1A814
OG7_0006586	A0A2H1A899
OG7_0002301	A0A2H1A786
OG7_0001300	A0A2H1A792
OGR7_0006162	A0A2H1A797
OG7_0013188	A0A2H1A798
OG7_0010365	A0A2H1A7A1
OG7_0012098	A0A2H1A7A3
OG7_0006215	A0A2H1A2Q0
OG7_0001172	A0A2H1A795
OG7_0005204	A0A2H1A821
OG7_0003589	A0A2H1A2S6
OG7_0004893	A0A2H1A796
OG7_0012620	A0A2H1A2Q2
OG7_0004996	A0A2H1A7A7
OG7_0033026	A0A2H1A7A9
OG7_0004534	A0A2H1A2S3
OG7_0004828	A0A2H1A7B1
OG7_0036294	A0A2H1A2R0
OGR7_0014525	A0A2H1A2R3
OG7_0018916	A0A2H1A833
OG7_0007232	A0A2H1A8D0
OG7_0007040	A0A2H1A7A6
OG7_0002744	A0A2H1A7B3
OG7_0006192	A0A2H1A7B7
OG7_0022170	A0A2H1A7B9
OGR7_0012690	A0A2H1A7C3
OG7_0008032	A0A2H1A7C0
OG7_0003363	A0A2H1A7A8
OGR7_0054278	A0A2H1A7B5
OG7_0008064	A0A2H1A843
OG7_0000011	A0A2H1A8E8
OG7_0018423	A0A2H1A7B6
OG7_0040963	A0A2H1A7C4
OG7_0002141	A0A2H1A7C7
OG7_0002726	A0A2H1A2S0
OG7_0001370	A0A2H1A7D3
OG7_0009337	A0A2H1A7D2
OG7_0003718	A0A2H1A7B8
OG7_0002949	A0A2H1A7C5
OG7_0007715	A0A2H1A858
OG7_0000425	A0A2H1A8G1
OG7_0005033	A0A2H1A2X4
OG7_0001985	A0A5Q7YC35
OG7_0003990	A0A2H1A2V6
OG7_0048634	A0A2H1A7D9
OGR7_0011408	A0A2H1A7E3
OG7_0002770	A0A2H1A7E1
OG7_0001609	A0A2H1A2V4
OG7_0009416	A0A2H1A2U1
OG7_0007633	A0A2H1A874
OG7_0024040	A0A2H1A8H8
OG7_0022155	A0A2H1A2Y3
OG7_0004253	A0A2H1A7E4
OGR7_0014510	A0A2H1A7E7
OG7_0004173	A0A2H1A2T8
OG7_0006128	A0A2H1A7F4
OG7_0156112	A0A2H1A7F1
OG7_0008671	A0A2H1A2W2
OG7_0005468	A0A2H1A7E5
OG7_0004914	A0A2H1A887
OG7_0030288	A0A2H1A8I8
OG7_0006996	A0A2H1A7E6
OG7_0003576	A0A2H1A7F3
OG7_0012910	A0A2H1A7F7
OG7_0007809	A0A2H1A7F8
OG7_0008728	A0A2H1A7G3
OG7_0004761	A0A2H1A7G1
OG7_0001822	A0A2H1A7E9
OG7_0001068	A0A2H1A7F6
OGR7_0012821	A0A2H1A8A3
OG7_0001300	A0A2H1A2V8
OG7_0000969	A0A2H1A7F5
OG7_0001254	A0A2H1A7G4
OG7_0009351	A0A2H1A7H1
OG7_0024575	A0A2H1A2V7
OG7_0001857	A0A2H1A7H3
OG7_0008550	A0A2H1A7H0
OG7_0002539	A0A2H1A7F9
OG7_0001215	A0A2H1A2W9
OG7_0000776	A0A2H1A8B6
OGR7_0000550	A0A2H1A8L9
OG7_0008444	A0A2H1A7G5
OG7_0007859	A0A2H1A7H4
OG7_0007293	A0A2H1A7I1
OG7_0004181	A0A2H1A7H6
OG7_0003228	A0A2H1A7I3
OG7_0006533	A0A2H1A498
OG7_0019391	A0A2H1A2Z2
OG7_0000003	A0A2H1A7H9
OG7_0007685	A0A2H1A8D2
OG7_0001070	A0A2H1A8N5
OG7_0000103	A0A2H1A7H5
OG7_0008372	A0A2H1A7I4
OG7_0000009	A0A2H1A7J4
OG7_0000103	A0A2H1A7I7
OGR7_0004257	A0A2H1A474
OG7_0021360	A0A2H1A7I6
OG7_0007207	A0A2H1A2Z8
OGR7_0004284	A0A2H1A7I9
OG7_0004230	A0A2H1A8E6
OG7_0036311	A0A2H1A2Y6
OG7_0009596	A0A2H1A7I5
OG7_0017545	A0A2H1A7J3
OG7_0017545	A0A2H1A7K4
OG7_0004823	A0A2H1A7J7
OG7_0008334	A0A2H1A7K2
OG7_0004862	A0A2H1A482
OG7_0002914	A0A2H1A7I8
OG7_0000542	A0A2H1A7J9
OGR7_0016687	A0A2H1A8G3
OG7_0021358	A0A2H1A8Q6
OG7_0101636	A0A2H1A7J5
OG7_0002825	A0A2H1A7K3
OG7_0002388	A0A2H1A7L3
OG7_0016484	A0A2H1A7K8
OG7_0001722	A0A2H1A7K7
OG7_0006472	A0A2H1A7K6
OGR7_0005707	A0A2H1A7J8
OG7_0000136	A0A2H1A7L0
OG7_0004753	A0A2H1A8H7
OG7_0001259	A0A2H1A8Q9
OG7_0000446	A0A2H1A7K5
OG7_0000495	A0A2H1A7L2
OG7_0006544	A0A2H1A7M3
OG7_0002350	A0A2H1A7L8
OG7_0101690	A0A2H1A7M0
OG7_0006344	A0A2H1A7L6
OG7_0005049	A0A2H1A7L4
OG7_0002660	A0A2H1A7L9
OG7_0024029	A0A2H1A8J0
OG7_0001781	A0A2H1A8R8
OG7_0007036	A0A2H1A7L5
OG7_0008455	A0A2H1A364
OG7_0007347	A0A2H1A7N3
OG7_0017548	A0A2H1A7M7
OG7_0000557	A0A2H1A315
OGR7_0003189	A0A2H1A7M8
OG7_0015550	A0A2H1A7M4
OG7_0006367	A0A2H1A7M6
OG7_0016440	A0A2H1A8K2
OG7_0004764	A0A2H1A8T0
OG7_0001357	A0A2H1A7M5
OG7_0001718	A0A2H1A7M9
OGR7_0002656	A0A2H1A7P2
OG7_0006105	A0A2H1A352
OG7_0006399	A0A2H1A7P1
OG7_0005074	A0A2H1A7N8
OG7_0000446	A0A2H1A7N4
OG7_0007261	A0A2H1A7N6
OG7_0028318	A0A2H1A8L6
OG7_0001794	A0A2H1A8T9
OG7_0002829	A0A2H1A331
OG7_0005542	A0A2H1A7N9
OG7_0006531	A0A2H1A7Q2
OG7_0000434	A0A2H1A361
OG7_0006526	A0A2H1A7Q1
OG7_0005663	A0A2H1A7P8
OGR7_0011403	A0A2H1A7P4
OG7_0155824	A0A2H1A7P6
OG7_0007293	A0A2H1A8M6
OG7_0007003	A0A2H1A8U6
OGR7_0016666	A0A2H1A340
OG7_0004886	A0A2H1A388
OG7_0004676	A0A2H1A7R2
OG7_0000402	A0A2H1A7Q7
OG7_0013040	A0A2H1A7R1
OG7_0010019	A0A2H1A7Q8
OG7_0003175	A0A2H1A7Q6
OG7_0003055	A0A2H1A366
OGR7_0038575	A0A2H1A8P4
OG7_0000033	A0A2H1A8V8
OG7_0007328	A0A2H1A7Q4
OG7_0002727	A0A2H1A7Q9
OG7_0009197	A0A2H1A7S2
OG7_0020677	A0A2H1A7R4
OGR7_0003430	A0A2H1A7S1
OGR7_0004588	A0A2H1A7R6
OG7_0005002	A0A2H1A7R5
OG7_0053568	A0A2H1A7R7
OG7_0004437	A0A2H1A8Q4
OGR7_0003766	A0A2H1A8W7
OG7_0005644	A0A2H1A7R3
OG7_0007419	A0A2H1A7R9
OG7_0155578	A0A2H1A7T2
OG7_0009493	A0A2H1A7S4
OG7_0019451	A0A2H1A7T0
OG7_0015585	A0A2H1A7S5
OG7_0001127	A0A2H1A7S6
OG7_0001013	A0A2H1A7S9
OG7_0005801	A0A2H1A8Q8
OG7_0002776	A0A2H1A8X9
OG7_0006624	A0A2H1A365
OG7_0008440	A0A2H1A3B8
OG7_0006737	A0A2H1A7T9
OG7_0020054	A0A2H1A7T4
OG7_0008183	A0A2H1A7U1
OG7_0001304	A0A2H1A7T6
OG7_0009051	A0A2H1A7T7
OG7_0008238	A0A2H1A7T8
OG7_0033019	A0A2H1A8R7
OG7_0003564	A0A2H1A8Z4
OGR7_0012822	A0A2H1A376
OG7_0003556	A0A2H1A3C8
OG7_0001346	A0A2H1A399
OG7_0008863	A0A2H1A3A6
OGR7_0003725	A0A2H1A382
OG7_0005197	A0A2H1A7U6
OG7_0005905	A0A2H1A4P4
OG7_0001911	A0A2H1A7U8
OG7_0018899	A0A2H1A8S8
OG7_0155944	A0A2H1A908
OG7_0004029	A0A2H1A383
OG7_0017135	A0A2H1A7V3
OG7_0008232	A0A2H1A7W2
OG7_0002017	A0A2H1A7V4
OG7_0035606	A0A2H1A7W1
OG7_0006467	A0A2H1A7V5
OG7_0156005	A0A2H1A7V7
OG7_0018836	A0A2H1A7V8
OG7_0001168	A0A2H1A8T6
OG7_0002065	A0A2H1A921
OG7_0006933	A0A2H1A396
OG7_0001172	A0A2H1A7W5
OG7_0155667	A0A2H1A7X2
OG7_0003591	A0A2H1A7W6
OGR7_0002411	A0A2H1A7X1
OG7_0009125	A0A2H1A4K1
OG7_0001451	A0A2H1A7W7
OG7_0000103	A0A2H1A7W8
OG7_0006771	A0A2H1A8U4
OG7_0003519	A0A2H1A937
OG7_0001014	A0A2H1A7W0
OG7_0008068	A0A2H1A7X7
OG7_0001016	A0A2H1A3C6
OGR7_0000189	A0A2H1A7X5
OGR7_0003748	A0A2H1A7Y2
OGR7_0003731	A0A2H1A7X3
OGR7_0004921	A0A2H1A7X6
OG7_0000989	A0A2H1A7X8
OG7_0002757	A0A2H1A8V7
OG7_0001253	A0A2H1A3A4
OG7_0007641	A0A2H1A7X0
OG7_0001730	A0A2H1A7Y5
OG7_0007119	A0A2H1A7Y9
OGR7_0003735	A0A2H1A7Y6
OG7_0005294	A0A2H1A7Z2
OG7_0016493	A0A2H1A7Y3
OG7_0028306	A0A2H1A7Y7
OG7_0022601	A0A2H1A7Y8
OG7_0002079	A0A2H1A3D7
OGR7_0004944	A0A2H1A975
OG7_0028316	A0A2H1A7X9
OG7_0000396	A0A2H1A7Z5
OG7_0001609	A0A5C1DUJ9
OG7_0003266	A0A2H1A3F8
OG7_0004396	A0A2H1A3C7
OG7_0000696	A0A2H1A7Z3
OG7_0022166	A0A2H1A7Z7
OG7_0008390	A0A2H1A7Z9
OG7_0007768	A0A2H1A8X8
OGR7_0002820	A0A2H1A983
OG7_0030357	A0A2H1A3C9
OG7_0000135	A0A2H1A805
OG7_0001835	A0A2H1A809
OGR7_0003750	A0A2H1A806
OGR7_0010226	A0A2H1A3D8
OG7_0015877	A0A2H1A803
OG7_0003007	A0A2H1A810
OG7_0006385	A0A2H1A808
OG7_0002479	A0A2H1A8Z7
OG7_0012582	A0A2H1A991
OG7_0002622	A0A2H1A801
OG7_0001162	A0A2H1A815
OGR7_0002998	A0A2H1A819
OG7_0001914	A0A2H1A816
OG7_0000779	A0A2H1A3E8
OG7_0155517	A0A5Q7YJH9
OG7_0001890	A0A2H1A820
OG7_0000774	A0A2H1A3H0
OG7_0003099	A0A2H1A909
OG7_0000402	A0A2H1A9A4
OG7_0024028	A0A2H1A812
OGR7_0019466	A0A2H1A824
OG7_0003139	A0A2H1A828
OG7_0000433	A0A2H1A826
OG7_0022165	A0A2H1A830
OG7_0002970	A0A2H1A825
OG7_0008002	A0A2H1A831
OG7_0005754	A0A2H1A827
OG7_0007393	A0A2H1A3F1
OG7_0003350	A0A2H1A9B9
OG7_0005082	A0A2H1A823
OG7_0101687	A0A2H1A834
OG7_0002441	A0A2H1A840
OGR7_0004271	A0A2H1A836
OG7_0002865	A0A2H1A839
OG7_0000974	A0A2H1A835
OGR7_0014505	A0A2H1A537
OG7_0005997	A0A2H1A540
OG7_0003094	A0A2H1A534
OG7_0005739	A0A2H1A5Z9
OG7_0003112	A0A2H1A629
OG7_0004535	A0A2H1A545
OG7_0001356	A0A2H1A525
OG7_0009040	A0A2H1A512
OG7_0000785	A0A2H1A528
OG7_0009911	A0A2H1A555
OG7_0003569	A0A2H1A3J3
OG7_0003255	A0A2H1A552
OG7_0002295	A0A2H1A546
OG7_0006527	A0A2H1A613
OG7_0010696	A0A2H1A639
OG7_0002691	A0A2H1A558
OGR7_0005316	A0A2H1A539
OG7_0002999	A0A2H1A530
OG7_0002961	A0A2H1A542
OG7_0000103	A0A2H1A567
OG7_0033015	A0A0L0P1I5
OG7_0003427	A0A2H1A564
OG7_0005992	A0A2H1A3I7
OG7_0003185	A0A2H1A3N7
OG7_0022160	A0A2H1A650
OG7_0017975	A0A2H1A3M1
OG7_0008133	A0A2H1A554
OG7_0006189	A0A2H1A544
OG7_0005531	A0A2H1A517
OG7_0001167	A0A2H1A578
OG7_0008387	A0A2H1A3L2
OG7_0017500	A0A2H1A574
OG7_0006708	A0A2H1A565
OG7_0001962	A0A2H1A636
OG7_0007818	A0A2H1A3M5
OGR7_0016678	A0A2H1A581
OG7_0036308	A0A2H1A3K1
OG7_0000542	A0A2H1A4W1
OG7_0000495	A0A5Q7YJR0
OG7_0001717	A0A2H1A588
OG7_0008471	A0A2H1A582
OG7_0156139	A0A2H1A586
OGR7_0006599	A0A2H1A576
OG7_0003946	A0A2H1A645
OG7_0000432	A0A2H1A3N5
OG7_0003581	A0A2H1A594
OG7_0007530	A0A2H1A580
OG7_0003063	A0A2H1A4X2
OG7_0003058	A0A2H1A573
OG7_0003608	A0A2H1A599
OG7_0001281	A0A2H1A593
OG7_0003812	A0A2H1A596
OG7_0021349	A0A2H1A3L5
OG7_0000691	A0A2H1A657
OG7_0008048	A0A2H1A683
OG7_0041077	A0A2H1A3M3
OG7_0006655	A0A2H1A4Y2
OGR7_0023541	A0A2H1A579
OG7_0003340	A0A2H1A583
OG7_0005993	A0A2H1A5B0
OG7_0000080	A0A2H1A5A6
OGR7_0010222	A0A2H1A3M6
OG7_0035606	A0A2H1A598
OG7_0008635	A0A2H1A668
OG7_0004589	A0A2H1A690
OGR7_0002996	A0A2H1A3N3
OG7_0036273	A0A2H1A4Z2
OG7_0001450	A0A2H1A591
OG7_0001450	A0A2H1A595
OGR7_0005309	A0A2H1A5C1
OG7_0004567	A0A2H1A5B7
OG7_0001308	A0A2H1A3N6
OG7_0019362	A0A2H1A5A9
OG7_0001041	A0A5Q7YJG1
OG7_0011380	A0A2H1A6A3
OG7_0009912	A0A2H1A5C6
OG7_0000446	A0A2H1A5B2
OGR7_0007424	A0A2H1A5A3
OG7_0001719	A0A2H1A5A5
OGR7_0003740	A0A2H1A5D4
OG7_0005776	A0A2H1A3R2
OG7_0003569	A0A2H1A5C7
OG7_0001423	A0A2H1A5C0
OG7_0002787	A0A2H1A688
OG7_0002441	A0A2H1A6B2
OG7_0017967	A0A2H1A3T1
OG7_0004284	A0A2H1A3Q2
OG7_0004284	A0A2H1A5B4
OGR7_0005320	A0A2H1A5B6
OG7_0000103	A0A2H1A5E6
OGR7_0016694	A0A2H1A5D8
OG7_0005232	A0A2H1A5D9
OG7_0006213	A0A2H1A5D2
OGR7_0004012	A0A2H1A698
OG7_0015057	A0A2H1A6C6
OG7_0005322	A0A2H1A3T9
OG7_0006561	A0A2H1A5D3
OG7_0003622	A0A2H0ZHF9
OG7_0003058	A0A2H1A5C8
OG7_0016484	A0A2H1A5G3
OG7_0001151	A0A2H1A3T3
OGR7_0003762	A0A2H1A5F0
OG7_0003407	A0A2H1A5E2
OG7_0001358	A0A2H1A6A8
OG7_0001214	A0A2H1A6D6
OG7_0002825	A0A2H1A3V1
OG7_0003684	A0A2H1A5E4
OG7_0020661	A0A2H1A533
OGR7_0010206	A0A2H1A5E1
OG7_0001949	A0A2H1A3V0
OG7_0155895	A0A2H1A3U2
OG7_0017939	A0A2H1A3S6
OG7_0008280	A0A2H1A5F3
OG7_0004320	A0A2H1A6B8
OG7_0023022	A0A2H1A6E4
OG7_0006581	A0A2H1A5G8
OG7_0008006	A0A2H1A5F5
OG7_0006852	A0A2H1A541
OG7_0008826	A0A2H1A5F1
OGR7_0002541	A0A2H1A5I1
OG7_0000782	A0A2H1A5H0
OG7_0006991	A0A2H1A5H1
OG7_0156097	A0A2H1A5G6
OG7_0006469	A0A2H1A6C7
OG7_0007112	A0A2H1A6G2
OG7_0001212	A0A5Q7YJ74
OG7_0006106	A0A2H1A5G5
OGR7_0005709	A0A2H1A548
OG7_0004184	A0A2H1A5G2
OG7_0001878	A0A2H1A5J2
OG7_0009312	A0A2H1A3W4
OG7_0017558	A0A2H1A3U5
OG7_0007502	A0A2H1A3U9
OG7_0001209	A0A2H1A6D7
OGR7_0014533	A0A2H1A6H0
OG7_0005344	A0A2H1A5I9
OG7_0101684	A0A2H1A5H9
OG7_0001516	A0A5C1DUY5
OG7_0001990	A0A2H1A5H3
OG7_0008153	A0A2H1A3X9
OG7_0000556	A0A2H1A5J7
OG7_0016766	A0A2H1A5J4
OG7_0005210	A0A2H1A5I7
OG7_0008829	A0A2H1A6E5
OGR7_0014518	A0A2H1A6I0
OGR7_0004041	A0A2H1A5K0
OG7_0017496	A0A2H1A5J1
OG7_0002966	A0A2H1A5I6
OG7_0001022	A0A2H1A5I2
OG7_0005640	A0A2H1A5L4
OG7_0003287	A0A2H1A3Y3
OGR7_0011395	A0A2H1A5K5
OG7_0001580	A0A2H1A5J9
OG7_0005694	A0A2H1A6F9
OGR7_0012824	A0A2H1A6J4
OGR7_0009191	A0A2H1A5L0
OG7_0005901	A0A2H1A5K2
OG7_0014007	A0A2H1A5J5
OG7_0007234	A0A2H1A570
OG7_0006221	A0A2H1A5M6
OGR7_0023544	A0A2H1A3Z9
OG7_0005001	A0A2H1A3Z3
OGR7_0006754	A0A2H1A3X3
OGR7_0016691	A0A2H1A6G6
OG7_0004414	A0A2H1A6K5
OG7_0009341	A0A2H1A5M0
OG7_0024920	A0A2H1A5L3
OGR7_0023553	A0A2H1A5L1
OG7_0010512	A0A2H1A577
OG7_0008240	A0A2H1A5N5
OG7_0005531	A0A2H1A5N1
OG7_0001581	A0A2H1A5M5
OG7_0004620	A0A2H1A5M1
OG7_0001622	A0A2H1A3Z2
OG7_0005394	A0A2H1A6L6
OG7_0101657	A0A2H1A5N0
OG7_0005946	A0A2H1A5M4
OG7_0005916	A0A2H1A3Y8
OG7_0011978	A0A2H1A5L7
OG7_0003291	A0A2H1A5P7
OG7_0002830	A0A2H1A5P1
OG7_0009764	A0A2H1A5N4
OG7_0005995	A0A2H1A5N7
OG7_0003954	A0A2H1A402
OG7_0006022	A0A2H1A443
OG7_0004751	A0A2H1A5P2
OG7_0005760	A0A2H1A422
OG7_0002153	A0A2H1A5N2
OG7_0005371	A0A2H1A592
OG7_0009214	A0A2H1A5D1
OG7_0007798	A0A2H1A5Q2
OG7_0101675	A0A2H1A5P5
OG7_0035606	A0A2H1A403
OGR7_0012831	A0A2H1A6J8
OG7_0007719	A0A2H1A6N8
OG7_0000402	A0A2H1A5Q3
OG7_0006271	A0A2H1A5P9
OG7_0012621	A0A2H1A5P3
OG7_0020668	A0A2H1A5A0
OG7_0036303	A0A2H1A5S2
OG7_0018853	A0A2H1A5R4
OG7_0002985	A0A2H1A5Q6
OG7_0005389	A0A2H1A5Q8
OGR7_0012812	A0A2H1A430
OG7_0006211	A0A2H1A6Q3
OG7_0007061	A0A2H1A5R3
OG7_0009272	A0A2H1A5Q9
OG7_0008904	A0A2H1A5Q5
OG7_0156229	A0A2H1A5A8
OG7_0009573	A0A2H1A5T5
OG7_0009342	A0A2H1A5S3
OG7_0000111	A0A2H1A5R7
OG7_0007799	A0A2H1A5S4
OGR7_0004927	A0A2H1A6L9
OGR7_0003761	A0A2H1A478
OG7_0007586	A0A2H1A5S5
OG7_0155752	A0A2H1A5R9
OG7_0006528	A0A2H1A421
OG7_0005906	A0A2H1A5R2
OG7_0000103	A0A2H1A5F4
OGR7_0003450	A0A2H1A5T6
OG7_0004202	A0A2H1A5S8
OG7_0013967	A0A2H1A5T3
OG7_0003009	A0A2H1A448
OG7_0005826	A0A2H1A483
OG7_0000432	A0A2H1A470
OG7_0021772	A0A2H1A467
OG7_0008920	A0A2H1A5S7
OG7_0003341	A0A2H1A5C2
OG7_0018911	A0A2H1A5V6
OG7_0003597	A0A2H1A5U7
OG7_0008214	A0A2H1A5U0
OG7_0002831	A0A2H1A5U4
OG7_0008773	A0A2H1A6N7
OG7_0013335	A0A2H1A6S8
OG7_0003123	A0A2H1A5U9
OG7_0001281	A0A2H1A476
OG7_0010503	A0A2H1A5T8
OG7_0006558	A0A2H1A5D0
OG7_0008459	A0A2H1A5W7
OG7_0001154	A0A2H1A5V8
OG7_0002079	A0A2H1A5V1
OG7_0001728	A0A2H1A5V5
OG7_0002137	A0A2H1A465
OG7_0011734	A0A2H1A6T6
OG7_0004892	A0A2H1A5V7
OG7_0003255	A0A2H1A5V2
OG7_0001293	A0A2H1A452
OG7_0009890	A0A2H1A5U3
OG7_0010289	A0A2H1A5X7
OG7_0008038	A0A2H1A485
OG7_0004751	A0A2H1A5V9
OG7_0000135	A0A2H1A5W4
