Entry	Gene Names	Protein names	Mass
A0A1D8PCA8	CMP1 CAALFM_C100730CA orf19.13454	Serine/threonine-protein phosphatase (EC 3.1.3.16)	69624
A0A1D8PCC3	SIN3 CAALFM_C100930CA orf19.13432	Transcriptional regulator	159985
A0A1D8PCL1	HGT1 HGT11 CAALFM_C101980WA orf19.4527	High-affinity glucose transporter 1	60670
A0A1D8PCN0	GAL10 CAALFM_C102150WA orf19.11156	Bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	75451
A0A1D8PCV9	PDE2 CAALFM_C102840WA orf19.10489	Phosphodiesterase (EC 3.1.4.-)	65514
A0A1D8PCY4	ECM33 CAALFM_C103190CA orf19.10528.1	Ecm33p	43539
A0A1D8PCY5	CDC12 CAALFM_C103210CA orf19.10531	Septin	45819
A0A1D8PD38	MNS1 CAALFM_C103730CA orf19.8638	alpha-1,2-Mannosidase (EC 3.2.1.-)	70208
A0A1D8PDA6	PHO85 CAALFM_C104520CA orf19.14136	Serine/threonine-protein kinase PHO85	38140
A0A1D8PDV7		Phosphatidylinositol 3-kinase VPS34 (PI3-kinase VPS34) (PI3K VPS34) (PtdIns-3-kinase VPS34) (EC 2.7.1.137) (Vacuolar protein sorting-associated protein 34)	117469
A0A1D8PE76	IRE1 CAALFM_C107970CA orf19.12534	non-specific serine/threonine protein kinase (EC 2.7.11.1)	139332
A0A1D8PEG3	KEX2 CAALFM_C108990CA orf19.12219	Kexin	104865
A0A1D8PEQ9	VPS41 CAALFM_C109920WA orf19.12321	Vacuolar protein sorting-associated protein 41	110144
A0A1D8PF32	CHO1 CAALFM_C111240CA orf19.8294	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	30747
A0A1D8PFE6	CDC54 CAALFM_C112550CA orf19.11245	DNA replication licensing factor MCM4 (EC 3.6.4.12)	102455
A0A1D8PFH4	SPA2 CAALFM_C112620WA orf19.13719	Spa2p	164487
A0A1D8PFP2	ROB1 CHA4 CAALFM_C113620WA orf19.12465	Transcription factor ROB1 (Regulator of biofilm 1)	113686
A0A1D8PFP3	KEM1 CAALFM_C113420CA orf19.12434	5'-3' exoribonuclease 1 (EC 3.1.13.-)	172737
A0A1D8PG96	KAR2 CAALFM_C201120WA orf19.9564	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog)	74562
A0A1D8PHA3	CYT1 CYT12 CAALFM_C204950CA orf19.11011	Cytochrome b-c1 complex catalytic subunit, mitochondrial (EC 7.1.1.8) (Complex III catalytic subunit)	32221
A0A1D8PHD2	CDC7 CAALFM_C205320WA orf19.11045	non-specific serine/threonine protein kinase (EC 2.7.11.1)	74963
A0A1D8PHR9	YPT72 CAALFM_C206910WA orf19.2245	Rab family GTPase	23838
A0A1D8PHU1	TPK2 CAALFM_C207210CA orf19.9817	cAMP-dependent protein kinase (EC 2.7.11.11)	47327
A0A1D8PHX3	TOR1 CAALFM_C207330WA orf19.9459	Serine/threonine-protein kinase TOR (EC 2.7.11.1)	281335
A0A1D8PIE7	CDC47 MCM7 CAALFM_C209020WA orf19.7832	DNA replication licensing factor MCM7 (EC 3.6.4.12)	87600
A0A1D8PIH0	KAR3 CAALFM_C209370CA orf19.11581	Kinesin-like protein	78104
A0A1D8PIH6	INP51 CAALFM_C209770CA orf19.8953	phosphoinositide 5-phosphatase (EC 3.1.3.36)	113084
A0A1D8PIL5	GCN4 CAALFM_C209940WA orf19.8938	Amino acid starvation-responsive transcription factor	35451
A0A1D8PJ17	HOS2 CAALFM_C300780WA orf19.12832	Histone deacetylase (EC 3.5.1.98)	51880
A0A1D8PJA8	TOS1 CAALFM_C301550CA orf19.9258	Probable circularly permuted 1,3-beta-glucanase TOS1 (EC 3.2.1.39) (Secreted protein TOS1)	49230
A0A1D8PJG1	GPA2 CAALFM_C302240CA orf19.9189	Guanine nucleotide-binding protein subunit alpha	56936
A0A1D8PJX3	RIP1 CAALFM_C304430WA orf19.13314	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 7)	23207
A0A1D8PJZ1	RAD53 CAALFM_C303810WA orf19.14198	Serine/threonine-protein kinase RAD53 (EC 2.7.12.1)	78327
A0A1D8PJZ6	SNF5 CAALFM_C304290CA orf19.13292	Snf5p	78184
A0A1D8PKA4	KIP3 CAALFM_C305720CA orf19.7353	Kinesin-like protein	109176
