Accession	Group ID	Entry
C100020CA	OGR7_0029146	Q5AB58
C100030CA	OGR7_0019431	Q5AB59
C100040WA	OGR7_0000847	A0A1D8PC38
C100060WA	OG7_0013468	P0CY34
C100070WA	OG7_0007007	A0A1D8PC43
C100080CA	OG7_0101632	Q5AB69
C100090WA	OG7_0008273	Q5AB70
C100100CA	OG7_0005388	Q5AB72
C100110WA	OG7_0001068	Q5AB74
C100120CA	OG7_0009845	P43073
C100130CA	OG7_0007000	Q5AB78
C100140WA	OG7_0001012	Q5AB80
C100150CA	OG7_0036263	Q9UW13
C100160CA	OG7_0000011	Q5AB84
C100170WA	OG7_0004758	Q5AB86
C100180WA	OG7_0005590	Q5AB87
C100190CA	OGR7_0004274	Q5AB88
C100200CA	OGR7_0023498	Q5AB89
C100210CA	OG7_0155578	A0A1D8PC56
C100220WA	OG7_0009493	O13318
C100230CA	OG7_0019451	A0A1D8PC67
C100270WA	OGR7_0028763	A0A1D8PC75
C100280CA	OG7_0001167	A0A1D8PC79
C100290WA	OG7_0007976	A0A1D8PC70
C100310WA	OG7_0001952	Q5AB93
C100320WA	OG7_0005079	Q5AB94
C100330CA	OG7_0005539	A0A1D8PC71
C100340WA	OG7_0006617	Q8TG40
C100350CA	OG7_0009248	Q5AB97
C100360WA	OGR7_0011378	Q5AB98
C100370WA	OG7_0011940	A0A1D8PC68
C100380CA	OG7_0007868	Q5AB99
C100390WA	OG7_0001061	Q5ABA1
C100400WA	OG7_0017496	Q5ABA2
C100410CA	OG7_0000709	A0A1D8PC76
C100420WA	OG7_0022966	Q5ABA5
C100430WA	OG7_0002811	Q5ABA6
C100440WA	OG7_0006559	A0A1D8PC77
C100450CA	OG7_0021370	A0A1D8PC73
C100460WA	OG7_0010293	Q5ABA8
C100470CA	OG7_0004243	Q5ABA9
C100480CA	OG7_0001747	Q5ABB0
C100490CA	OG7_0002700	Q5ABB1
C100500CA	OG7_0004546	Q5ABB2
C100510WA	OG7_0008181	Q5ABB3
C100520WA	OG7_0002312	Q5ABB4
C100530CA	OG7_0056871	Q5ABB5
C100540CA	OG7_0056871	A0A1D8PC83
C100550WA	OG7_0002382	A0A1D8PC84
C100560WA	OG7_0007988	Q5ABB8
C100570CA	OGR7_0007417	A0A1D8PC90
C100580WA	OG7_0014579	Q5ABC2
C100590WA	OG7_0004479	Q5ABC3
C100600WA	OG7_0007168	A0A1D8PCA6
C100610WA	OG7_0004477	Q5ABC5
C100620WA	OG7_0002826	Q5ABC6
C100630WA	OG7_0002979	Q5ABC8
C100640CA	OG7_0006314	A0A1D8PCA4
C100650CA	OG7_0005735	Q5ABD0
C100660CA	OG7_0007005	Q5ABD1
C100670CA	OG7_0020664	Q5ABD2
C100680WA	OG7_0003112	Q5ABD3
C100690WA	OG7_0006448	A0A1D8PCB4
C100700WA	OG7_0009123	Q5ABD5
C100710CA	OG7_0000784	A0A1D8PC97
C100730CA	OG7_0000696	A0A1D8PCA8
C100740CA	OG7_0002546	P78599
C100750CA	OG7_0001169	Q5ABD9
C100760WA	OGR7_0054055	Q5ABE0
C100770CA	OG7_0021770	Q5ABP8
C100780CA	OG7_0101637	Q5ABE2
C100790WA	OGR7_0009163	A0A1D8PCC4
C100800CA	OG7_0010710	A0A1D8PCB9
