Accession	Entry
OG6r20_309477	A0A2V1AU32
OG6_100930	A0A2V1AS39
OG6_108919	A0A2V1AT79
OG6_137857	A0A2V1AT72
OG6_112458	A0A2V1ASG5
OG6_113013	A0A2V1AVY1
OG6_165975	A0A2V1ATF5
OG6_110847	A0A2V1AUQ3
OG6_127020	A0A2V1ATG0
OG6_110843	A0A2V1ATB2
OG6_111107	A0A2V1AU44
OG6_140564	A0A2V1AS49
OG6_151174	A0A2V1AT89
OG6r20_140406	A0A2V1AT80
OG6_114253	A0A2V1ASH4
OG6_113965	A0A2V1AVZ7
OG6_140564	A0A2V1ATG5
OG6_105688	A0A2V1AUR2
OG6_101746	A0A2V1ATH0
OG6_101746	A0A2V1ATC3
OG6_101746	A0A2V1AU52
OG6r20_309469	A0A2V1AS58
OG6r20_109176	A0A2V1AT99
OG6_101230	A0A2V1AT90
OG6_114876	A0A2V1ASI5
OG6_104675	A0A2V1AW06
OG6_102174	A0A2V1ATH5
OG6_124904	A0A2V1AUS0
OG6_100356	A0A2V1ATH8
OG6_102200	A0A2V1ATD1
OG6_100282	A0A2V1AU59
OG6_101528	A0A2V1AS70
OG6_100965	A0A2V1ATA9
OG6_112275	A0A2V1ATA0
OG6_101160	A0A2V1ASJ5
OG6_130353	A0A2V1AW16
OG6_100771	A0A2V1ATI4
OG6r20_103075	A0A2V1AUS8
OG6_106358	A0A2V1ATI7
OG6_100948	A0A2V1ATE1
OG6_119686	A0A2V1AU70
OG6_100390	A0A2V1AS80
OG6_100591	A0A2V1ATB9
OG6_108186	A0A2V1ATB1
OG6_103887	A0A2V1ASL1
OG6_121405	A0A2V1AW26
OG6r20_102018	A0A2V1ATJ3
OG6_100833	A0A2V1AUT9
OG6_100236	A0A2V1ATJ6
OG6_112012	A0A2V1ATF2
OG6_102209	A0A2V1AU82
OG6_113521	A0A2V1AS89
OG6_101809	A0A2V1ATC9
OG6_101611	A0A2V1ATC4
OG6r20_101654	A0A2V1ASM1
OG6_500446	A0A2V1AW36
OG6_118303	A0A2V1ATK2
OG6_103524	A0A2V1AUU9
OG6_100877	A0A2V1ATK6
OG6_101690	A0A2V1ATG2
OG6_103193	A0A2V1AU93
OG6_137739	A0A2V1ASA0
OG6_137739	A0A2V1ATD8
OG6_110272	A0A2V1ATD5
OG6_106922	A0A2V1ASN6
OG6_104980	A0A2V1AW46
OG6_107620	A0A2V1ATL2
OG6_100697	A0A2V1AUV9
OG6_103753	A0A2V1ATL5
OG6_103407	A0A2V1ATH1
OG6_102840	A0A2V1AUA2
OG6r20_101803	A0A2V1ASA9
OG6_123083	A0A2V1ATE7
OG6_500579	A0A2V1ATE5
OG6_137903	A0A2V1ASP4
OG6_100897	A0A2V1AW56
OG6_100325	A0A2V1ATM3
OG6_103435	A0A2V1AUW7
OG6_100512	A0A2V1ATM4
OG6_111428	A0A2V1ATI1
OG6_102985	A0A2V1AUB3
OG6r20_101231	A0A2V1ASB9
OG6_103376	A0A2V1ATF7
OG6r20_101500	A0A2V1ATF6
OG6_112026	A0A2V1ASQ2
OG6_100380	A0A2V1AW66
OG6_100380	A0A2V1ATN3
OG6_100293	A0A2V1AUX7
OG6_100534	A0A2V1ATN4
OG6_124252	A0A2V1ATJ1
OG6_102084	A0A2V1AUC4
OG6_112506	A0A2V1ASD0
OG6_113582	A0A2V1ATG6
OG6_100570	A0A2V1ATG9
OG6_112501	A0A2V1ASR2
OG6_101761	A0A2V1AW79
OG6_102948	A0A2V1ATP4
OG6_115057	A0A2V1AUY5
OG6_100925	A0A2V1ATP3
OG6r20_101802	A0A2V1ATK1
OG6_102165	A0A2V1AUD5
OG6_104409	A0A2V1ASE2
OG6_100803	A0A2V1ATH7
OG6_100904	A0A2V1ATI0
OG6_100025	A0A2V1ASS1
OG6_100689	A0A2V1AW87
OG6_104299	A0A2V1ATQ3
OG6_101943	A0A2V1AUZ3
OG6_173339	A0A2V1ATQ4
OG6_102486	A0A2V1ATL1
OG6_100743	A0A2V1AUE5
OG6_107015	A0A2V1ASF4
OG6_100623	A0A2V1ATI9
OG6_107934	A0A2V1ATJ0
OG6_100083	A0A2V1AST3
OG6_101547	A0A2V1AW98
OG6r20_103967	A0A2V1ATR2
OG6_102623	A0A2V1AV04
OG6_108820	A0A2V1ATR4
OG6_100367	A0A2V1ATL8
OG6_101170	A0A2V1AUF5
OG6_100340	A0A2V1ASG6
OG6r20_103084	A0A2V1ATJ7
OG6_104982	A0A2V1ATK0
OG6_103566	A0A2V1ASU5
OG6_101514	A0A2V1AWB1
OG6_100250	A0A2V1ATS2
OG6_222600	A0A2V1AV15
OG6r20_110735	A0A2V1ATS3
OG6r20_101107	A0A2V1ATM7
OG6_105619	A0A2V1AUG5
OG6_102221	A0A2V1ASH8
OG6_101830	A0A2V1ATK4
OG6_100614	A0A2V1ATL0
OG6_102134	A0A2V1ASV5
OG6r20_101519	A0A2V1AWB9
OG6_101920	A0A2V1ATT0
OG6_100474	A0A2V1AV23
OG6_104453	A0A2V1ATT1
OG6r20_102487	A0A2V1ATN7
OG6_106319	A0A2V1AUH6
OG6_110137	A0A2V1ASJ2
OG6_129583	A0A2V1ATL4
OG6_101492	A0A2V1ATM1
OG6_114274	A0A2V1ASW5
OG6_101624	A0A2V1AWD5
OG6_102568	A0A2V1ATU0
OG6_103364	A0A2V1AV32
OG6_133175	A0A2V1ATU1
OG6_102857	A0A2V1ATP7
OG6_100728	A0A2V1AUI6
OG6_100814	A0A2V1ASK2
OG6_102678	A0A2V1ATM5
OG6_143663	A0A2V1ATN0
OG6_113608	A0A2V1ASX4
OG6_103808	A0A2V1AWE5
OG6_105676	A0A2V1ATU9
OG6_100521	A0A2V1AV43
OG6_127173	A0A2V1ATV2
OG6_103173	A0A2V1ATQ7
OG6_102723	A0A2V1AUJ8
OG6r20_101643	A0A2V1ASL2
OG6_104789	A0A2V1ATN5
OG6_116989	A0A2V1ATP0
OG6_114551	A0A2V1ASY3
OG6_129937	A0A2V1AWF5
OG6r20_106955	A0A2V1ATV9
OG6r20_140413	A0A2V1AV53
OG6_100282	A0A2V1ATW2
OG6_104156	A0A2V1ATR7
OG6_100151	A0A2V1AUK7
OG6_101977	A0A2V1ASM3
OG6_114877	A0A2V1ATP6
OG6_105315	A0A2V1ATQ0
OG6_107140	A0A2V1ASZ4
OG6_101677	A0A2V1AWG3
OG6_102726	A0A2V1ATW7
OG6_102032	A0A2V1AV62
OG6_100353	A0A2V1ATX0
OG6_100143	A0A2V1ATS7
OG6_500111	A0A2V1AUL8
OG6_106042	A0A2V1ASN3
OG6_106080	A0A2V1ATQ6
OG6_500295	A0A2V1ATQ8
OG6_102900	A0A2V1AT05
OG6_102307	A0A2V1AWH3
OG6_122937	A0A2V1ATX7
OG6_113935	A0A2V1AV72
OG6_101127	A0A2V1ATX9
OG6_101105	A0A2V1ATT7
OG6_103717	A0A2V1AUM6
OG6_100085	A0A2V1ASP6
OG6_101512	A0A2V1ATR6
OG6_115046	A0A2V1ATS0
OG6_102249	A0A2V1AT15
OG6_101563	A0A2V1AWI4
OG6_102013	A0A2V1ATY7
OG6r20_109170	A0A2V1AV83
OG6r20_139769	A0A2V1ATY9
OG6_100282	A0A2V1ATU8
OG6_103719	A0A2V1AUN8
OG6_100417	A0A2V1ASQ7
OG6r20_103498	A0A2V1ATS5
OG6_101393	A0A2V1ATT2
OG6_101395	A0A2V1AT27
