Gene Names	Accession	Entry	Protein names	Mass
Q0045	OG6_102770	P00401	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	58798
Q0050	OG6_129836	P03875	Putative COX1/OXI3 intron 1 protein	96079
Q0055	OG6_129836	P03876	Putative COX1/OXI3 intron 2 protein	98008
Q0060	OG6_181774	P03877	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	47917
Q0065	OG6_102770	P03878	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	63311
Q0070	OG6_102770	Q9ZZX1	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	72165
Q0075	OG6_137876	Q9ZZX0	Intron-encoded DNA endonuclease aI5 beta (EC 3.1.-.-)	42279
Q0080	OG6_137875	P00856	ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)	5822
Q0085	OG6_102362	P00854	ATP synthase subunit a (F-ATPase protein 6)	29099
Q0105	OG6_102198	P00163	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	43656
Q0110	OG6_500207	P03873	Cytochrome b mRNA maturase bI2	49326
Q0115	OG6_205594	Q9ZZW7	Cytochrome b mRNA maturase bI3	61172
Q0120	OG6_102198	P03879	Intron-encoded RNA maturase bI4 (RNA maturase SCbI4) [Cleaved into: Truncated, nonfunctional cytochrome b; RNA maturase bI4 (EC 3.1.-.-)]	74580
Q0130	OG6_101507	P61829	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)	7759
