Accession	Group ID	Entry
B9J08_000001	OGR7_0000276	A0A2H1A6P9
B9J08_000002	OG7_0011977	A0A2H1A6Q5
B9J08_000003	OG7_0002599	A0A2H1A283
B9J08_000004	OGR7_0010219	A0A2H1A2B5
B9J08_000005	OGR7_0014532	A0A2H1A6R0
B9J08_000006	OGR7_0011405	A0A2H1A6P8
B9J08_000007	OG7_0001253	A0A2H1A276
B9J08_000008	OG7_0001646	A0A2H1A7J0
B9J08_000009	OG7_0009265	A0A2H1A7P5
B9J08_000010	OG7_0001730	A0A2H1A299
B9J08_000011	OG7_0012317	A0A2H1A6R3
B9J08_000012	OG7_0002319	A0A2H1A6R4
B9J08_000013	OG7_0007099	A0A2H1A6R7
B9J08_000014	OGR7_0003998	A0A2H1A6S0
B9J08_000015	OG7_0004756	A0A2H1A6S1
B9J08_000016	OG7_0003118	A0A2H1A6R5
B9J08_000017	OG7_0004121	A0A2H1A6R6
B9J08_000018	OG7_0001014	A0A2H1A3E1
B9J08_000019	OGR7_0004027	A0A2H1A7Q3
B9J08_000020	OG7_0004945	A0A2H1A2B0
B9J08_000021	OGR7_0003445	A0A2H1A6S2
B9J08_000022	OG7_0155854	A0A2H1A6S6
B9J08_000023	OG7_0001210	A0A2H1A6S5
B9J08_000024	OG7_0010520	A0A2H1A6T0
B9J08_000025	OG7_0003241	A0A2H1A6T1
B9J08_000026	OG7_0001354	A0A2H1A6S3
B9J08_000027	OG7_0000082	A0A2H1A6S4
B9J08_000028	OG7_0007201	A0A2H1A7K9
B9J08_000029	OG7_0001822	A0A2H1A3K4
B9J08_000030	OGR7_0003997	A0A2H1A2B8
B9J08_000031	OG7_0003402	A0A2H1A2A5
B9J08_000032	OG7_0002777	A0A2H1A6T7
B9J08_000033	OG7_0002542	A0A2H1A6T9
B9J08_000034	OG7_0001465	A0A2H1A6U0
B9J08_000035	OG7_0011721	A0A2H1A6U1
B9J08_000036	OG7_0011721	A0A2H1A6T4
B9J08_000037	OG7_0004979	A0A2H1A6T3
B9J08_000038	OG7_0006780	A0A2H1A7L7
B9J08_000039	OG7_0001609	A0A2H1A7S8
B9J08_000040	OGR7_0003425	A0A2H1A6T8
B9J08_000041	OGR7_0003736	A0A2H1A6U2
B9J08_000042	OG7_0002180	A0A2H1A6U7
B9J08_000043	OG7_0021369	A0A2H1A6U8
B9J08_000044	OG7_0006575	A0A2H1A6V0
B9J08_000045	OG7_0000402	A0A2H1A6V1
B9J08_000046	OG7_0006007	A0A2H1A6U4
B9J08_000047	OG7_0005979	A0A2H1A6U3
B9J08_000048	OG7_0006472	A0A2H1A7N1
B9J08_000049	OG7_0071888	A0A2H1A7U2
B9J08_000050	OG7_0071888	A0A2H1A3M4
B9J08_000051	OG7_0015034	A0A2H1A6V2
B9J08_000052	OGR7_0003441	A0A2H1A6V8
B9J08_000053	OG7_0008718	A0A2H1A6V7
B9J08_000054	OG7_0006512	A0A2H1A6W0
B9J08_000055	OG7_0003537	A0A2H1A6V9
B9J08_000056	OG7_0006814	A0A2H1A6V3
B9J08_000057	OG7_0008733	A0A2H1A2E8
B9J08_000058	OG7_0008429	A0A2H1A7P0
B9J08_000059	OGR7_0002661	A0A2H1A7U9
B9J08_000060	OG7_0001368	A0A2H1A6V5
