Accession	Entry
OG6r21_119614	Q5AB58
OG6r21_119615	Q5AB59
OG6_115022	A0A1D8PC38
OG6_108387	P0CY34
OG6_102327	A0A1D8PC43
OG6_186922	Q5AB69
OG6_117001	Q5AB70
OG6_102621	Q5AB72
OG6_102087	Q5AB74
OG6_105178	P43073
OG6_102035	Q5AB78
OG6_107531	Q5AB80
OG6_129116	Q9UW13
OG6_102437	Q5AB84
OG6_110817	Q5AB86
OG6_100793	Q5AB87
OG6r21_101812	Q5AB88
OG6r21_126894	Q5AB89
OG6_500126	A0A1D8PC56
OG6_107446	O13318
OG6_500290	A0A1D8PC67
OG6_109559	A0A1D8PC75
OG6_102480	A0A1D8PC79
OG6_100000	A0A1D8PC70
OG6_104517	Q5AB93
OG6_101343	Q5AB94
OG6_101639	A0A1D8PC71
OG6_101453	Q8TG40
OG6_104451	Q5AB97
OG6r21_106196	Q5AB98
OG6_106242	A0A1D8PC68
OG6_102465	Q5AB99
OG6_106383	Q5ABA1
OG6_111589	Q5ABA2
OG6_100557	A0A1D8PC76
OG6_118223	Q5ABA5
OG6_103112	Q5ABA6
OG6_101892	A0A1D8PC77
OG6_118306	A0A1D8PC73
OG6_105143	Q5ABA8
OG6_102519	Q5ABA9
OG6_100624	Q5ABB0
OG6_100315	Q5ABB1
OG6_102622	Q5ABB2
OG6_102860	Q5ABB3
OG6_101798	Q5ABB4
OG6_160270	Q5ABB5
OG6_160270	A0A1D8PC83
OG6_100578	A0A1D8PC84
OG6_102484	Q5ABB8
OG6_109925	A0A1D8PC90
OG6_107133	Q5ABC2
OG6_100780	Q5ABC3
OG6_102115	A0A1D8PCA6
OG6_102081	Q5ABC5
OG6_112320	Q5ABC6
OG6_100306	Q5ABC8
OG6_101824	A0A1D8PCA4
OG6_100985	Q5ABD0
OG6_102103	Q5ABD1
OG6_143740	Q5ABD2
OG6_306051	Q5ABD3
OG6r21_102025	A0A1D8PCB4
OG6_103406	Q5ABD5
OG6_100137	A0A1D8PC97
OG6_100566	A0A1D8PCA8
OG6_100277	P78599
OG6_110729	Q5ABD9
OG6_101140	Q5ABE0
OG6_123860	Q5ABP8
OG6_222615	Q5ABE2
OG6_109925	A0A1D8PCC4
OG6_106167	A0A1D8PCB9
OG6_102820	Q5ABE5
OG6r21_103534	Q5ABE6
OG6_100259	A0A1D8PCB5
OG6r21_108051	A0A1D8PCB2
OG6r21_126896	Q5ABE9
OG6_102211	Q5ABQ7
OG6_107778	A0A1D8PCB0
OG6r21_102819	A0A1D8PCC7
OG6_101658	Q5ABR2
OG6_102760	A0A1D8PCC8
OG6_104393	A0A1D8PCC6
OG6_114273	Q5ABF8
OG6_101145	A0A1D8PCC3
OG6_101401	A0A1D8PCD0
OG6_100759	Q5ABG0
OG6_101262	Q5ABG1
OG6r21_119617	A0A1D8PCD5
OG6_104476	A0A1D8PCD7
OG6_107381	A0A1D8PCD2
OG6r21_104641	Q5A945
OG6_103517	A0A1D8PCD3
OG6_101444	Q5A943
OG6_100783	Q5A942
OG6_102127	A0A1D8PCD8
OG6_102239	Q5A940
OG6_119801	A0A1D8PCF1
OG6r21_101376	Q5A938
OG6_109870	Q5A937
OG6_104443	Q5A936
OG6_101443	Q5A934
OG6_112271	Q5A933
OG6_106093	Q5A932
OG6_100931	Q5A931
OG6_102463	A0A1D8PCE7
OG6_122190	A0A1D8PCF5
OG6_103312	Q5A928
OG6_100150	Q5A927
OG6_186916	Q5A926
OG6r21_112706	Q5A925
OG6_138957	Q5A924
OG6_101126	Q5A923
OG6_110891	Q5A922
OG6_102292	Q5A920
OG6r21_101657	A0A1D8PCF2
OG6r21_126897	Q5A917
OG6r21_101515	A0A1D8PCF7
OG6_100096	Q5A915
OG6_101861	A0A1D8PCG9
OG6_101166	P0CY19
OG6r21_101658	Q5A911
OG6_101294	P87206
OG6_101901	A0A1D8PCG4
OG6_101819	A0A1D8PCG7
OG6_100839	A0A1D8PCG3
OG6_220882	A0A1D8PCG5
OG6_102878	Q5A905
OG6_500422	Q5A904
OG6_106080	A0A1D8PCH9
OG6_101512	A0A1D8PCI9
OG6_115046	A0A1D8PCH1
OG6_106005	A0A1D8PCH2
OG6_100429	Q5A900
OG6_500975	Q5A8Z9
OG6r21_115508	A0A1D8PCH3
