Entry	Gene Names	Orthomcl ID
A0A2H0ZBN0	B9J08_005583	OG6r20_292573
A0A2H0ZNW4	B9J08_003925	OG6r20_292572
A0A2H0ZCM1	B9J08_005056	OG6r20_292571
A0A2H0ZKC0	B9J08_002681	OG6r20_292570
A0A2H0ZGY9	B9J08_004895	OG6r20_167123
A0A2H0ZIH7	B9J08_004283	OG6r20_167122
A0A2H0ZNY7	B9J08_003968	OG6r20_167121
A0A2H0ZMR3	B9J08_003534	OG6r20_167120
A0A2H0ZLL1	B9J08_003110	OG6r20_167119
A0A2H0ZL75	B9J08_002958	OG6r20_167118
A0A2H0ZYF6	B9J08_001781	OG6r20_167117
A0A2H1A230	B9J08_001481	OG6r20_167116
A0A2H0ZNK3	B9J08_003487	OG6r20_167096
A0A2H0ZL38	B9J08_002925	OG6r20_167080
A0A2H0ZI11	B9J08_004107	OG6r20_139764
A0A2H0ZNS0	B9J08_003898	OG6r20_139763
A0A2H0ZWY1	B9J08_001988	OG6r20_139762
A0A2H0ZQ41	B9J08_001789	OG6r20_139761
A0A2H0ZZS9	B9J08_001201	OG6r20_139760
A0A2H1A0Y2	B9J08_001074	OG6r20_139759
A0A2H0ZK66	B9J08_002624	OG6r20_139750
A0A2H0ZVX4	B9J08_002561	OG6r20_139749
A0A2H0ZF68	B9J08_005519	OG6r20_139748
A0A2H0ZDC1	B9J08_005321	OG6r20_139747
A0A2H1A2B5	B9J08_000004	OG6r20_139744
A0A2H0ZC31	B9J08_004897	OG6r20_126679
A0A2H0ZGI9	B9J08_004777	OG6r20_126678
A0A2H0ZHD7	B9J08_004708	OG6r20_126677
A0A2H0ZIM8	B9J08_004290	OG6r20_126676
A0A2H0ZIY7	B9J08_004105	OG6r20_126675
A0A2H0ZNW7	B9J08_003929	OG6r20_126674
A0A2H0ZNF1	B9J08_003777	OG6r20_126673
A0A2H0ZTR6	B9J08_003181	OG6r20_126672
A0A2H0ZV49	B9J08_002295	OG6r20_126671
A0A2H1A7N2	B9J08_001053	OG6r20_126670
A0A2H1A6A0	B9J08_000891	OG6r20_126669
A0A2H1A8P4	B9J08_000369	OG6r20_126668
A0A2H0ZIV0	B9J08_004354	OG6r20_126665
A0A2H0ZI38	B9J08_004863	OG6r20_126664
A0A2H0ZCA9	B9J08_004963	OG6r20_126659
A0A2H1A1G3	B9J08_001287	OG6r20_126658
A0A2H0ZV37	B9J08_004084	OG6r20_126657
A0A2H0ZP62	B9J08_003704	OG6r20_126655
A0A2H1A229	B9J08_001466	OG6r20_126652
A0A2H0ZFZ1	B9J08_004582	OG6r20_119440
A0A2H0ZPA6	B9J08_003744	OG6r20_119439
A0A2H0ZZ17	B9J08_001480	OG6r20_119438
A0A2H0ZZL7	B9J08_001313	OG6r20_119437
A0A2H1A7B5	B9J08_000224	OG6r20_119436
A0A2H1A6Y6	B9J08_000083	OG6r20_119435
A0A2H0ZJZ9	B9J08_005560	OG6r20_119434
A0A2H0ZGX0	B9J08_004894	OG6r20_119433
A0A2H0ZFL7	B9J08_004471	OG6r20_119431
A0A2H1A227	B9J08_001482	OG6r20_119429
A0A2H1A536	B9J08_001050	OG6r20_119428
A0A2H1A6G6	B9J08_000672	OG6r20_119426
A0A2H0ZFL4	B9J08_005574	OG6r20_119424
A0A2H0ZG13	B9J08_004615	OG6r20_119423
A0A2H0ZCZ7	B9J08_005194	OG6r20_119422
A0A2H0ZBY7	B9J08_005563	OG6r20_119421
A0A2H1A1K0	B9J08_001268	OG6r20_119420
A0A2H0ZMQ7	B9J08_003526	OG6r20_119418
A0A2H0ZKH7	B9J08_002735	OG6r20_119417
A0A2H0ZC00	B9J08_005538	OG6r20_115448
A0A2H1A836	B9J08_000502	OG6r20_115447
A0A2H0ZK21	B9J08_002591	OG6r20_115445
A0A2H0ZCT7	B9J08_005551	OG6r20_115444
A0A2H0ZBX3	B9J08_005547	OG6r20_115443
A0A2H0ZBX1	B9J08_005546	OG6r20_115442
