Gene Names	Accession
CXQ85_000001	OG6r20_309477
CXQ85_000002	OG6_100930
CXQ85_000003	OG6_108919
CXQ85_000004	OG6_137857
CXQ85_000005	OG6_112458
CXQ85_000006	OG6_113013
CXQ85_000007	OG6_165975
CXQ85_000008	OG6_110847
CXQ85_000009	OG6_127020
CXQ85_000010	OG6_110843
CXQ85_000011	OG6_111107
CXQ85_000012	OG6_140564
CXQ85_000013	OG6_151174
CXQ85_000014	OG6r20_140406
CXQ85_000015	OG6_114253
CXQ85_000016	OG6_113965
CXQ85_000017	OG6_140564
CXQ85_000018	OG6_105688
CXQ85_000019	OG6_101746
CXQ85_000020	OG6_101746
CXQ85_000021	OG6_101746
CXQ85_000022	OG6r20_309469
CXQ85_000023	OG6r20_109176
CXQ85_000024	OG6_101230
CXQ85_000025	OG6_114876
CXQ85_000026	OG6_104675
CXQ85_000027	OG6_102174
CXQ85_000028	OG6_124904
CXQ85_000029	OG6_100356
CXQ85_000030	OG6_102200
CXQ85_000031	OG6_100282
CXQ85_000032	OG6_101528
CXQ85_000033	OG6_100965
CXQ85_000034	OG6_112275
CXQ85_000035	OG6_101160
CXQ85_000036	OG6_130353
CXQ85_000037	OG6_100771
CXQ85_000038	OG6r20_103075
CXQ85_000039	OG6_106358
CXQ85_000040	OG6_100948
CXQ85_000041	OG6_119686
CXQ85_000042	OG6_100390
CXQ85_000043	OG6_100591
CXQ85_000044	OG6_108186
CXQ85_000045	OG6_103887
CXQ85_000046	OG6_121405
CXQ85_000047	OG6r20_102018
CXQ85_000048	OG6_100833
CXQ85_000049	OG6_100236
CXQ85_000050	OG6_112012
CXQ85_000051	OG6_102209
CXQ85_000052	OG6_113521
CXQ85_000053	OG6_101809
CXQ85_000054	OG6_101611
CXQ85_000055	OG6r20_101654
CXQ85_000056	OG6_500446
CXQ85_000057	OG6_118303
CXQ85_000058	OG6_103524
CXQ85_000059	OG6_100877
CXQ85_000060	OG6_101690
CXQ85_000061	OG6_103193
CXQ85_000062	OG6_137739
CXQ85_000063	OG6_137739
CXQ85_000064	OG6_110272
CXQ85_000065	OG6_106922
CXQ85_000066	OG6_104980
CXQ85_000067	OG6_107620
CXQ85_000068	OG6_100697
CXQ85_000069	OG6_103753
CXQ85_000070	OG6_103407
CXQ85_000071	OG6_102840
CXQ85_000072	OG6r20_101803
CXQ85_000073	OG6_123083
CXQ85_000074	OG6_500579
CXQ85_000075	OG6_137903
CXQ85_000076	OG6_100897
CXQ85_000077	OG6_100325
CXQ85_000078	OG6_103435
CXQ85_000079	OG6_100512
CXQ85_000080	OG6_111428
CXQ85_000081	OG6_102985
CXQ85_000082	OG6r20_101231
CXQ85_000083	OG6_103376
