Accession	Group ID	Entry
Q0045	OG7_0006956	P00401
Q0050	OG7_0000134	P03875
Q0055	OG7_0000134	P03876
Q0060	OG7_0156225	P03877
Q0065	OG7_0155647	P03878
Q0070	OG7_0155684	Q9ZZX1
Q0075	OG7_0025213	Q9ZZX0
Q0080	OG7_0041002	P00856
Q0085	OG7_0007943	P00854
Q0105	OG7_0006947	P00163
Q0110	OG7_0006947	P03873
Q0115	OG7_0006947	Q9ZZW7
Q0120	OG7_0006947	P03879
Q0130	OG7_0005431	P61829
Q0140	OG7_0155505	P02381
Q0160	OG7_0022282	P03882
Q0250	OG7_0007785	P00410
Q0255	OG7_0024672	P03881
Q0275	OG7_0008871	P00420
YAL001C	OG7_0018417	P34111
YAL002W	OG7_0005697	P39702
YAL003W	OG7_0003992	P32471
YAL005C	OG7_0000779	P10591
YAL007C	OG7_0001609	P39704
YAL008W	OG7_0155965	P18411
YAL009W	OG7_0020676	P18410
YAL010C	OG7_0018409	P18409
YAL011W	OG7_0036288	P31376
YAL012W	OG7_0002476	P31373
YAL013W	OG7_0022151	P31385
YAL014C	OG7_0007003	P31377
YAL015C	OG7_0002796	P31378
YAL016W	OG7_0004752	P31383
YAL017W	OG7_0000009	P31374
YAL018C	OG7_0013762	P31379
YAL019W	OG7_0000402	P31380
YAL020C	OG7_0000958	P31386
YAL021C	OG7_0001922	P31384
YAL022C	OG7_0002657	P31381
YAL023C	OG7_0004620	P31382
YAL024C	OG7_0001368	P07866
YAL025C	OG7_0007199	P10962
YAL026C	OG7_0001014	P39524
YAL027W	OG7_0156177	P39735
YAL028W	OG7_0101611	P39734
YAL029C	OG7_0000433	P32492
YAL030W	OG7_0001890	P31109
YAL031C	OG7_0156141	P39732
YAL032C	OG7_0007353	P28004
YAL033W	OG7_0008843	P28005
YAL034C	OG7_0016167	P28003
YAL034W-A	OG7_0011620	P39731
YAL035W	OG7_0005538	P39730
YAL036C	OG7_0003744	P39729
YAL037C-A	OG7_0155812	Q3E741
YAL037W	OG7_0101618	P39728
YAL038W	OG7_0002165	P00549
YAL039C	OG7_0006933	P06182
YAL040C	OG7_0001168	P13365
YAL041W	OG7_0002017	P11433
YAL042W	OG7_0002918	P39727
YAL043C	OG7_0007511	Q01329
YAL044C	OG7_0155517	P39726
YAL044W-A	OG7_0003123	Q3E793
YAL046C	OG7_0003123	P39724
YAL047C	OG7_0155745	P39723
YAL048C	OG7_0004122	P39722
YAL049C	OG7_0003630	P39721
YAL051W	OG7_0002985	P39720
YAL053W	OG7_0015877	P39719
YAL054C	OG7_0000501	Q01574
YAL055W	OG7_0155767	P39718
YAL056W	OG7_0101665	P39717
YAL058W	OG7_0003538	P27825
YAL059W	OG7_0155925	P39715
YAL060W	OG7_0001110	P39714
YAL061W	OG7_0001110	P39713
YAL062W	OG7_0003597	P39708
YAL063C	OG7_0024920	P39712
YAL063C-A	OG7_0155674	Q3E791
YAL064C-A	OG7_0024920	Q6B2U8
YAL064W	OG7_0156190	P39711
YAL064W-B	OG7_0155902	O13512
YAL065C	OG7_0024920	O13511
YAL067C	OG7_0002542	P39709
YAL067W-A	OG7_0071884	Q8TGK6
YAL068C	OG7_0014528	P0CE92
YAR002C-A	OG7_0001609	Q05359
YAR002W	OG7_0101692	P39705
YAR003W	OG7_0007581	P39706
YAR007C	OG7_0004216	P22336
YAR008W	OG7_0004069	P39707
YAR009C	OG7_0011767	O13527
YAR010C	OG7_0014733	P0CX57
YAR014C	OG7_0017149	P27637
YAR015W	OG7_0005817	P27616
YAR018C	OG7_0001157	P22209
YAR019C	OG7_0000432	P27636
YAR020C	OG7_0014528	P39545
YAR023C	OG7_0017420	D6VPM8
YAR027W	OG7_0017420	P39547
YAR028W	OG7_0017420	P39548
YAR029W	OG7_0017420	P39549
YAR031W	OG7_0017420	P39551
YAR033W	OG7_0017420	P39552
YAR035C-A	OG7_0155475	Q8TGV0
YAR035W	OG7_0001730	P80235
YAR042W	OG7_0001714	P35845
YAR050W	OG7_0024920	P32768
YAR064W	OG7_0101674	P39563
YAR066W	OG7_0056872	P0CX18
YAR068W	OG7_0155888	P39564
YAR071W	OG7_0005430	P35842
YBL001C	OG7_0012175	P35195
YBL002W	OG7_0001377	P02294
YBL003C	OG7_0001197	P04912
YBL004W	OG7_0007085	P35194
YBL005W	OG7_0101640	P33200
YBL005W-A	OG7_0014733	Q12266
YBL005W-B	OG7_0011767	Q12490
YBL006C	OG7_0155919	P38210
YBL007C	OG7_0000102	P32790
YBL008W	OG7_0003632	P32479
YBL008W-A	OG7_0155780	Q3E821
