"Accession","Group ID"
"chae|CXQ85_000001","OGR7_0226083"
"chae|CXQ85_000002","OG7_0003139"
"chae|CXQ85_000003","OG7_0005194"
"chae|CXQ85_000004","OG7_0002985"
"chae|CXQ85_000005","OG7_0015856"
"chae|CXQ85_000006","OG7_0012907"
"chae|CXQ85_000007","OG7_0003526"
"chae|CXQ85_000008","OG7_0012445"
"chae|CXQ85_000009","OG7_0000031"
"chae|CXQ85_000010","OG7_0002049"
"chae|CXQ85_000011","OG7_0002304"
"chae|CXQ85_000012","OG7_0006835"
"chae|CXQ85_000013","OGR7_0000058"
"chae|CXQ85_000014","OGR7_0005712"
"chae|CXQ85_000015","OG7_0002542"
"chae|CXQ85_000016","OG7_0000397"
"chae|CXQ85_000017","OG7_0006835"
"chae|CXQ85_000018","OG7_0011977"
"chae|CXQ85_000019","OG7_0002599"
"chae|CXQ85_000020","OGR7_0010219"
"chae|CXQ85_000021","OGR7_0010219"
"chae|CXQ85_000022","OGR7_0014532"
"chae|CXQ85_000023","OGR7_0011405"
"chae|CXQ85_000024","OG7_0001253"
"chae|CXQ85_000025","OG7_0001646"
"chae|CXQ85_000026","OG7_0009265"
"chae|CXQ85_000027","OG7_0001730"
"chae|CXQ85_000028","OG7_0012317"
"chae|CXQ85_000029","OG7_0002319"
"chae|CXQ85_000030","OG7_0007099"
"chae|CXQ85_000031","OGR7_0003998"
"chae|CXQ85_000032","OG7_0004756"
"chae|CXQ85_000033","OG7_0003118"
"chae|CXQ85_000034","OG7_0004121"
"chae|CXQ85_000035","OG7_0001014"
"chae|CXQ85_000036","OGR7_0004027"
"chae|CXQ85_000037","OG7_0004945"
"chae|CXQ85_000038","OGR7_0003445"
"chae|CXQ85_000039","OG7_0155854"
"chae|CXQ85_000040","OG7_0001210"
"chae|CXQ85_000041","OG7_0010520"
"chae|CXQ85_000042","OG7_0003241"
"chae|CXQ85_000043","OG7_0001354"
"chae|CXQ85_000044","OG7_0000082"
"chae|CXQ85_000045","OG7_0007201"
"chae|CXQ85_000046","OG7_0001822"
"chae|CXQ85_000047","OGR7_0003997"
"chae|CXQ85_000048","OG7_0003402"
"chae|CXQ85_000049","OG7_0002777"
"chae|CXQ85_000050","OG7_0002542"
"chae|CXQ85_000051","OG7_0001465"
"chae|CXQ85_000052","OG7_0011721"
"chae|CXQ85_000053","OG7_0004979"
"chae|CXQ85_000054","OG7_0001609"
"chae|CXQ85_000055","OGR7_0003425"
"chae|CXQ85_000056","OGR7_0003736"
"chae|CXQ85_000057","OG7_0021369"
"chae|CXQ85_000058","OG7_0006575"
"chae|CXQ85_000059","OG7_0000402"
"chae|CXQ85_000060","OG7_0006007"
"chae|CXQ85_000061","OG7_0006472"
