Entry	Gene Names	Protein names	Mass
A0A0B7P3V8	TY4B-P YPLCTy4-1 POL YPL060C-A	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	127189
D6VTK4	STE2 YFL026W	Pheromone alpha factor receptor	47849
O13297	CET1 YPL228W P1433	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	61850
O13329	FOB1 HRM1 YDR110W YD9727.06	DNA replication fork-blocking protein FOB1	65318
O13516	RPS9A RPS13A YS11A YPL081W	Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)	22443
O13525	COQ4 YDR204W YD8142.01	Ubiquinone biosynthesis protein COQ4, mitochondrial (4-hydroxy-3-methoxy-5-polyprenylbenzoate decarboxylase) (EC 4.1.1.-) (Coenzyme Q biosynthesis protein 4)	38627
O13527	TY1B-A YARCTy1-1 POL YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	136732
O13535	TY1B-H YHRCTy1-1 POL YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	202817
O13539	THP2 YHR167W	THO complex subunit THP2	30299
O13547	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Covalently-linked cell wall protein 14 (Inner cell wall protein)	23268
O13563	RPN13 DAQ1 YLR421C	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	17902
O14467	MBF1 SUF13 YOR298C-A	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	16404
O60200	MDM35 YKL053C-A	Mitochondrial distribution and morphology protein 35	9712
O74700	TIM9 YEL020W-A YEL020BW	Mitochondrial import inner membrane translocase subunit TIM9	10202
O94742	SEM1 DSH1 YDR363W-A	26S proteasome complex subunit SEM1	10386
P00044	CYC1 YJR048W J1653	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	12182
P00127	QCR6 UCR6 YFR033C	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	17257
P00128	QCR7 CRO1 UCR7 YDR529C D9719.32	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	14565
P00163	COB CYTB Q0105	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	43656
P00175	CYB2 YML054C YM9958.08C	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	65539
P00330	ADH1 ADC1 YOL086C O0947	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)	36849
P00331	ADH2 ADR2 YMR303C YM9952.05C	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)	36732
P00358	TDH2 GPD2 YJR009C J1433	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	35847
P00359	TDH3 GPD3 YGR192C G7576	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	35747
P00360	TDH1 GPD1 SSS2 YJL052W J1154	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	35750
P00401	COX1 OXI3 Q0045	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	58798
P00410	COX2 OXI1 Q0250	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	28567
P00420	COX3 OXI2 Q0275	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	30360
P00424	COX5A YNL052W N2474 YNL2474W	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	17140
P00431	CCP1 CCP CPO YKR066C	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	40353
P00445	SOD1 YJR104C J1968	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	15855
P00546	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	34061
P00549	CDC19 PYK1 YAL038W	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	54545
P00560	PGK1 YCR012W YCR12W	Phosphoglycerate kinase (EC 2.7.2.3)	44738
P00572	CDC8 YJR057W J1715	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	24687
P00635	PHO5 YBR093C YBR0814	Repressible acid phosphatase (EC 3.1.3.2) (P60)	52859
P00724	SUC2 YIL162W	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	60639
P00729	PRC1 YMR297W	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	59802
P00812	CAR1 YPL111W LPH15W	Arginase (EC 3.5.3.1)	35662
P00815	HIS4 YCL030C YCL183 YCL30C	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	87721
P00817	IPP1 PPA PPA1 YBR011C YBR0202	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	32300
P00830	ATP2 YJR121W J2041	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	54794
P00854	ATP6 OLI2 OLI4 PHO1 Q0085	ATP synthase subunit a (F-ATPase protein 6)	29099
P00890	CIT1 GLU3 LYS6 YNR001C N2019	Citrate synthase, mitochondrial (EC 2.3.3.1)	53360
P00924	ENO1 ENOA HSP48 YGR254W G9160	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	46816
P00925	ENO2 ENOB YHR174W	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	46914
P00927	ILV1 YER086W	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	63831
P00937	TRP3 YKL211C	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	53489
P00942	TPI1 YDR050C YD9609.05C	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	26795
P00950	GPM1 GPM YKL152C YKL607	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	27609
P00958	MES1 YGR264C	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	85678
P01094	PAI3 YMR174C YM8010.04C	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	7707
P01119	RAS1 YOR101W YOR3205W	Ras-like protein 1 (EC 3.6.5.2)	34347
P01120	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	Ras-like protein 2 (EC 3.6.5.2)	34705
P01123	YPT1 YP2 YFL038C	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	23214
P02293	HTB1 H2B1 SPT12 YDR224C YD9934.09C	Histone H2B.1 (Suppressor of Ty protein 12)	14252
P02294	HTB2 H2B2 YBL002W YBL0104	Histone H2B.2	14237
P02309	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Histone H4	11368
P02400	RPP2B L12EIA RPL45 RPLA4 YDR382W	Large ribosomal subunit protein P2B (P2B) (60S acidic ribosomal protein P2-beta) (L12eIA) (L45) (YL44C) (YP2beta) (YPA1)	11050
P02406	RPL28 CYH2 YGL103W	Large ribosomal subunit protein uL15 (60S ribosomal protein L28) (L27a) (L29) (RP44) (RP62) (YL24)	16722
P02557	TUB2 YFL037W	Tubulin beta chain (Beta-tubulin)	50923
P02829	HSP82 HSP90 YPL240C	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	81406
P02992	TUF1 TUFM YOR187W	Elongation factor Tu, mitochondrial (tufM)	47972
P02994	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	50033
P03069	GCN4 AAS101 AAS3 ARG9 YEL009C	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	31310
P03870	FLP1 R0010W	Site-specific recombinase Flp (FLP) (Protein Able)	48620
P03871	REP1 R0020C	Partitioning protein REP1 (R1) (Protein Baker) (Trans-acting factor B)	43231
P03873	BI2 Q0110	Cytochrome b mRNA maturase bI2	49326
