Accession	Gene Names	Entry	Protein names	Mass
OG6r21_119614	C100020CA	Q5AB58	Uncharacterized protein	11597
OG6r21_119615	C100030CA	Q5AB59	Uncharacterized protein	11776
OG6_115022	C100040WA	A0A1D8PC38	Cta2p	29210
OG6_108387	C100060WA	P0CY34	Transcriptional repressor TUP1	57603
OG6_102327	C100070WA	A0A1D8PC43	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate pyrophosphate decarboxylase) (MPD) (Mevalonate-5-diphosphate decarboxylase) (MDD) (MDDase)	39544
OG6_186922	C100080CA	Q5AB69	Rca1p	32178
OG6_117001	C100090WA	Q5AB70	Peroxin/Ferlin domain-containing protein	20589
OG6_102621	C100100CA	Q5AB72	Cardiolipin synthase	26913
OG6_102087	C100110WA	Q5AB74	CCT-theta	58267
OG6_105178	C100120CA	P43073	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	24768
OG6_102035	C100130CA	Q5AB78	Vps53p	80718
OG6_107531	C100140WA	Q5AB80	Kel1p	113937
OG6_129116	C100150CA	Q9UW13	pH-response regulator protein palF/RIM8	69252
OG6_102437	C100160CA	Q5AB84	RRM domain-containing protein	43524
OG6_110817	C100170WA	Q5AB86	2-isopropylmalate synthase (EC 2.3.3.13)	64210
OG6_100793	C100180WA	Q5AB87	Large ribosomal subunit protein uL13 (60S ribosomal protein L16-A)	22636
OG6r21_101812	C100190CA	Q5AB88	Uncharacterized protein	24716
OG6r21_126894	C100200CA	Q5AB89	RRM domain-containing protein	13277
OG6_500126	C100210CA	A0A1D8PC56	Glucose-signaling factor 2	44437
OG6_107446	C100220WA	O13318	pH-responsive protein 2 (pH-regulated protein 2)	58716
OG6_500290	C100230CA	A0A1D8PC67	Bfa1p	50528
OG6_109559	C100270WA	A0A1D8PC75	Ty3 transposon capsid-like protein domain-containing protein	34718
OG6_102480	C100280CA	A0A1D8PC79	Rfc52p	4900
OG6_100000	C100290WA	A0A1D8PC70	Pol93p	75606
OG6_104517	C100310WA	Q5AB93	Protein PNS1	58064
OG6_101343	C100320WA	Q5AB94	Vacuolar protein sorting-associated protein 29	29068
OG6_101639	C100330CA	A0A1D8PC71	CCR4-NOT core subunit	20882
OG6_101453	C100340WA	Q8TG40	Adenylate kinase isoenzyme 6 homolog HBR1 (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase) (Hemoglobin and proliferation-regulated protein 1) (Hb-regulated protein 1)	28668
OG6_104451	C100350CA	Q5AB97	Hmx1p	33972
OG6r21_106196	C100360WA	Q5AB98	Cdc13p	51370
OG6_106242	C100370WA	A0A1D8PC68	Complex 1 LYR protein	11200
OG6_102465	C100380CA	Q5AB99	N-terminal acetyltransferase B complex subunit MDM20	87051
OG6_106383	C100390WA	Q5ABA1	P-type Na(+) transporter (EC 7.2.2.3)	117132
OG6_111589	C100400WA	Q5ABA2	Ceramide-binding protein SVF1 (Survival factor 1)	42999
OG6_100557	C100410CA	A0A1D8PC76	Aldehyde dehydrogenase	60635
OG6_118223	C100420WA	Q5ABA5	Alpha/beta hydrolase	37285
OG6_103112	C100430WA	Q5ABA6	Autophagy-related protein 18	61694
OG6_101892	C100440WA	A0A1D8PC77	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	54118
OG6_118306	C100450CA	A0A1D8PC73	MICOS complex subunit MIC19	16628
OG6_105143	C100460WA	Q5ABA8	Protein MGR2	11537
OG6_102519	C100470CA	Q5ABA9	N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D	50686
OG6_100624	C100480CA	Q5ABB0	AAA family ATPase	84911
OG6_100315	C100490CA	Q5ABB1	Dithiol glutaredoxin	13124
OG6_102622	C100500CA	Q5ABB2	Lactoylglutathione lyase (EC 4.4.1.5) (Glyoxalase I)	39525
OG6_102860	C100510WA	Q5ABB3	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	34129
OG6_101798	C100520WA	Q5ABB4	Phosphoglycerate mutase	25557
OG6_160270	C100530CA	Q5ABB5	Bul1 N-terminal domain-containing protein	91089
OG6_160270	C100540CA	A0A1D8PC83	Bul1 N-terminal domain-containing protein	82664
