Gene Names	Accession	Entry
Q0045	OG6_102770	P00401
Q0050	OG6_129836	P03875
Q0055	OG6_129836	P03876
Q0060	OG6_181774	P03877
Q0065	OG6_102770	P03878
Q0070	OG6_102770	Q9ZZX1
Q0075	OG6_137876	Q9ZZX0
Q0080	OG6_137875	P00856
Q0085	OG6_102362	P00854
Q0105	OG6_102198	P00163
Q0110	OG6_500207	P03873
Q0115	OG6_205594	Q9ZZW7
Q0120	OG6_102198	P03879
Q0130	OG6_101507	P61829
Q0140	OG6_500400	P02381
Q0160	OG6_134355	P03882
Q0250	OG6_103253	P00410
Q0255	OG6_128521	P03881
Q0275	OG6_104028	P00420
YAL001C	OG6_198028	P34111
YAL002W	OG6_102677	P39702
YAL003W	OG6_101695	P32471
YAL005C	OG6_100083	P10591
YAL007C	OG6_103696	P39704
YAL008W	OG6_499957	P18411
YAL009W	OG6_115039	P18410
YAL010C	OG6_114985	P18409
YAL011W	OG6_500215	P31376
YAL012W	OG6_100353	P31373
YAL013W	OG6_142300	P31385
YAL014C	OG6_103098	P31377
YAL015C	OG6_100563	P31378
YAL016W	OG6_101100	P31383
YAL017W	OG6_104334	P31374
YAL018C	OG6_110243	P31379
YAL019W	OG6_103309	P31380
YAL020C	OG6_105051	P31386
YAL021C	OG6_101771	P31384
YAL022C	OG6_100863	P31381
YAL023C	OG6_101353	P31382
YAL024C	OG6_123083	P07866
YAL025C	OG6_102084	P10962
YAL026C	OG6_100089	P39524
YAL027W	OG6_500947	P39735
YAL028W	OG6_500095	P39734
YAL029C	OG6_100101	P32492
YAL030W	OG6_105078	P31109
YAL031C	OG6_499956	P39732
YAL032C	OG6_102543	P28004
YAL033W	OG6_103583	P28005
YAL034C	OG6_222536	P28003
YAL034W-A	OG6_121243	P39731
YAL035W	OG6_101241	P39730
YAL036C	OG6_102018	P39729
YAL037C-A	OG6_500220	Q3E741
YAL037W	OG6_222537	P39728
YAL038W	OG6_100258	P00549
YAL039C	OG6_101849	P06182
YAL040C	OG6_500965	P13365
YAL041W	OG6_112509	P11433
YAL042W	OG6_101674	P39727
YAL043C	OG6_137869	Q01329
YAL044C	OG6_100619	P39726
YAL044W-A	OG6_101206	Q3E793
YAL046C	OG6_104163	P39724
YAL047C	OG6_499942	P39723
YAL048C	OG6_101658	P39722
YAL049C	OG6_102257	P39721
YAL051W	OG6_222538	P39720
YAL053W	OG6_123074	P39719
YAL054C	OG6_100430	Q01574
YAL055W	OG6_500864	P39718
YAL056W	OG6_222540	P39717
YAL058W	OG6_102144	P27825
YAL059W	OG6_143832	P39715
YAL060W	OG6_152608	P39714
YAL061W	OG6_100349	P39713
YAL062W	OG6_100455	P39708
YAL063C	OG6_128677	P39712
YAL063C-A	OG6_500538	Q3E791
YAL064C-A	OG6_128677	Q6B2U8
YAL064W	OG6_500706	P39711
YAL064W-B	OG6_500237	O13512
YAL065C	OG6_128677	O13511
YAL067C	OG6_124924	P39709
YAL067W-A	OG6_222541	Q8TGK6
YAL068C	OG6_109825	P0CE92
YAR002C-A	OG6_102210	Q05359
YAR002W	OG6_500874	P39705
YAR003W	OG6_103359	P39706
YAR007C	OG6_101316	P22336
YAR008W	OG6_102602	P39707
YAR009C	OG6_100069	O13527
YAR010C	OG6_100069	P0CX57
YAR014C	OG6_116980	P27637
YAR015W	OG6_101413	P27616
YAR018C	OG6_104455	P22209
YAR019C	OG6_104840	P27636
YAR020C	OG6_109825	P39545
YAR023C	OG6_111794	D6VPM8
YAR027W	OG6_111794	P39547
YAR028W	OG6_111794	P39548
YAR029W	OG6_111794	P39549
YAR031W	OG6_111794	P39551
YAR033W	OG6_111794	P39552
YAR035C-A	OG6_500804	Q8TGV0
YAR035W	OG6_104379	P80235
YAR042W	OG6_101373	P35845
YAR050W	OG6_128677	P32768
YAR064W	OG6_222542	P39563
YAR066W	OG6_162024	P0CX18
YAR068W	OG6_500195	P39564
YAR071W	OG6_101372	P35842
YBL001C	OG6_106489	P35195
YBL002W	OG6_100082	P02294
YBL003C	OG6_100077	P04912
YBL004W	OG6_103119	P35194
YBL005W	OG6_179530	P33200
YBL005W-A	OG6_100069	Q12266
YBL005W-B	OG6_100069	Q12490
YBL006C	OG6_500821	P38210
YBL007C	OG6_113608	P32790
YBL008W	OG6_103167	P32479
YBL008W-A	OG6_500514	Q3E821
YBL009W	OG6_193608	P32789
YBL010C	OG6_500910	P32788
YBL011W	OG6_105381	P32784
YBL013W	OG6_101497	P32785
YBL014C	OG6_500861	P32786
YBL015W	OG6_109868	P32316
YBL016W	OG6_100339	P16892
YBL017C	OG6_101285	P32319
YBL018C	OG6_131696	P38208
YBL019W	OG6_105226	P38207
YBL020W	OG6_103267	P38206
YBL021C	OG6_101084	P13434
YBL022C	OG6_100411	P36775
YBL023C	OG6_101336	P29469
YBL024W	OG6_101428	P38205
YBL025W	OG6_500873	P38204
YBL026W	OG6_103409	P38203
YBL027W	OG6_100773	P0CX83
YBL028C	OG6_129994	P38202
YBL029C-A	OG6_135805	Q3E756
YBL029W	OG6_500824	P38201
YBL030C	OG6_100505	P18239
YBL031W	OG6_500881	P38200
YBL032W	OG6_103746	P38199
YBL033C	OG6_100984	P38066
YBL034C	OG6_500777	P38198
YBL035C	OG6_102459	P38121
YBL036C	OG6_101083	P38197
YBL037W	OG6_101447	P38065
YBL038W	OG6_101573	P38064
YBL039C	OG6_100470	P28274
YBL039W-B	OG6_500844	P0C268
YBL040C	OG6_101087	P18414
YBL041W	OG6_101631	P23724
YBL042C	OG6_110303	P38196
YBL043W	OG6_499927	P38195
YBL044W	OG6_500729	P38194
YBL045C	OG6_109499	P07256
YBL046W	OG6_500615	P38193
YBL047C	OG6_101578	P34216
YBL049W	OG6_100480	P38191
YBL050W	OG6_101315	P32602
YBL051C	OG6_115950	P34217
YBL052C	OG6_103737	P34218
YBL054W	OG6_222543	P34219
YBL055C	OG6_100330	P34220
YBL056W	OG6_100270	P34221
YBL057C	OG6_100991	P34222
YBL058W	OG6_102041	P34223
YBL059C-A	OG6_104914	Q3E7A4
YBL059W	OG6_143732	P34224
YBL060W	OG6_500753	P34225
YBL061C	OG6_118125	P34226
YBL063W	OG6_102884	P28742
YBL064C	OG6_100111	P34227
YBL066C	OG6_500036	P34228
YBL067C	OG6_101733	P38187
YBL068W	OG6_100356	P38063
YBL069W	OG6_187137	P35183
YBL071C-B	OG6_500572	Q8TGU8
YBL071W-A	OG6_103160	Q3E840
YBL072C	OG6_100802	P0CX39
YBL074C	OG6_103436	P32357
YBL075C	OG6_100083	P09435
YBL076C	OG6_100811	P09436
YBL078C	OG6_100707	P38182
YBL079W	OG6_102040	P38181
YBL080C	OG6_101213	P33893
YBL081W	OG6_500348	P38180
YBL082C	OG6_103036	P38179
YBL084C	OG6_101939	P38042
YBL085W	OG6_103553	P38041
YBL086C	OG6_109471	P38177
YBL087C	OG6_100370	P0CX41
YBL088C	OG6_102827	P38110
YBL089W	OG6_100459	P38176
YBL090W	OG6_106076	P38175
YBL091C	OG6_100815	P38174
YBL091C-A	OG6_101143	Q6Q595
YBL092W	OG6_100702	P38061
YBL093C	OG6_500254	P25046
YBL095W	OG6_103459	P38172
YBL097W	OG6_103100	P38170
YBL098W	OG6_103174	P38169
YBL099W	OG6_100771	P07251
YBL100W-A	OG6_100069	Q12260
YBL100W-B	OG6_100069	Q12491
YBL100W-C	OG6_500419	P0C269
YBL101C	OG6_222544	P38167
YBL102W	OG6_103301	P38166
YBL103C	OG6_500054	P38165
YBL104C	OG6_104395	P38164
YBL105C	OG6_102972	P24583
YBL106C	OG6_115599	P38163
YBL107C	OG6_129167	P38162
YBL108C-A	OG6_109825	Q3E770
YBL111C	OG6_108906	Q3E7Y5
YBL112C	OG6_108906	Q3E7Y4
YBL113C	OG6_108906	Q7M4S9
YBR001C	OG6_111461	P35172
YBR002C	OG6_100493	P35196
YBR003W	OG6_100316	P18900
YBR004C	OG6_103140	P38211
YBR005W	OG6_160274	P38212
YBR006W	OG6_102015	P38067
YBR007C	OG6_111244	P38213
YBR008C	OG6_127591	P38124
YBR009C	OG6_100120	P02309
YBR010W	OG6_100119	P61830
YBR011C	OG6_100346	P00817
YBR012W-A	OG6_100069	Q12217
YBR012W-B	OG6_100069	Q12193
YBR013C	OG6_500158	P38215
YBR014C	OG6_100315	P38068
YBR015C	OG6_116848	P38069
YBR016W	OG6_500623	P38216
YBR017C	OG6_101362	P38217
YBR018C	OG6_101745	P08431
YBR019C	OG6_100506	P04397
YBR020W	OG6_102769	P04385
YBR021W	OG6_110303	P05316
YBR022W	OG6_166187	P38218
YBR023C	OG6_105483	P29465
YBR024W	OG6_100983	P38072
YBR025C	OG6_100571	P38219
YBR026C	OG6_100989	P38071
YBR028C	OG6_100157	P38070
YBR029C	OG6_101561	P38221
YBR030W	OG6_103554	P38222
YBR031W	OG6_100849	P10664
YBR033W	OG6_173339	P38073
YBR034C	OG6_101444	P38074
YBR035C	OG6_103552	P38075
YBR036C	OG6_500344	P35206
YBR037C	OG6_100983	P23833
YBR038W	OG6_103535	P14180
YBR039W	OG6_100847	P38077
YBR040W	OG6_143735	P38224
YBR041W	OG6_100576	P38225
YBR042C	OG6_102498	P38226
YBR043C	OG6_104355	P38227
