Entry	Entry Name	Protein names	Gene Names
A0A2H0ZW78	A0A2H0ZW78_CANAR	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1 B9J08_002043 CA7LBN_003182
A0A2H1A768	CDR1_CANAR	Pleiotropic ABC efflux transporter of multiple drugs CDR1	CDR1 B9J08_000164
A0A2H0ZD57	A0A2H0ZD57_CANAR	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	B9J08_004928 CA7LBN_003815
A0A2H0ZF20	A0A2H0ZF20_CANAR	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 B9J08_005478 CA7LBN_003345
A0A2H0ZIL9	A0A2H0ZIL9_CANAR	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	B9J08_004309 CA7LBN_004409
A0A2H0ZJJ4	A0A2H0ZJJ4_CANAR	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	PSD2 B9J08_004295 CA7LBN_004398
A0A2H0ZKS1	A0A2H0ZKS1_CANAR	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog)	B9J08_002819
A0A2H0ZLB1	A0A2H0ZLB1_CANAR	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 B9J08_002675
A0A2H1A1I0	A0A2H1A1I0_CANAR	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	B9J08_001296 CA7LBN_002815
A0A2H1A3Z3	A0A2H1A3Z3_CANAR	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HAM1 B9J08_000670
A0A2H1A5W4	CAS5_CANAR	Cell wall integrity transcriptional regulator CAS5 (Caspofungin sensitivity protein 5)	CAS5 B9J08_000765
A0A2H1A7G4	A0A2H1A7G4_CANAR	Cell division control protein 42 homolog (EC 3.6.5.2)	B9J08_000269
A0A2H1A7H0	A0A2H1A7H0_CANAR	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	BNA5 B9J08_000273 CA7LBN_001934
A0A2H1A7Z3	A0A2H1A7Z3_CANAR	Serine/threonine-protein phosphatase (EC 3.1.3.16)	B9J08_000462
A0A2H0ZC02	A0A2H0ZC02_CANAR	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	B9J08_005539
A0A2H0ZC73	A0A2H0ZC73_CANAR	RuvB-like helicase (EC 3.6.4.12)	B9J08_004932
A0A2H0ZCB0	A0A2H0ZCB0_CANAR	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157)	TSR3 B9J08_004966 CA7LBN_003781
A0A2H0ZCM6	A0A2H0ZCM6_CANAR	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	AAH1 B9J08_005078 CA7LBN_003686
A0A2H0ZCQ0	A0A2H0ZCQ0_CANAR	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	BNA1 B9J08_005101
A0A2H0ZCS5	PTRC_CANAR	Peptide transporter PTR_C	PTR_C B9J08_005124
A0A2H0ZCW6	A0A2H0ZCW6_CANAR	fructose-bisphosphatase (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	B9J08_005163
A0A2H0ZD07	A0A2H0ZD07_CANAR	Acyl-coenzyme A diphosphatase SCS3 (EC 3.6.1.-) (FIT family protein SCS3)	SCS3 FIT2B B9J08_005204
A0A2H0ZD31	A0A2H0ZD31_CANAR	Carbamoyl phosphate synthase arginine-specific small chain (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain)	B9J08_005231
A0A2H0ZD48	A0A2H0ZD48_CANAR	Fructose-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	B9J08_005239
A0A2H0ZD99	A0A2H0ZD99_CANAR	Ubiquitin-related modifier 1	URM1 B9J08_005305
A0A2H0ZDA5	A0A2H0ZDA5_CANAR	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	ADI1 B9J08_005302
A0A2H0ZDB3	A0A2H0ZDB3_CANAR	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	BNA4 B9J08_005022 CA7LBN_003735
A0A2H0ZDB4	A0A2H0ZDB4_CANAR	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (EC 2.7.7.18)	B9J08_005319 CA7LBN_003486
A0A2H0ZDD2	A0A2H0ZDD2_CANAR	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	B9J08_005003 CA7LBN_003752
A0A2H0ZDF8	A0A2H0ZDF8_CANAR	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (3-demethylubiquinol 3-O-methyltransferase) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (EC 2.1.1.114, EC 2.1.1.64)	COQ3 B9J08_005369
A0A2H0ZDG6	A0A2H0ZDG6_CANAR	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15) (Putative lipase atg15)	B9J08_005379
A0A2H0ZDK4	A0A2H0ZDK4_CANAR	Double-strand break repair protein	B9J08_005411
A0A2H0ZDR9	A0A2H0ZDR9_CANAR	U6 snRNA-associated Sm-like protein LSm5	LSM5 B9J08_005449
A0A2H0ZE15	A0A2H0ZE15_CANAR	Serine/threonine-protein phosphatase (EC 3.1.3.16)	B9J08_004950 CA7LBN_003794
