Group ID	Entry
OGR7_0226083	A0A2V1AU32
OG7_0003139	A0A2V1AS39
OG7_0005194	A0A2V1AT79
OG7_0002985	A0A2V1AT72
OG7_0015856	A0A2V1ASG5
OG7_0012907	A0A2V1AVY1
OG7_0003526	A0A2V1ATF5
OG7_0012445	A0A2V1AUQ3
OG7_0000031	A0A2V1ATG0
OG7_0002049	A0A2V1ATB2
OG7_0002304	A0A2V1AU44
OG7_0006835	A0A2V1AS49
OGR7_0000058	A0A2V1AT89
OGR7_0005712	A0A2V1AT80
OG7_0002542	A0A2V1ASH4
OG7_0000397	A0A2V1AVZ7
OG7_0006835	A0A2V1ATG5
OG7_0011977	A0A2V1AUR2
OG7_0002599	A0A2V1ATH0
OGR7_0010219	A0A2V1ATC3
OGR7_0010219	A0A2V1AU52
OGR7_0014532	A0A2V1AS58
OGR7_0011405	A0A2V1AT99
OG7_0001253	A0A2V1AT90
OG7_0001646	A0A2V1ASI5
OG7_0009265	A0A2V1AW06
OG7_0001730	A0A2V1ATH5
OG7_0012317	A0A2V1AUS0
OG7_0002319	A0A2V1ATH8
OG7_0007099	A0A2V1ATD1
OGR7_0003998	A0A2V1AU59
OG7_0004756	A0A2V1AS70
OG7_0003118	A0A2V1ATA9
OG7_0004121	A0A2V1ATA0
OG7_0001014	A0A2V1ASJ5
OGR7_0004027	A0A2V1AW16
OG7_0004945	A0A2V1ATI4
OGR7_0003445	A0A2V1AUS8
OG7_0155854	A0A2V1ATI7
OG7_0001210	A0A2V1ATE1
OG7_0010520	A0A2V1AU70
OG7_0003241	A0A2V1AS80
OG7_0001354	A0A2V1ATB9
OG7_0000082	A0A2V1ATB1
OG7_0007201	A0A2V1ASL1
OG7_0001822	A0A2V1AW26
OGR7_0003997	A0A2V1ATJ3
OG7_0003402	A0A2V1AUT9
OG7_0002777	A0A2V1ATJ6
OG7_0002542	A0A2V1ATF2
OG7_0001465	A0A2V1AU82
OG7_0011721	A0A2V1AS89
OG7_0004979	A0A2V1ATC9
OG7_0001609	A0A2V1ATC4
OGR7_0003425	A0A2V1ASM1
OGR7_0003736	A0A2V1AW36
OG7_0021369	A0A2V1ATK2
OG7_0006575	A0A2V1AUU9
OG7_0000402	A0A2V1ATK6
OG7_0006007	A0A2V1ATG2
OG7_0006472	A0A2V1AU93
OG7_0071888	A0A2V1ASA0
OG7_0071888	A0A2V1ATD8
OG7_0015034	A0A2V1ATD5
OGR7_0003441	A0A2V1ASN6
OG7_0008718	A0A2V1AW46
OG7_0006512	A0A2V1ATL2
OG7_0003537	A0A2V1AUV9
OG7_0006814	A0A2V1ATL5
OG7_0008733	A0A2V1ATH1
OG7_0008429	A0A2V1AUA2
OGR7_0002661	A0A2V1ASA9
OG7_0001368	A0A2V1ATE7
OG7_0155900	A0A2V1ATE5
OG7_0000970	A0A2V1ASP4
OG7_0001933	A0A2V1AW56
OG7_0003690	A0A2V1ATM3
OG7_0008818	A0A2V1AUW7
OG7_0008087	A0A2V1ATM4
OG7_0002147	A0A2V1ATI1
OG7_0007344	A0A2V1AUB3
OGR7_0002822	A0A2V1ASB9
OG7_0008837	A0A2V1ATF7
OGR7_0003756	A0A2V1ATF6
OG7_0015586	A0A2V1ASQ2
OG7_0001918	A0A2V1AW66
OG7_0001918	A0A2V1ATN3
OG7_0002540	A0A2V1AUX7
OG7_0002926	A0A2V1ATN4
OG7_0003037	A0A2V1ATJ1
OG7_0007199	A0A2V1AUC4
OG7_0010250	A0A2V1ASD0
OG7_0009582	A0A2V1ATG6
OG7_0001576	A0A2V1ATG9
OG7_0014205	A0A2V1ASR2
OG7_0005954	A0A2V1AW79
OG7_0007657	A0A2V1ATP4
OG7_0019457	A0A2V1AUY5
OG7_0009474	A0A2V1ATP3
OGR7_0004591	A0A2V1ATK1
OG7_0001163	A0A2V1AUD5
