Entry	Entry Name	Protein names	Gene Names
A0A1D8PCA8	A0A1D8PCA8_CANAL	Serine/threonine-protein phosphatase (EC 3.1.3.16)	CMP1 CAALFM_C100730CA orf19.13454
A0A1D8PCL1	HGT1_CANAL	High-affinity glucose transporter 1	HGT1 HGT11 CAALFM_C101980WA orf19.4527
A0A1D8PCN0	A0A1D8PCN0_CANAL	UDP-glucose 4-epimerase (EC 5.1.3.2)	GAL10 CAALFM_C102150WA orf19.11156
A0A1D8PCV9	A0A1D8PCV9_CANAL	Phosphodiesterase (EC 3.1.4.-)	PDE2 CAALFM_C102840WA orf19.10489
A0A1D8PCY4	A0A1D8PCY4_CANAL	Ecm33p	ECM33 CAALFM_C103190CA orf19.10528.1
A0A1D8PCY5	A0A1D8PCY5_CANAL	Septin	CDC12 CAALFM_C103210CA orf19.10531
A0A1D8PD38	A0A1D8PD38_CANAL	alpha-1,2-Mannosidase (EC 3.2.1.-)	MNS1 CAALFM_C103730CA orf19.8638
A0A1D8PDA6	A0A1D8PDA6_CANAL	Serine/threonine-protein kinase PHO85	PHO85 CAALFM_C104520CA orf19.14136
A0A1D8PDV7	VPS34_CANAL	Phosphatidylinositol 3-kinase VPS34 (PI3-kinase VPS34) (PI3K VPS34) (PtdIns-3-kinase VPS34) (EC 2.7.1.137) (Vacuolar protein sorting-associated protein 34)	
A0A1D8PEG3	A0A1D8PEG3_CANAL	Kexin	KEX2 CAALFM_C108990CA orf19.12219
A0A1D8PF32	A0A1D8PF32_CANAL	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	CHO1 CAALFM_C111240CA orf19.8294
A0A1D8PFH4	A0A1D8PFH4_CANAL	Spa2p	SPA2 CAALFM_C112620WA orf19.13719
A0A1D8PFP2	ROB1_CANAL	Transcription factor ROB1 (Regulator of biofilm 1)	ROB1 CHA4 CAALFM_C113620WA orf19.12465
A0A1D8PFP3	A0A1D8PFP3_CANAL	5'-3' exoribonuclease 1 (EC 3.1.13.-)	KEM1 CAALFM_C113420CA orf19.12434
A0A1D8PG96	A0A1D8PG96_CANAL	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog)	KAR2 CAALFM_C201120WA orf19.9564
A0A1D8PHA3	CYT1_CANAL	Cytochrome b-c1 complex catalytic subunit, mitochondrial (EC 7.1.1.8) (Complex III catalytic subunit)	CYT1 CYT12 CAALFM_C204950CA orf19.11011
A0A1D8PHD2	A0A1D8PHD2_CANAL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	CDC7 CAALFM_C205320WA orf19.11045
A0A1D8PHU1	A0A1D8PHU1_CANAL	cAMP-dependent protein kinase catalytic subunit	TPK2 CAALFM_C207210CA orf19.9817
A0A1D8PIH0	A0A1D8PIH0_CANAL	Kinesin-like protein	KAR3 CAALFM_C209370CA orf19.11581
A0A1D8PIK2	A0A1D8PIK2_CANAL	DNA-binding protein RAP1	RAP1 CAALFM_C210080WA orf19.9342
A0A1D8PIL5	A0A1D8PIL5_CANAL	Amino acid starvation-responsive transcription factor	GCN4 CAALFM_C209940WA orf19.8938
A0A1D8PJA8	TOS1_CANAL	Probable circularly permuted 1,3-beta-glucanase TOS1 (EC 3.2.1.39) (Secreted protein TOS1)	TOS1 CAALFM_C301550CA orf19.9258
A0A1D8PJG1	A0A1D8PJG1_CANAL	Guanine nucleotide-binding protein subunit alpha	GPA2 CAALFM_C302240CA orf19.9189
A0A1D8PJX3	RIP1_CANAL	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 7)	RIP1 CAALFM_C304430WA orf19.13314
A0A1D8PJZ1	A0A1D8PJZ1_CANAL	Serine/threonine-protein kinase RAD53 (EC 2.7.12.1)	RAD53 CAALFM_C303810WA orf19.14198
A0A1D8PJZ6	A0A1D8PJZ6_CANAL	Snf5p	SNF5 CAALFM_C304290CA orf19.13292
A0A1D8PKE2	A0A1D8PKE2_CANAL	mitogen-activated protein kinase kinase (EC 2.7.12.2)	PBS2 CAALFM_C306070CA orf19.7388
A0A1D8PKY1	A0A1D8PKY1_CANAL	Cnh1p	CNH1 CAALFM_C400040WA orf19.8001
A0A1D8PKY7	A0A1D8PKY7_CANAL	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	HIS4 CAALFM_C400140CA orf19.13084
A0A1D8PLU5	A0A1D8PLU5_CANAL	Csh3p	CSH3 CAALFM_C403390WA orf19.10874
A0A1D8PMF6	A0A1D8PMF6_CANAL	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27)	VPS11 CAALFM_C405910CA orf19.11881
A0A1D8PMM1	A0A1D8PMM1_CANAL	DNA topoisomerase 2 (EC 5.6.2.2)	TOP2 CAALFM_C406600WA orf19.10391
A0A1D8PMU9	A0A1D8PMU9_CANAL	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	VIP1 AFL1 CAALFM_C500180WA orf19.8595
A0A1D8PN26	A0A1D8PN26_CANAL	Hap5p	HAP5 CAALFM_C500940CA orf19.9529
A0A1D8PN42	A0A1D8PN42_CANAL	Gpr1p	GPR1 CAALFM_C501250WA orf19.9499
A0A1D8PN61	A0A1D8PN61_CANAL	AMP-activated serine/threonine-protein kinase catalytic subunit	SNF1 CAALFM_C501320WA orf19.9491
A0A1D8PN96	TAC1_CANAL	Transcription factor TAC1 (Transcriptional activator of CDR genes 1) (Zn(2)-Cys(6) DNA-binding domains containing protein 2)	TAC1 ZNC2 CAALFM_C501840CA orf19.10700
A0A1D8PNR5	DUR31_CANAL	Spermidine transporter DUR31	DUR31 CAALFM_C503480CA orf19.6656
A0A1D8PP43	A0A1D8PP43_CANAL	alcohol dehydrogenase (EC 1.1.1.1)	ADH1 CAALFM_C505050WA orf19.11480
A0A1D8PPK1	EBP1_CANAL	Probable NADPH dehydrogenase (EC 1.6.99.1) (Estrogen-binding protein) (EBP)	EBP1 orf19.125 CAALFM_C601180CA
A0A1D8PQ86	ALS9_CANAL	Agglutinin-like protein 9 (Adhesin 9)	ALS9 ALS11 CAALFM_C603710WA orf19.13164 orf19.5742
A0A1D8PQB9	ALS4_CANAL	Agglutinin-like protein 4 (Adhesin 4)	ALS4 ALS12 CAALFM_C604130CA orf19.4555 orf19.4556
A0A1D8PQK6	A0A1D8PQK6_CANAL	Calcium-transporting ATPase (EC 7.2.2.10)	PMR1 CAALFM_C700320CA orf19.7089
A0A1D8PQT2	A0A1D8PQT2_CANAL	Double-strand break repair protein	MRE11 CAALFM_C701340WA orf19.6915
A0A1D8PQT9	A0A1D8PQT9_CANAL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	GCN2 CAALFM_C701330CA orf19.6913
A0A1D8PR83	A0A1D8PR83_CANAL	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	CYR1 CAALFM_C703070CA orf19.12615
A0A1D8PRF5	A0A1D8PRF5_CANAL	Sla2p	SLA2 CAALFM_C703810WA orf19.7201
A0A1D8PS50	A0A1D8PS50_CANAL	small monomeric GTPase (EC 3.6.5.2)	RSR1 CAALFM_CR02140WA orf19.10145
A0A1D8PS71	PHYA_CANAL	Phytase PHO112 (EC 3.1.3.-) (EC 3.1.3.8) (Histidine acid phosphatase PHO112) (HAP) (Myo-inositol hexakisphosphate phosphohydrolase PHO112) (Myo-inositol-hexaphosphate 3-phosphohydrolase PHO112)	PHO112 CAALFM_CR02400WA orf19.11211
A0A1D8PT03	YCP4_CANAL	NAD(P)H quinone oxidoreductase YCP4 (EC 1.6.5.2) (Flavodoxin-like protein YCP4) (FLP YCP4)	YCP4 CAALFM_CR05380CA orf19.5286
A0A1D8PT38	A0A1D8PT38_CANAL	Mitogen-activated protein kinase (EC 2.7.11.24)	CEK2 CAALFM_CR05940WA orf19.8091
A0A1D8PTD0	A0A1D8PTD0_CANAL	DNA polymerase epsilon catalytic subunit (EC 2.7.7.7)	POL2 CAALFM_CR07000CA orf19.9901
A0A1D8PTL7	TRK1_CANAL	Potassium transporter TRK1	TRK1 CAALFM_CR07960CA orf19.8233
G1UB11	ERG5_CANAL	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	ERG5 CYP61 orf19.5178 CAALFM_C702840CA
G1UB61	CDC11_CANAL	Septin CDC11 (Cell division control protein 11)	CDC11 CAALFM_C500070WA CaO19.5691
G1UB63	CSA1_CANAL	Cell wall protein 1 (Surface antigen protein 1) (Wall protein 1)	CSA1 WAP1 CAALFM_C700090CA CaO19.7114
G1UB67	EED1_CANAL	Transcriptional regulator DEF1 (EFG1-dependent transcript protein 1)	DEF1 EDT1 EED1 CAALFM_CR09880WA CaO19.7561
G1UBC2	PGA47_CANAL	Cell wall adhesin EAP1 (Enhanced adherence to polystyrene protein 1) (GPI-anchored protein 47)	EAP1 PGA47 CAALFM_C209530WA CaO19.1401 CaO19.8979
O13289	CATA_CANAL	Peroxisomal catalase (EC 1.11.1.6)	CAT1 CTA1 CAALFM_C106810WA CaO19.13609 CaO19.6229
O13318	PHR2_CANAL	pH-responsive protein 2 (pH-regulated protein 2)	PHR2 CAALFM_C100220WA CaO19.13500 CaO19.6081
O42766	1433_CANAL	14-3-3 protein homolog	BMH1 BMH CAALFM_C103220CA CaO19.10532 CaO19.3014
O43133	TBP_CANAL	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP1 TBP CAALFM_C110660WA CaO19.1837 CaO19.9395
O59923	SIR2_CANAL	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	SIR2 SIR21 CAALFM_C201330CA CaO19.1992 CaO19.9544
O74189	PMT1_CANAL	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 (Protein mannosyltransferase 1) (EC 2.4.1.109)	PMT1 CAALFM_C702890CA CaJ7.0330 CaO19.12638 CaO19.5171
O74198	ERG6_CANAL	Sterol 24-C-methyltransferase (SCMT) (SMT) (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase) (Ergosterol biosynthesis protein 6)	ERG6 CAALFM_C302150CA CaO19.1631 CaO19.9199
O74201	UBC2_CANAL	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 RAD6 CAALFM_C703870WA CaO19.7195
O93852	ALO1_CANAL	D-arabinono-1,4-lactone oxidase (ALO) (EC 1.1.3.37) (EC 1.1.3.8) (EC 1.3.3.12) (FAD-linked oxidoreductase ALO1) (L-galactono-gamma-lactone oxidase)	ALO1 ALO CAALFM_CR09790WA CaO19.7551
P0CU34	TSA1B_CANAL	Peroxiredoxin TSA1-B (EC 1.11.1.24) (Thiol-specific antioxidant protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin TSA1-B)	TSA1B CAALFM_C306330WA orf19.7398.1
P0CY24	STE20_CANAL	Serine/threonine-protein kinase CST20 (EC 2.7.11.1)	CST20 HST20 STE20 CAALFM_C502340CA CaO19.11717 CaO19.4242
