Recommended name	Participants
CST_complex	OG6_500431 OG6_500059 OG6_500635
Replication_protein_A_complex	OG6_101316 OG6_102423 OG6_500395
U1_small_nuclear_ribonucleoprotein_complex	OG6_100753 OG6_101966 OG6_104156 OG6_101868 OG6_102408 OG6_102085 OG6_500388 OG6_102196 OG6_102296 OG6_102349 OG6_102452 OG6_104156 OG6_500954 OG6_102948 OG6_102323 OG6_103514 OG6_102613 URS000012D749_559292
U6_small_nuclear_ribonucleoprotein_complex	OG6_103409 OG6_102392 OG6_103447 OG6_102771 OG6_103012 OG6_102418 OG6_101597 OG6_102118 URS00006184A9_559292
U4/U6.U5_tri-small_nuclear_ribonucleoprotein_complex	OG6_102682 OG6_102752 OG6_102378 OG6_100305 OG6_101765 OG6_134872 OG6_103409 OG6_111911 OG6_101116 OG6_101868 OG6_102392 OG6_103447 OG6_102408 OG6_102085 OG6_102786 OG6_102771 OG6_102494 OG6_102418 OG6_102196 OG6_101597 OG6_500174 OG6_102452 OG6_102616 OG6_102323 OG6_102118 OG6_102797 OG6_102613 OG6_103136 OG6_103596 URS00001143F5_559292 URS0000514318_559292 URS000053F313_559292 URS00006184A9_559292
U2_small_nuclear_ribonucleoprotein_complex	OG6_103168 OG6_102364 OG6_102246 OG6_101868 OG6_102408 OG6_102431 OG6_100753 OG6_102085 OG6_103002 OG6_101702 OG6_102631 OG6_102196 OG6_102452 OG6_102282 OG6_102496 OG6_102323 OG6_102593 OG6_102158 OG6_102703 OG6_102567 OG6_102613 OG6_102421 URS000023C730_559292
U5_small_nuclear_ribonucleoprotein_complex	OG6_102682 OG6_102378 OG6_100305 OG6_101765 OG6_134872 OG6_103383 OG6_101868 OG6_102408 OG6_102085 OG6_102196 OG6_102452 OG6_102323 OG6_102797 OG6_102613 URS0000514318_559292 URS000053F313_559292
U5_small_nuclear_ribonucleoprotein_complex,_AAR2_variant	OG6_103436 OG6_101765 OG6_134872 OG6_101868 OG6_102408 OG6_102085 OG6_102196 OG6_102452 OG6_102323 OG6_102613 URS0000514318_559292 URS000053F313_559292
U4_small_nuclear_ribonucleoprotein_complex	OG6_102752 OG6_101116 OG6_101868 OG6_102408 OG6_102085 OG6_102196 OG6_102452 OG6_102616 OG6_102323 OG6_102613 URS00001143F5_559292
U4/U6_small_nuclear_ribonucleoprotein_complex	OG6_102752 OG6_103409 OG6_101116 OG6_101868 OG6_102392 OG6_103447 OG6_102408 OG6_102085 OG6_102771 OG6_102494 OG6_102418 OG6_102196 OG6_101597 OG6_102452 OG6_102616 OG6_102323 OG6_102118 OG6_102613 URS00001143F5_559292 URS00006184A9_559292
Kelch-containing_Formin_Regulatory_Complex	OG6_116980 OG6_107531 OG6_107531
Sm_complex	OG6_101868 OG6_102408 OG6_102085 OG6_102196 OG6_102452 OG6_102323 OG6_102613
LSM2-8_complex	OG6_103409 OG6_102392 OG6_103447 OG6_102771 OG6_102418 OG6_101597 OG6_102118
LSM1-7_complex	OG6_103409 OG6_102392 OG6_103447 OG6_102846 OG6_102418 OG6_101597 OG6_102118
LSM2-7_complex	OG6_103409 OG6_102392 OG6_103447 OG6_102418 OG6_101597 OG6_102118
LSM1-7-PAT1_complex	OG6_111832 OG6_103409 OG6_102392 OG6_103447 OG6_102846 OG6_102418 OG6_101597 OG6_102118
HIR_complex	OG6_103167 OG6_143630 OG6_127207 OG6_500101
MICOS_mitochondrial_contact_site_and_cristae_organizing_system_complex	OG6_103871 OG6_500443 OG6_118306 OG6_115066 OG6_500486 OG6_103551
Bub1-Bub3_complex	OG6_102928 OG6_103677
FZO1-MGM1-UGO1_complex	OG6_114251 OG6_112063 OG6_112510
Dehydrodolichyl_diphosphate_synthase_complex_variant_RER2	OG6_100493 OG6_104306
Dehydrodolichyl_diphosphate_synthase_complex_variant_SRT1	OG6_100493 OG6_104306
Snf1_protein_kinase_complex_variant_GAL83	OG6_100252 OG6_101734 OG6_101253
Snf1_protein_kinase_complex_variant_SIP1	OG6_100252 OG6_101734 OG6_500822
FAL1-SGD1_complex	OG6_102915 OG6_101114
CMG_helicase_complex	CPX-1641 CPX-2944 OG6_102930
GID_E3_ubiquitin_ligase_complex,_GID4_variant	OG6_102395 OG6_104071 OG6_102654 OG6_103231 OG6_103879 OG6_102407 OG6_102297
Mitochondrial_pyruvate_carrier,_fermentative_isoform	OG6_101975 OG6_102458
Mitochondrial_pyruvate_carrier,_respiratory_isoform	OG6_102458 OG6_101975
