Group ID	Entry
OG7_0006956	P00401
OG7_0000134	P03875
OG7_0000134	P03876
OG7_0156225	P03877
OG7_0155647	P03878
OG7_0155684	Q9ZZX1
OG7_0025213	Q9ZZX0
OG7_0041002	P00856
OG7_0007943	P00854
OG7_0006947	P00163
OG7_0006947	P03873
OG7_0006947	Q9ZZW7
OG7_0006947	P03879
OG7_0005431	P61829
OG7_0155505	P02381
OG7_0022282	P03882
OG7_0007785	P00410
OG7_0024672	P03881
OG7_0008871	P00420
OG7_0018417	P34111
OG7_0005697	P39702
OG7_0003992	P32471
OG7_0000779	P10591
OG7_0001609	P39704
OG7_0155965	P18411
OG7_0020676	P18410
OG7_0018409	P18409
OG7_0036288	P31376
OG7_0002476	P31373
OG7_0022151	P31385
OG7_0007003	P31377
OG7_0002796	P31378
OG7_0004752	P31383
OG7_0000009	P31374
OG7_0013762	P31379
OG7_0000402	P31380
OG7_0000958	P31386
OG7_0001922	P31384
OG7_0002657	P31381
OG7_0004620	P31382
OG7_0001368	P07866
OG7_0007199	P10962
OG7_0001014	P39524
OG7_0156177	P39735
OG7_0101611	P39734
OG7_0000433	P32492
OG7_0001890	P31109
OG7_0156141	P39732
OG7_0007353	P28004
OG7_0008843	P28005
OG7_0016167	P28003
OG7_0011620	P39731
OG7_0005538	P39730
OG7_0003744	P39729
OG7_0155812	Q3E741
OG7_0101618	P39728
OG7_0002165	P00549
OG7_0006933	P06182
OG7_0001168	P13365
OG7_0002017	P11433
OG7_0002918	P39727
OG7_0007511	Q01329
OG7_0155517	P39726
OG7_0003123	Q3E793
OG7_0003123	P39724
OG7_0155745	P39723
OG7_0004122	P39722
OG7_0003630	P39721
OG7_0002985	P39720
OG7_0015877	P39719
OG7_0000501	Q01574
OG7_0155767	P39718
OG7_0101665	P39717
OG7_0003538	P27825
OG7_0155925	P39715
OG7_0001110	P39714
OG7_0001110	P39713
OG7_0003597	P39708
OG7_0024920	P39712
OG7_0155674	Q3E791
OG7_0024920	Q6B2U8
OG7_0156190	P39711
OG7_0155902	O13512
OG7_0024920	O13511
OG7_0002542	P39709
OG7_0071884	Q8TGK6
OG7_0014528	P0CE92
OG7_0001609	Q05359
OG7_0101692	P39705
OG7_0007581	P39706
OG7_0004216	P22336
OG7_0004069	P39707
OG7_0011767	O13527
OG7_0014733	P0CX57
OG7_0017149	P27637
OG7_0005817	P27616
OG7_0001157	P22209
OG7_0000432	P27636
OG7_0014528	P39545
