Entry	Entry Name	Protein names	Gene Names
A0A2V1AUX0	A0A2V1AUX0_9ASCO	E3 ubiquitin-protein ligase (EC 2.3.2.26)	CXQ85_000300
A0A2V1AY83	A0A2V1AY83_9ASCO	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1 CXQ85_002537
A0A2V1ALF0	A0A2V1ALF0_9ASCO	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 CXQ85_001423
A0A2V1AMQ3	A0A2V1AMQ3_9ASCO	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HAM1 CXQ85_001256
A0A2V1AND4	A0A2V1AND4_9ASCO	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	CXQ85_001611
A0A2V1ANJ9	A0A2V1ANJ9_9ASCO	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	PSD1 CXQ85_003295
A0A2V1ANN4	A0A2V1ANN4_9ASCO	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	CXQ85_003510
A0A2V1AQB1	A0A2V1AQB1_9ASCO	Serine/threonine-protein phosphatase (EC 3.1.3.16)	CXQ85_001449
A0A2V1AQV1	A0A2V1AQV1_9ASCO	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 CXQ85_002044
A0A2V1AR82	A0A2V1AR82_9ASCO	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog)	CXQ85_002177
A0A2V1ASC6	A0A2V1ASC6_9ASCO	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	CXQ85_004264
A0A2V1ASI1	A0A2V1ASI1_9ASCO	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	PSD2 CXQ85_004250
A0A2V1ATB9	A0A2V1ATB9_9ASCO	Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	URA6 CXQ85_000043
A0A2V1AU40	A0A2V1AU40_9ASCO	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	BNA5 CXQ85_000274
A0A2V1AVL5	A0A2V1AVL5_9ASCO	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	SEY1 MEF2 CXQ85_004819
A0A2V1AYC5	A0A2V1AYC5_9ASCO	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 CXQ85_000835
A0A2V1AYD1	A0A2V1AYD1_9ASCO	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Ubiquinone biosynthesis monooxygenase COQ7)	COQ7 CXQ85_002556
A0A2V1AZB7	A0A2V1AZB7_9ASCO	Protein URA2	CXQ85_002570
A0A2V1AZG7	A0A2V1AZG7_9ASCO	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	CXQ85_002943
A0A2V1B1D6	A0A2V1B1D6_9ASCO	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	NCP1 CXQ85_003958
A0A2V1B1X7	A0A2V1B1X7_9ASCO	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	CXQ85_003065
A0A2V1AKX1	A0A2V1AKX1_9ASCO	Polyadenylate-binding protein (PABP)	CXQ85_000986
A0A2V1ALP3	A0A2V1ALP3_9ASCO	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	BNA4 CXQ85_001518
A0A2V1ALQ1	A0A2V1ALQ1_9ASCO	Calcium-transporting ATPase (EC 7.2.2.10)	CXQ85_001046
A0A2V1ALR4	A0A2V1ALR4_9ASCO	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CXQ85_001538
A0A2V1AM35	A0A2V1AM35_9ASCO	arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase)	CXQ85_001251
A0A2V1AM55	A0A2V1AM55_9ASCO	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	CXQ85_001272
A0A2V1AM64	A0A2V1AM64_9ASCO	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase)	CXQ85_001220
A0A2V1AM78	A0A2V1AM78_9ASCO	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	CXQ85_001112
A0A2V1AM92	A0A2V1AM92_9ASCO	Ubiquitin fusion degradation protein 1	CXQ85_003249
A0A2V1AMB6	A0A2V1AMB6_9ASCO	ATP-dependent DNA helicase (EC 3.6.4.12)	CXQ85_001114
A0A2V1AMF0	A0A2V1AMF0_9ASCO	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)	CXQ85_001364
A0A2V1AMH9	A0A2V1AMH9_9ASCO	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	CXQ85_001185
A0A2V1AMK9	A0A2V1AMK9_9ASCO	Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B)	CXQ85_001425
A0A2V1AML4	A0A2V1AML4_9ASCO	Leukotriene A(4) hydrolase (LTA-4 hydrolase) (EC 3.3.2.10) (EC 3.4.11.-)	CXQ85_001319
A0A2V1AMM0	A0A2V1AMM0_9ASCO	Eukaryotic translation initiation factor 6 (eIF-6)	TIF6 CXQ85_001436
A0A2V1AMQ7	A0A2V1AMQ7_9ASCO	Clp R domain-containing protein	CXQ85_001435
A0A2V1AMR9	A0A2V1AMR9_9ASCO	glutamate synthase (NADH) (EC 1.4.1.14)	CXQ85_001306
A0A2V1AMS1	A0A2V1AMS1_9ASCO	thioredoxin-dependent peroxiredoxin (EC 1.11.1.24)	CXQ85_001277
A0A2V1AMS9	A0A2V1AMS9_9ASCO	t-SNARE coiled-coil homology domain-containing protein	CXQ85_001390
A0A2V1AMT2	A0A2V1AMT2_9ASCO	Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	CXQ85_003220
A0A2V1AN35	A0A2V1AN35_9ASCO	Alpha-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (L-aminoadipate-semialdehyde dehydrogenase)	CXQ85_003326
A0A2V1AN54	A0A2V1AN54_9ASCO	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	NCS6 CTU1 CXQ85_003346
