"Accession","Group ID"
"calb|C1_00010W_A","OGR7_0085289"
"calb|C1_00020C_A","OGR7_0029146"
"calb|C1_00030C_A","OGR7_0019431"
"calb|C1_00040W_A","OGR7_0000847"
"calb|C1_00050C_A","OGR7_0054048"
"calb|C1_00060W_A","OG7_0013468"
"calb|C1_00070W_A","OG7_0007007"
"calb|C1_00080C_A","OG7_0101632"
"calb|C1_00090W_A","OG7_0008273"
"calb|C1_00100C_A","OG7_0005388"
"calb|C1_00110W_A","OG7_0001068"
"calb|C1_00120C_A","OG7_0009845"
"calb|C1_00130C_A","OG7_0007000"
"calb|C1_00140W_A","OG7_0001012"
"calb|C1_00150C_A","OG7_0036263"
"calb|C1_00160C_A","OG7_0000011"
"calb|C1_00170W_A","OG7_0004758"
"calb|C1_00180W_A","OG7_0005590"
"calb|C1_00190C_A","OGR7_0004274"
"calb|C1_00200C_A","OGR7_0023498"
"calb|C1_00210C_A","OG7_0155578"
"calb|C1_00220W_A","OG7_0009493"
"calb|C1_00230C_A","OG7_0019451"
"calb|C1_00270W_A","OGR7_0028763"
"calb|C1_00280C_A","OG7_0001167"
"calb|C1_00290W_A","OG7_0007976"
"calb|C1_00310W_A","OG7_0001952"
"calb|C1_00320W_A","OG7_0005079"
"calb|C1_00330C_A","OG7_0005539"
"calb|C1_00340W_A","OG7_0006617"
"calb|C1_00350C_A","OG7_0009248"
"calb|C1_00360W_A","OGR7_0011378"
"calb|C1_00370W_A","OG7_0011940"
"calb|C1_00380C_A","OG7_0007868"
"calb|C1_00390W_A","OG7_0001061"
"calb|C1_00400W_A","OG7_0017496"
"calb|C1_00410C_A","OG7_0000709"
"calb|C1_00420W_A","OG7_0022966"
"calb|C1_00430W_A","OG7_0002811"
"calb|C1_00440W_A","OG7_0006559"
"calb|C1_00450C_A","OG7_0021370"
"calb|C1_00460W_A","OG7_0010293"
"calb|C1_00470C_A","OG7_0004243"
"calb|C1_00480C_A","OG7_0001747"
"calb|C1_00490C_A","OG7_0002700"
"calb|C1_00500C_A","OG7_0004546"
"calb|C1_00510W_A","OG7_0008181"
"calb|C1_00520W_A","OG7_0002312"
"calb|C1_00530C_A","OG7_0056871"
"calb|C1_00540C_A","OG7_0056871"
"calb|C1_00550W_A","OG7_0002382"
"calb|C1_00560W_A","OG7_0007988"
"calb|C1_00570C_A","OGR7_0007417"
"calb|C1_00580W_A","OG7_0014579"
"calb|C1_00590W_A","OG7_0004479"
"calb|C1_00600W_A","OG7_0007168"
"calb|C1_00610W_A","OG7_0004477"
"calb|C1_00620W_A","OG7_0002826"
"calb|C1_00630W_A","OG7_0002979"
"calb|C1_00640C_A","OG7_0006314"
"calb|C1_00650C_A","OG7_0005735"
"calb|C1_00660C_A","OG7_0007005"
"calb|C1_00670C_A","OG7_0020664"
"calb|C1_00680W_A","OG7_0003112"
"calb|C1_00690W_A","OG7_0006448"
"calb|C1_00700W_A","OG7_0009123"
"calb|C1_00710C_A","OG7_0000784"
"calb|C1_00730C_A","OG7_0000696"
"calb|C1_00740C_A","OG7_0002546"
"calb|C1_00750C_A","OG7_0001169"
"calb|C1_00760W_A","OGR7_0054055"
"calb|C1_00770C_A","OG7_0021770"
"calb|C1_00780C_A","OG7_0101637"
"calb|C1_00790W_A","OGR7_0009163"
"calb|C1_00800C_A","OG7_0010710"
"calb|C1_00810W_A","OG7_0008240"
"calb|C1_00820W_A","OGR7_0004289"
"calb|C1_00830W_A","OG7_0001708"
"calb|C1_00840C_A","OG7_0072946"
"calb|C1_00850W_A","OGR7_0029132"
"calb|C1_00860W_A","OG7_0007193"
"calb|C1_00870W_A","OG7_0009577"
"calb|C1_00880W_A","OGR7_0004578"
"calb|C1_00890W_A","OG7_0004122"
"calb|C1_00900W_A","OG7_0008319"
"calb|C1_00910W_A","OG7_0007071"
"calb|C1_00920W_A","OG7_0015587"
"calb|C1_00930C_A","OG7_0003662"
"calb|C1_00940W_A","OG7_0003756"
"calb|C1_00950C_A","OG7_0000004"
"calb|C1_00960C_A","OG7_0000775"
"calb|C1_00970W_A","OG7_0009542"
"calb|C1_00980W_A","OGR7_0019428"
"calb|C1_00990C_A","OG7_0011827"
"calb|C1_01000C_A","OGR7_0004576"
"calb|C1_01010W_A","OG7_0008316"
"calb|C1_01030W_A","OG7_0001729"
"calb|C1_01040W_A","OG7_0003890"
"calb|C1_01050C_A","OG7_0006198"
"calb|C1_01060W_A","OG7_0006305"
"calb|C1_01070C_A","OG7_0020685"
"calb|C1_01080W_A","OGR7_0003448"
"calb|C1_01090C_A","OG7_0015017"
"calb|C1_01100W_A","OG7_0001206"
"calb|C1_01110C_A","OG7_0006538"
"calb|C1_01130W_A","OG7_0002743"
"calb|C1_01140C_A","OG7_0004116"
"calb|C1_01150C_A","OG7_0005126"
"calb|C1_01160C_A","OG7_0007513"
"calb|C1_01170C_A","OG7_0009351"
"calb|C1_01180C_A","OG7_0007675"
"calb|C1_01190C_A","OG7_0001362"
"calb|C1_01200W_A","OG7_0020045"
"calb|C1_01210W_A","OGR7_0011093"
"calb|C1_01220C_A","OGR7_0004043"
"calb|C1_01240W_A","OG7_0001184"
"calb|C1_01250W_A","OG7_0011622"
"calb|C1_01260C_A","OG7_0004832"
"calb|C1_01270W_A","OGR7_0004035"
"calb|C1_01280C_A","OGR7_0014457"
"calb|C1_01290C_A","OG7_0156065"
"calb|C1_01300W_A","OG7_0000495"
"calb|C1_01310W_A","OGR7_0038507"
"calb|C1_01320W_A","OG7_0005407"
"calb|C1_01330C_A","OG7_0005325"
"calb|C1_01340C_A","OGR7_0004015"
"calb|C1_01350C_A","OG7_0000130"
"calb|C1_01360C_A","OG7_0002910"
"calb|C1_01370C_A","OG7_0006431"
"calb|C1_01380C_A","OG7_0004255"
"calb|C1_01390C_A","OG7_0155697"
"calb|C1_01400C_A","OG7_0006826"
"calb|C1_01420C_A","OG7_0001254"
"calb|C1_01440C_A","OG7_0003757"
"calb|C1_01450W_A","OG7_0006190"
"calb|C1_01460W_A","OG7_0011978"
"calb|C1_01470W_A","OG7_0019990"
"calb|C1_01480C_A","OG7_0002866"
"calb|C1_01490W_A","OGR7_0003724"
"calb|C1_01500W_A","OGR7_0054114"
"calb|C1_01510W_A","OGR7_0012774"
"calb|C1_01520C_A","OG7_0003185"
"calb|C1_01530C_A","OG7_0003615"
"calb|C1_01540W_A","OGR7_0002416"
"calb|C1_01550W_A","OG7_0022160"
"calb|C1_01560W_A","OG7_0002157"
"calb|C1_01570C_A","OG7_0003800"
"calb|C1_01580W_A","OG7_0005994"
"calb|C1_01590C_A","OG7_0001821"
"calb|C1_01600W_A","OG7_0009058"
"calb|C1_01610C_A","OG7_0002143"
"calb|C1_01620C_A","OG7_0001023"
"calb|C1_01630W_A","OG7_0008750"
"calb|C1_01640W_A","OG7_0004517"
"calb|C1_01650W_A","OG7_0013305"
"calb|C1_01670C_A","OG7_0007529"
"calb|C1_01680C_A","OG7_0016766"
"calb|C1_01690C_A","OG7_0005210"
"calb|C1_01700W_A","OG7_0008829"
"calb|C1_01710W_A","OGR7_0004041"
"calb|C1_01740W_A","OG7_0001730"
"calb|C1_01750W_A","OG7_0001701"
"calb|C1_01760W_A","OGR7_0000448"
"calb|C1_01770W_A","OG7_0017136"
"calb|C1_01780C_A","OG7_0003055"
"calb|C1_01790W_A","OG7_0009582"
"calb|C1_01800W_A","OGR7_0003768"
"calb|C1_01810C_A","OG7_0000704"
"calb|C1_01820C_A","OG7_0001363"
"calb|C1_01830C_A","OG7_0006962"
"calb|C1_01840C_A","OGR7_0038523"
"calb|C1_01850C_A","OG7_0000011"
"calb|C1_01860W_A","OG7_0003739"
"calb|C1_01870C_A","OG7_0002172"
"calb|C1_01880C_A","OG7_0101693"
"calb|C1_01890C_A","OG7_0006386"
"calb|C1_01900C_A","OG7_0003719"
"calb|C1_01910W_A","OG7_0007238"
"calb|C1_01920W_A","OG7_0001022"
"calb|C1_01930W_A","OG7_0004018"
"calb|C1_01940C_A","OGR7_0011394"
"calb|C1_01950C_A","OG7_0008916"
"calb|C1_01970W_A","OGR7_0054057"
"calb|C1_01980W_A","OG7_0000446"
"calb|C1_01990W_A","OG7_0010526"
"calb|C1_02000W_A","OG7_0017540"
"calb|C1_02010C_A","OG7_0041018"
"calb|C1_02020W_A","OG7_0005754"
"calb|C1_02030C_A","OG7_0002230"
"calb|C1_02040C_A","OG7_0008002"
"calb|C1_02050C_A","OG7_0002970"
"calb|C1_02060W_A","OG7_0022165"
"calb|C1_02070W_A","OG7_0010526"
"calb|C1_02080W_A","OG7_0001287"
"calb|C1_02090C_A","OG7_0007460"
"calb|C1_02100W_A","OG7_0000136"
"calb|C1_02110C_A","OG7_0000446"
"calb|C1_02120C_A","OG7_0000009"
"calb|C1_02130C_A","OG7_0004338"
"calb|C1_02140C_A","OGR7_0029129"
"calb|C1_02150W_A","OG7_0001250"
"calb|C1_02160W_A","OG7_0004616"
"calb|C1_02170C_A","OG7_0001222"
"calb|C1_02180W_A","OG7_0007662"
"calb|C1_02190W_A","OG7_0003893"
"calb|C1_02200C_A","OG7_0007853"
"calb|C1_02210W_A","OGR7_0009160"
"calb|C1_02220C_A","OG7_0006318"
"calb|C1_02230W_A","OG7_0001286"
"calb|C1_02240W_A","OG7_0006736"
"calb|C1_02250W_A","OG7_0006856"
"calb|C1_02260C_A","OG7_0001719"
"calb|C1_02270C_A","OG7_0000050"
"calb|C1_02280C_A","OG7_0004683"
"calb|C1_02290C_A","OG7_0007811"
"calb|C1_02300W_A","OG7_0008267"
