Accession	Group ID	Entry
CXQ85_000001	OGR7_0226083	A0A2V1AU32
CXQ85_000002	OG7_0003139	A0A2V1AS39
CXQ85_000003	OG7_0005194	A0A2V1AT79
CXQ85_000004	OG7_0002985	A0A2V1AT72
CXQ85_000005	OG7_0015856	A0A2V1ASG5
CXQ85_000006	OG7_0012907	A0A2V1AVY1
CXQ85_000007	OG7_0003526	A0A2V1ATF5
CXQ85_000008	OG7_0012445	A0A2V1AUQ3
CXQ85_000009	OG7_0000031	A0A2V1ATG0
CXQ85_000010	OG7_0002049	A0A2V1ATB2
CXQ85_000011	OG7_0002304	A0A2V1AU44
CXQ85_000012	OG7_0006835	A0A2V1AS49
CXQ85_000013	OGR7_0000058	A0A2V1AT89
CXQ85_000014	OGR7_0005712	A0A2V1AT80
CXQ85_000015	OG7_0002542	A0A2V1ASH4
CXQ85_000016	OG7_0000397	A0A2V1AVZ7
CXQ85_000017	OG7_0006835	A0A2V1ATG5
CXQ85_000018	OG7_0011977	A0A2V1AUR2
CXQ85_000019	OG7_0002599	A0A2V1ATH0
CXQ85_000020	OGR7_0010219	A0A2V1ATC3
CXQ85_000021	OGR7_0010219	A0A2V1AU52
CXQ85_000022	OGR7_0014532	A0A2V1AS58
CXQ85_000023	OGR7_0011405	A0A2V1AT99
CXQ85_000024	OG7_0001253	A0A2V1AT90
CXQ85_000025	OG7_0001646	A0A2V1ASI5
CXQ85_000026	OG7_0009265	A0A2V1AW06
CXQ85_000027	OG7_0001730	A0A2V1ATH5
CXQ85_000028	OG7_0012317	A0A2V1AUS0
CXQ85_000029	OG7_0002319	A0A2V1ATH8
CXQ85_000030	OG7_0007099	A0A2V1ATD1
CXQ85_000031	OGR7_0003998	A0A2V1AU59
CXQ85_000032	OG7_0004756	A0A2V1AS70
CXQ85_000033	OG7_0003118	A0A2V1ATA9
CXQ85_000034	OG7_0004121	A0A2V1ATA0
CXQ85_000035	OG7_0001014	A0A2V1ASJ5
CXQ85_000036	OGR7_0004027	A0A2V1AW16
CXQ85_000037	OG7_0004945	A0A2V1ATI4
CXQ85_000038	OGR7_0003445	A0A2V1AUS8
CXQ85_000039	OG7_0155854	A0A2V1ATI7
CXQ85_000040	OG7_0001210	A0A2V1ATE1
CXQ85_000041	OG7_0010520	A0A2V1AU70
CXQ85_000042	OG7_0003241	A0A2V1AS80
CXQ85_000043	OG7_0001354	A0A2V1ATB9
CXQ85_000044	OG7_0000082	A0A2V1ATB1
CXQ85_000045	OG7_0007201	A0A2V1ASL1
CXQ85_000046	OG7_0001822	A0A2V1AW26
CXQ85_000047	OGR7_0003997	A0A2V1ATJ3
CXQ85_000048	OG7_0003402	A0A2V1AUT9
CXQ85_000049	OG7_0002777	A0A2V1ATJ6
CXQ85_000050	OG7_0002542	A0A2V1ATF2
CXQ85_000051	OG7_0001465	A0A2V1AU82
CXQ85_000052	OG7_0011721	A0A2V1AS89
CXQ85_000053	OG7_0004979	A0A2V1ATC9
CXQ85_000054	OG7_0001609	A0A2V1ATC4
CXQ85_000055	OGR7_0003425	A0A2V1ASM1
CXQ85_000056	OGR7_0003736	A0A2V1AW36
CXQ85_000057	OG7_0021369	A0A2V1ATK2
CXQ85_000058	OG7_0006575	A0A2V1AUU9
CXQ85_000059	OG7_0000402	A0A2V1ATK6
CXQ85_000060	OG7_0006007	A0A2V1ATG2
CXQ85_000061	OG7_0006472	A0A2V1AU93
CXQ85_000062	OG7_0071888	A0A2V1ASA0
CXQ85_000063	OG7_0071888	A0A2V1ATD8
CXQ85_000064	OG7_0015034	A0A2V1ATD5
CXQ85_000065	OGR7_0003441	A0A2V1ASN6
CXQ85_000066	OG7_0008718	A0A2V1AW46
CXQ85_000067	OG7_0006512	A0A2V1ATL2
CXQ85_000068	OG7_0003537	A0A2V1AUV9
CXQ85_000069	OG7_0006814	A0A2V1ATL5
CXQ85_000070	OG7_0008733	A0A2V1ATH1
CXQ85_000071	OG7_0008429	A0A2V1AUA2
CXQ85_000072	OGR7_0002661	A0A2V1ASA9
CXQ85_000073	OG7_0001368	A0A2V1ATE7
CXQ85_000074	OG7_0155900	A0A2V1ATE5
CXQ85_000075	OG7_0000970	A0A2V1ASP4
CXQ85_000076	OG7_0001933	A0A2V1AW56
CXQ85_000077	OG7_0003690	A0A2V1ATM3
CXQ85_000078	OG7_0008818	A0A2V1AUW7
CXQ85_000079	OG7_0008087	A0A2V1ATM4
CXQ85_000080	OG7_0002147	A0A2V1ATI1
CXQ85_000081	OG7_0007344	A0A2V1AUB3
CXQ85_000082	OGR7_0002822	A0A2V1ASB9
CXQ85_000083	OG7_0008837	A0A2V1ATF7
CXQ85_000084	OGR7_0003756	A0A2V1ATF6
CXQ85_000085	OG7_0015586	A0A2V1ASQ2
CXQ85_000086	OG7_0001918	A0A2V1AW66
CXQ85_000087	OG7_0001918	A0A2V1ATN3
CXQ85_000088	OG7_0002540	A0A2V1AUX7
CXQ85_000089	OG7_0002926	A0A2V1ATN4
CXQ85_000090	OG7_0003037	A0A2V1ATJ1
CXQ85_000091	OG7_0007199	A0A2V1AUC4
CXQ85_000092	OG7_0010250	A0A2V1ASD0
CXQ85_000093	OG7_0009582	A0A2V1ATG6
CXQ85_000094	OG7_0001576	A0A2V1ATG9
CXQ85_000095	OG7_0014205	A0A2V1ASR2
CXQ85_000096	OG7_0005954	A0A2V1AW79
CXQ85_000097	OG7_0007657	A0A2V1ATP4
CXQ85_000098	OG7_0019457	A0A2V1AUY5
CXQ85_000099	OG7_0009474	A0A2V1ATP3
CXQ85_000100	OGR7_0004591	A0A2V1ATK1
CXQ85_000101	OG7_0001163	A0A2V1AUD5
CXQ85_000102	OG7_0008131	A0A2V1ASE2
CXQ85_000103	OG7_0005238	A0A2V1ATH7
CXQ85_000104	OG7_0005519	A0A2V1ATI0
CXQ85_000105	OG7_0000699	A0A2V1ASS1
CXQ85_000106	OG7_0001013	A0A2V1AW87
CXQ85_000107	OGR7_0016697	A0A2V1ATQ3
CXQ85_000108	OG7_0002232	A0A2V1AUZ3
CXQ85_000109	OG7_0009351	A0A2V1ATQ4
CXQ85_000110	OG7_0006763	A0A2V1ATL1
CXQ85_000111	OG7_0000131	A0A2V1AUE5
CXQ85_000112	OG7_0017561	A0A2V1ASF4
CXQ85_000113	OG7_0000542	A0A2V1ATI9
CXQ85_000114	OGR7_0008214	A0A2V1ATJ0
CXQ85_000115	OG7_0000779	A0A2V1AST3
CXQ85_000116	OG7_0006451	A0A2V1AW98
CXQ85_000117	OGR7_0003752	A0A2V1ATR2
CXQ85_000118	OG7_0007069	A0A2V1AV04
CXQ85_000119	OG7_0013310	A0A2V1ATR4
CXQ85_000120	OG7_0003061	A0A2V1ATL8
CXQ85_000121	OG7_0004625	A0A2V1AUF5
CXQ85_000122	OG7_0002665	A0A2V1ASG6
CXQ85_000123	OGR7_0004919	A0A2V1ATJ7
CXQ85_000124	OG7_0001162	A0A2V1ATK0
CXQ85_000125	OG7_0008539	A0A2V1ASU5
CXQ85_000126	OG7_0006107	A0A2V1AWB1
CXQ85_000127	OG7_0002306	A0A2V1ATS2
CXQ85_000128	OG7_0101643	A0A2V1AV15
CXQ85_000129	OGR7_0014522	A0A2V1ATS3
CXQ85_000130	OGR7_0000189	A0A2V1ATM7
CXQ85_000131	OG7_0010224	A0A2V1AUG5
CXQ85_000132	OG7_0007760	A0A2V1ASH8
CXQ85_000133	OG7_0006562	A0A2V1ATK4
CXQ85_000134	OG7_0000411	A0A2V1ATL0
CXQ85_000135	OG7_0005976	A0A2V1ASV5
CXQ85_000136	OGR7_0003767	A0A2V1AWB9
CXQ85_000139	OG7_0006573	A0A2V1ATT0
CXQ85_000140	OG7_0001839	A0A2V1AV23
CXQ85_000141	OG7_0009603	A0A2V1ATT1
CXQ85_000142	OG7_0022144	A0A2V1ATN7
CXQ85_000143	OG7_0011826	A0A2V1AUH6
CXQ85_000144	OG7_0001056	A0A2V1ASJ2
CXQ85_000145	OG7_0013961	A0A2V1ATL4
CXQ85_000146	OG7_0001761	A0A2V1ATM1
CXQ85_000147	OG7_0016789	A0A2V1ASW5
CXQ85_000148	OG7_0006742	A0A2V1AWD5
CXQ85_000149	OG7_0007120	A0A2V1ATU0
CXQ85_000150	OG7_0006705	A0A2V1AV32
CXQ85_000151	OG7_0028333	A0A2V1ATU1
CXQ85_000152	OG7_0008036	A0A2V1ATP7
CXQ85_000153	OG7_0003116	A0A2V1AUI6
CXQ85_000154	OG7_0005594	A0A2V1ASK2
CXQ85_000155	OG7_0007155	A0A2V1ATM5
CXQ85_000156	OG7_0001271	A0A2V1ATN0
CXQ85_000157	OG7_0000102	A0A2V1ASX4
CXQ85_000158	OG7_0008371	A0A2V1AWE5
CXQ85_000159	OG7_0010831	A0A2V1ATU9
CXQ85_000160	OG7_0003905	A0A2V1AV43
CXQ85_000161	OG7_0001169	A0A2V1ATV2
CXQ85_000162	OG7_0007873	A0A2V1ATQ7
CXQ85_000163	OGR7_0005277	A0A2V1AUJ8
CXQ85_000164	OGR7_0002811	A0A2V1ASL2
CXQ85_000165	OG7_0009261	A0A2V1ATN5
CXQ85_000166	OG7_0023008	A0A2V1ATP0
CXQ85_000167	OG7_0020356	A0A2V1ASY3
CXQ85_000168	OG7_0024616	A0A2V1AWF5
CXQ85_000169	OGR7_0005306	A0A2V1ATV9
CXQ85_000170	OG7_0022141	A0A2V1AV53
CXQ85_000171	OG7_0005804	A0A2V1ATW2
CXQ85_000172	OG7_0007595	A0A2V1ATR7
CXQ85_000173	OG7_0002622	A0A2V1AUK7
CXQ85_000174	OG7_0006470	A0A2V1ASM3
CXQ85_000176	OG7_0035606	A0A2V1ATP6
CXQ85_000177	OG7_0010898	A0A2V1ATQ0
CXQ85_000178	OG7_0013042	A0A2V1ASZ4
CXQ85_000179	OG7_0000396	A0A2V1AWG3
CXQ85_000180	OG7_0000446	A0A2V1ATW7
CXQ85_000181	OG7_0007156	A0A2V1AV62
CXQ85_000182	OG7_0002476	A0A2V1ATX0
CXQ85_000183	OG7_0001750	A0A2V1ATS7
CXQ85_000184	OGR7_0029489	A0A2V1AUL8
CXQ85_000185	OG7_0008072	A0A2V1ASN3
CXQ85_000186	OG7_0003757	A0A2V1ATQ6
CXQ85_000187	OG7_0156120	A0A2V1ATQ8
CXQ85_000188	OG7_0007713	A0A2V1AT05
CXQ85_000189	OG7_0004231	A0A2V1AWH3
CXQ85_000190	OG7_0013311	A0A2V1ATX7
CXQ85_000191	OG7_0003516	A0A2V1AV72
CXQ85_000192	OG7_0005796	A0A2V1ATX9
CXQ85_000193	OG7_0006003	A0A2V1ATT7
CXQ85_000194	OG7_0000557	A0A2V1AUM6
CXQ85_000195	OG7_0000698	A0A2V1ASP6
CXQ85_000196	OG7_0006190	A0A2V1ATR6
CXQ85_000198	OG7_0011978	A0A2V1ATS0
CXQ85_000199	OG7_0001821	A0A2V1AT15
CXQ85_000200	OG7_0006586	A0A2V1AWI4
CXQ85_000201	OG7_0002301	A0A2V1ATY7
CXQ85_000202	OGR7_0006162	A0A2V1AV83
CXQ85_000203	OGR7_0054291	A0A2V1ATY9
CXQ85_000204	OG7_0000136	A0A2V1ATU8
CXQ85_000205	OG7_0010365	A0A2V1AUN8
CXQ85_000206	OGR7_0000093	A0A2V1ASQ7
CXQ85_000207	OG7_0012098	A0A2V1ATS5
CXQ85_000208	OG7_0006215	A0A2V1ATT2
CXQ85_000209	OG7_0005204	A0A2V1AT27
CXQ85_000210	OG7_0004893	A0A2V1AWJ4
CXQ85_000211	OG7_0004996	A0A2V1AU05
CXQ85_000212	OG7_0033026	A0A2V1AV92
CXQ85_000213	OG7_0004534	A0A2V1ATZ7
CXQ85_000214	OG7_0004828	A0A2V1ATV8
CXQ85_000215	OG7_0036294	A0A2V1AUP8
CXQ85_000216	OGR7_0014525	A0A2V1ASR6
CXQ85_000218	OG7_0018916	A0A2V1ATT4
CXQ85_000219	OG7_0007232	A0A2V1ATU3
CXQ85_000220	OG7_0002744	A0A2V1AT35
CXQ85_000221	OG7_0006192	A0A2V1AWK5
CXQ85_000224	OGR7_0012690	A0A2V1AU14
CXQ85_000225	OG7_0008032	A0A2V1AVA1
CXQ85_000226	OG7_0003363	A0A2V1AU07
CXQ85_000227	OG7_0008064	A0A2V1ATW9
CXQ85_000228	OG7_0000011	A0A2V1AUQ7
CXQ85_000229	OG7_0018423	A0A2V1ASS7
CXQ85_000230	OG7_0040963	A0A2V1ATU2
CXQ85_000231	OG7_0002141	A0A2V1ATV3
CXQ85_000232	OG7_0002726	A0A2V1AT46
CXQ85_000233	OG7_0001370	A0A2V1AWL6
CXQ85_000234	OG7_0003718	A0A2V1AU16
CXQ85_000235	OG7_0002949	A0A2V1AVB0
CXQ85_000236	OG7_0007715	A0A2V1AU15
CXQ85_000237	OG7_0000425	A0A2V1ATX8
CXQ85_000238	OG7_0005033	A0A2V1AUR3
CXQ85_000239	OG7_0001985	A0A2V1AST7
CXQ85_000240	OG7_0003990	A0A2V1ATV1
CXQ85_000241	OGR7_0029485	A0A2V1ATW3
CXQ85_000242	OGR7_0011408	A0A2V1AT56
CXQ85_000243	OG7_0002770	A0A2V1AWM7
CXQ85_000244	OG7_0001609	A0A2V1AU20
CXQ85_000245	OG7_0009416	A0A2V1AVC1
CXQ85_000246	OG7_0007633	A0A2V1AU19
CXQ85_000247	OG7_0024040	A0A2V1ATY8
CXQ85_000248	OG7_0022155	A0A2V1AUS1
CXQ85_000249	OG7_0004253	A0A2V1ASU9
CXQ85_000250	OGR7_0014510	A0A2V1ATW0
CXQ85_000251	OG7_0004173	A0A2V1ATX3
CXQ85_000252	OG7_0006128	A0A2V1AT66
CXQ85_000253	OG7_0156112	A0A2V1AWN8
CXQ85_000254	OG7_0008671	A0A2V1AU28
CXQ85_000255	OG7_0005468	A0A2V1AVC9
CXQ85_000256	OG7_0004914	A0A2V1AU23
CXQ85_000257	OG7_0030288	A0A2V1AU00
CXQ85_000258	OG7_0006996	A0A2V1AUT2
CXQ85_000259	OG7_0003055	A0A2V1ASV9
CXQ85_000260	OG7_0012910	A0A2V1ATX1
CXQ85_000261	OG7_0007809	A0A2V1ATY3
CXQ85_000262	OG7_0008728	A0A2V1AT76
CXQ85_000263	OG7_0004761	A0A2V1AWP6
