Accession	Gene Names	Entry
OG6r21_119614	C100020CA	Q5AB58
OG6r21_119615	C100030CA	Q5AB59
OG6_115022	C100040WA	A0A1D8PC38
OG6_108387	C100060WA	P0CY34
OG6_102327	C100070WA	A0A1D8PC43
OG6_186922	C100080CA	Q5AB69
OG6_117001	C100090WA	Q5AB70
OG6_102621	C100100CA	Q5AB72
OG6_102087	C100110WA	Q5AB74
OG6_105178	C100120CA	P43073
OG6_102035	C100130CA	Q5AB78
OG6_107531	C100140WA	Q5AB80
OG6_129116	C100150CA	Q9UW13
OG6_102437	C100160CA	Q5AB84
OG6_110817	C100170WA	Q5AB86
OG6_100793	C100180WA	Q5AB87
OG6r21_101812	C100190CA	Q5AB88
OG6r21_126894	C100200CA	Q5AB89
OG6_500126	C100210CA	A0A1D8PC56
OG6_107446	C100220WA	O13318
OG6_500290	C100230CA	A0A1D8PC67
OG6_109559	C100270WA	A0A1D8PC75
OG6_102480	C100280CA	A0A1D8PC79
OG6_100000	C100290WA	A0A1D8PC70
OG6_104517	C100310WA	Q5AB93
OG6_101343	C100320WA	Q5AB94
OG6_101639	C100330CA	A0A1D8PC71
OG6_101453	C100340WA	Q8TG40
OG6_104451	C100350CA	Q5AB97
OG6r21_106196	C100360WA	Q5AB98
OG6_106242	C100370WA	A0A1D8PC68
OG6_102465	C100380CA	Q5AB99
OG6_106383	C100390WA	Q5ABA1
OG6_111589	C100400WA	Q5ABA2
OG6_100557	C100410CA	A0A1D8PC76
OG6_118223	C100420WA	Q5ABA5
OG6_103112	C100430WA	Q5ABA6
OG6_101892	C100440WA	A0A1D8PC77
OG6_118306	C100450CA	A0A1D8PC73
OG6_105143	C100460WA	Q5ABA8
OG6_102519	C100470CA	Q5ABA9
OG6_100624	C100480CA	Q5ABB0
OG6_100315	C100490CA	Q5ABB1
OG6_102622	C100500CA	Q5ABB2
OG6_102860	C100510WA	Q5ABB3
OG6_101798	C100520WA	Q5ABB4
OG6_160270	C100530CA	Q5ABB5
OG6_160270	C100540CA	A0A1D8PC83
OG6_100578	C100550WA	A0A1D8PC84
OG6_102484	C100560WA	Q5ABB8
OG6_109925	C100570CA	A0A1D8PC90
OG6_107133	C100580WA	Q5ABC2
OG6_100780	C100590WA	Q5ABC3
OG6_102115	C100600WA	A0A1D8PCA6
OG6_102081	C100610WA	Q5ABC5
OG6_112320	C100620WA	Q5ABC6
OG6_100306	C100630WA	Q5ABC8
OG6_101824	C100640CA	A0A1D8PCA4
OG6_100985	C100650CA	Q5ABD0
OG6_102103	C100660CA	Q5ABD1
OG6_143740	C100670CA	Q5ABD2
OG6_306051	C100680WA	Q5ABD3
OG6r21_102025	C100690WA	A0A1D8PCB4
OG6_103406	C100700WA	Q5ABD5
OG6_100137	C100710CA	A0A1D8PC97
OG6_100566	C100730CA	A0A1D8PCA8
OG6_100277	C100740CA	P78599
OG6_110729	C100750CA	Q5ABD9
OG6_101140	C100760WA	Q5ABE0
OG6_123860	C100770CA	Q5ABP8
OG6_222615	C100780CA	Q5ABE2
OG6_109925	C100790WA	A0A1D8PCC4
OG6_106167	C100800CA	A0A1D8PCB9
OG6_102820	C100810WA	Q5ABE5
OG6r21_103534	C100820WA	Q5ABE6
OG6_100259	C100830WA	A0A1D8PCB5
OG6r21_108051	C100840CA	A0A1D8PCB2
OG6r21_126896	C100850WA	Q5ABE9
OG6_102211	C100860WA	Q5ABQ7
OG6_107778	C100870WA	A0A1D8PCB0
OG6r21_102819	C100880WA	A0A1D8PCC7
OG6_101658	C100890WA	Q5ABR2
OG6_102760	C100900WA	A0A1D8PCC8
OG6_104393	C100910WA	A0A1D8PCC6
OG6_114273	C100920WA	Q5ABF8
OG6_101145	C100930CA	A0A1D8PCC3
OG6_101401	C100940WA	A0A1D8PCD0
OG6_100759	C100950CA	Q5ABG0
OG6_101262	C100960CA	Q5ABG1
OG6r21_119617	C100970WA	A0A1D8PCD5
OG6_104476	C100980WA	A0A1D8PCD7
OG6_107381	C100990CA	A0A1D8PCD2
OG6r21_104641	C101000CA	Q5A945
OG6_103517	C101010WA	A0A1D8PCD3
OG6_101444	C101030WA	Q5A943
OG6_100783	C101040WA	Q5A942
OG6_102127	C101050CA	A0A1D8PCD8
OG6_102239	C101060WA	Q5A940
OG6_119801	C101070CA	A0A1D8PCF1
OG6r21_101376	C101080WA	Q5A938
OG6_109870	C101090CA	Q5A937
OG6_104443	C101100WA	Q5A936
OG6_101443	C101110CA	Q5A934
OG6_112271	C101130WA	Q5A933
OG6_106093	C101140CA	Q5A932
OG6_100931	C101150CA	Q5A931
OG6_102463	C101160CA	A0A1D8PCE7
OG6_122190	C101170CA	A0A1D8PCF5
OG6_103312	C101180CA	Q5A928
OG6_100150	C101190CA	Q5A927
OG6_186916	C101200WA	Q5A926
OG6r21_112706	C101210WA	Q5A925
OG6_138957	C101220CA	Q5A924
OG6_101126	C101240WA	Q5A923
OG6_110891	C101250WA	Q5A922
OG6_102292	C101260CA	Q5A920
OG6r21_101657	C101270WA	A0A1D8PCF2
OG6r21_126897	C101280CA	Q5A917
OG6r21_101515	C101290CA	A0A1D8PCF7
OG6_100096	C101300WA	Q5A915
OG6_101861	C101320WA	A0A1D8PCG9
OG6_101166	C101330CA	P0CY19
OG6r21_101658	C101340CA	Q5A911
OG6_101294	C101350CA	P87206
OG6_101901	C101360CA	A0A1D8PCG4
OG6_101819	C101370CA	A0A1D8PCG7
OG6_100839	C101380CA	A0A1D8PCG3
OG6_220882	C101390CA	A0A1D8PCG5
OG6_102878	C101400CA	Q5A905
OG6_500422	C101420CA	Q5A904
OG6_106080	C101440CA	A0A1D8PCH9
OG6_101512	C101450WA	A0A1D8PCI9
OG6_115046	C101460WA	A0A1D8PCH1
OG6_106005	C101470WA	A0A1D8PCH2
OG6_100429	C101480CA	Q5A900
OG6_500975	C101490WA	Q5A8Z9
OG6r21_115508	C101510WA	A0A1D8PCH3
OG6_100280	C101520CA	Q5A8Z4
OG6_100350	C101530CA	A0A1D8PCI5
OG6_499934	C101540WA	Q5A8Z2
OG6_118299	C101550WA	Q5A8Z0
OG6_102691	C101560WA	A0A1D8PCK0
OG6_102167	C101570CA	Q5A8Y7
OG6_101118	C101580WA	Q5A8Y6
OG6_100190	C101590CA	Q5A8Y5
OG6_105622	C101600WA	A0A1D8PCJ1
OG6_220121	C101610CA	A0A1D8PCI8
OG6_100091	C101620CA	A0A1D8PCJ0
OG6_103519	C101630WA	A0A1D8PCJ4
OG6_100732	C101640WA	A0A1D8PCI6
OG6_108620	C101650WA	Q5A8X9
OG6_103054	C101670CA	A0A1D8PCM0
OG6_111592	C101680CA	Q5A8X7
OG6_100834	C101690CA	Q5A8X6
OG6_104893	C101700WA	A0A1D8PCJ9
OG6r21_102255	C101710WA	A0A1D8PCJ6
OG6_104379	C101740WA	Q59T80
OG6_101689	C101750WA	A0A1D8PCJ5
OG6_114178	C101760WA	A0A1D8PCK2
OG6_115007	C101770WA	A0A1D8PCJ7
OG6_153038	C101780CA	A0A1D8PCL5
OG6_115793	C101790WA	A0A1D8PCM9
OG6r21_102517	C101800WA	Q59T87
OG6_102015	C101810CA	Q59T88
OG6_102792	C101820CA	Q59T89
OG6_102420	C101830CA	Q59T91
OG6_102354	C101840CA	Q59T92
OG6_100265	C101850CA	Q59T93
OG6_101177	C101860WA	Q59T94
OG6_100154	C101870CA	Q59T95
OG6r21_140183	C101880CA	A0A1D8PCM3
OG6_105479	C101890CA	A0A1D8PCP0
OG6_102936	C101900CA	A0A1D8PCL3
OG6_102232	C101910WA	A0A1D8PCL4
OG6_100076	C101920WA	A0A1D8PCM6
OG6_111598	C101930WA	A0A1D8PCL8
OG6_153948	C101940CA	Q59TA2
OG6_103372	C101950CA	Q59TA3
OG6r21_139952	C101970WA	A0A1D8PCL0
OG6_100060	C101980WA	A0A1D8PCL1
OG6_108032	C101990WA	Q59TA5
OG6_104324	C102000WA	A0A1D8PCP9
OG6_129996	C102010CA	A0A1D8PCM7
OG6_101474	C102020WA	Q59TA8
OG6_102017	C102030CA	Q59TA9
OG6_143281	C102040CA	A0A1D8PCM4
OG6_105067	C102050CA	Q59VZ6
OG6_143621	C102060WA	A0A1D8PCL9
OG6_108032	C102070WA	Q59VZ4
OG6_170801	C102080WA	Q59VZ3
OG6_103314	C102090CA	A0A1D8PCP2
OG6_143827	C102100WA	A0A1D8PCQ7
OG6_100060	C102110CA	Q59VZ0
OG6_111239	C102120CA	Q59VY9
OG6_102769	C102130CA	Q59VY8
OG6_100506	C102150WA	A0A1D8PCN0
OG6_102399	C102160WA	Q59VY5
OG6_101389	C102170CA	Q59VY4
OG6_101745	C102180WA	A0A1D8PCM2
OG6_103169	C102190WA	Q59VY2
OG6_103775	C102200CA	Q59VY1
OG6r21_109245	C102210WA	A0A1D8PCQ8
OG6_102975	C102220CA	Q59VX9
OG6_500540	C102230WA	Q59VX8
OG6_101642	C102240WA	Q59VX7
OG6_103418	C102250WA	Q59VX6
OG6_102808	C102260CA	A0A1D8PCP6
OG6_101971	C102270CA	A0A1D8PCP4
OG6_101106	C102280CA	A0A1D8PCN8
OG6_102681	C102290CA	A0A1D8PCP8
OG6_103090	C102300WA	Q59VX1
OG6_500766	C102310CA	Q59W04
OG6_115064	C102320CA	A0A1D8PCP7
OG6_100790	C102330CA	A0A1D8PCQ5
OG6_104555	C102350WA	Q59VW7
OG6_143047	C102360CA	Q59VW6
OG6r21_101374	C102370CA	A0A1D8PCR0
OG6_103223	C102380CA	A0A1D8PCQ6
OG6_102812	C102390WA	A0A1D8PCQ2
OG6_119656	C102400CA	A0A1D8PCR3
OG6_103163	C102410CA	A0A1D8PCS2
OG6_101172	C102420CA	A0A1D8PCT0
OG6_101886	C102430CA	A0A1D8PCQ3
OG6_102949	C102440CA	A0A1D8PCR2
OG6_103042	C102450CA	A0A1D8PCR9
OG6_100701	C102460WA	Q5AIB8
OG6r21_126898	C102470WA	Q5AIB7
OG6_101634	C102480WA	P31353
OG6_112968	C102490CA	Q5AIB5
OG6_103110	C102500WA	Q5AIB4
OG6_102735	C102510WA	Q5AIB3
OG6_133467	C102520WA	Q5AIB2
OG6_124587	C102530CA	A0A1D8PCR4
OG6_129608	C102570CA	Q5AIA8
OG6_137565	C102580WA	A0A1D8PCS6
OG6_102840	C102590CA	Q5AIA6
OG6_103407	C102600WA	A0A1D8PCS7
OG6_103753	C102610WA	Q5AIA4
OG6_100697	C102620CA	Q5AIA2
OG6_107620	C102630CA	Q5AIA1
OG6_104980	C102640CA	Q5AIA0
OG6_106922	C102650WA	A0A1D8PCU5
OG6_110272	C102660CA	Q5AI97
OG6_133175	C102670CA	A0A1D8PCT5
OG6_133175	C102680CA	A0A1D8PCT7
OG6r21_126899	C102690CA	Q5AI94
OG6_102636	C102700CA	A0A1D8PCT3
OG6_100669	C102710WA	A0A1D8PCT4
OG6_116650	C102720WA	Q5AI92
OG6r21_112707	C102730WA	Q5AI91
OG6_102326	C102740CA	Q5AI90
OG6_103614	C102750CA	A0A1D8PCV8
OG6_100709	C102760WA	P0CB54
OG6_103660	C102770WA	A0A1D8PCV2
OG6_118030	C102780WA	Q5AI87
OG6_101932	C102790WA	Q5AI86
OG6r21_126900	C102800WA	A0A1D8PCU3
OG6_105241	C102810WA	Q5AI84
OG6_100454	C102820WA	A0A1D8PCV7
OG6r21_107057	C102830WA	A0A1D8PCU1
OG6_103870	C102840WA	A0A1D8PCV9
OG6_106131	C102850WA	Q5AI80
OG6_101684	C102860CA	Q5AI79
OG6_101358	C102870WA	Q5AI78
OG6_104129	C102880CA	O94030
