Accession	Entry
OG6r20_106133	A0A2H1A6P9
OG6_105688	A0A2H1A6Q5
OG6_101746	A0A2H1A283
OG6r20_139744	A0A2H1A2B5
OG6_105977	A0A2H1A6R0
OG6r20_109176	A0A2H1A6P8
OG6_101230	A0A2H1A276
OG6_114876	A0A2H1A7J0
OG6_104675	A0A2H1A7P5
OG6_102174	A0A2H1A299
OG6_124904	A0A2H1A6R3
OG6_100356	A0A2H1A6R4
OG6_102200	A0A2H1A6R7
OG6_100282	A0A2H1A6S0
OG6_101528	A0A2H1A6S1
OG6_100965	A0A2H1A6R5
OG6_112275	A0A2H1A6R6
OG6_101160	A0A2H1A3E1
OG6r20_102217	A0A2H1A7Q3
OG6_100771	A0A2H1A2B0
OG6r20_103075	A0A2H1A6S2
OG6_106358	A0A2H1A6S6
OG6_100948	A0A2H1A6S5
OG6_119686	A0A2H1A6T0
OG6_100390	A0A2H1A6T1
OG6_100591	A0A2H1A6S3
OG6_108186	A0A2H1A6S4
OG6_103887	A0A2H1A7K9
OG6_121405	A0A2H1A3K4
OG6r20_102018	A0A2H1A2B8
OG6_100833	A0A2H1A2A5
OG6_100236	A0A2H1A6T7
OG6_112012	A0A2H1A6T9
OG6_102209	A0A2H1A6U0
OG6_113521	A0A2H1A6U1
OG6_113521	A0A2H1A6T4
OG6_101809	A0A2H1A6T3
OG6_103648	A0A2H1A7L7
OG6_101611	A0A2H1A7S8
OG6r20_101654	A0A2H1A6T8
OG6r20_102782	A0A2H1A6U2
OG6_105174	A0A2H1A6U7
OG6_118303	A0A2H1A6U8
OG6_103524	A0A2H1A6V0
OG6_100877	A0A2H1A6V1
OG6_101690	A0A2H1A6U4
OG6_143354	A0A2H1A6U3
OG6_103193	A0A2H1A7N1
OG6_137739	A0A2H1A7U2
OG6_137739	A0A2H1A3M4
OG6_110272	A0A2H1A6V2
OG6_106922	A0A2H1A6V8
OG6_104980	A0A2H1A6V7
OG6_107620	A0A2H1A6W0
OG6_100697	A0A2H1A6V9
OG6_103753	A0A2H1A6V3
OG6_103407	A0A2H1A2E8
OG6_102840	A0A2H1A7P0
OG6r20_101803	A0A2H1A7U9
OG6_123083	A0A2H1A6V5
OG6_500579	A0A2H1A2E6
OG6_511044	A0A2H1A6W8
OG6_100897	A0A2H1A6W4
OG6_100325	A0A2H1A6W9
OG6_103435	A0A2H1A2H3
OG6_152992	A0A2H1A6W2
OG6_102985	A0A2H1A2F8
OG6r20_101231	A0A2H1A7Q0
OG6_103376	A0A2H1A7V9
OG6r20_101500	A0A2H1A6W3
OG6_112026	A0A2H1A2F2
OG6_100380	A0A2H1A6X7
OG6_100380	A0A2H1A6X6
OG6_100293	A0A2H1A6X9
OG6_100534	A0A2H1A2E4
OG6_102866	A0A2H1A6X3
OG6_102084	A0A2H1A6X4
OG6_112506	A0A2H1A7R0
OG6_113582	A0A2H1A7W9
OG6_100570	A0A2H1A3L0
OG6_112501	A0A2H1A6Y3
OG6_101761	A0A2H1A6Z0
OG6r20_119435	A0A2H1A6Y6
OG6_115057	A0A2H1A2F0
OG6_100805	A0A2H1A6Y9
OG6r20_101802	A0A2H1A6Y1
OG6_102165	A0A2H1A2H1
OG6_102595	A0A2H1A7R8
OG6_104409	A0A2H1A2E7
OG6_100803	A0A2H1A3M0
OG6_100904	A0A2H1A3R4
OG6_100025	A0A2H1A700
OG6_100689	A0A2H1A6Z7
OG6_101943	A0A2H1A6Z8
OG6_173339	A0A2H1A6Z9
OG6_133435	A0A2H1A6Z1
OG6_102486	A0A2H1A2I0
OG6_100743	A0A5C1DTW8
OG6_107015	A0A2H1A2F7
OG6_100623	A0A2H1A3N1
OG6_102340	A0A2H1A703
OG6_100083	A0A2H1A2I2
OG6_101547	A0A2H1A706
