Gene Names	Accession	Entry	Protein names	Mass
CXQ85_000001	OG6r20_309477	A0A2V1AU32	Uncharacterized protein	13209
CXQ85_000002	OG6_100930	A0A2V1AS39	Cytochrome b2, mitochondrial	61314
CXQ85_000003	OG6_108919	A0A2V1AT79	Mandelate racemase/muconate lactonizing enzyme C-terminal domain-containing protein	47127
CXQ85_000004	OG6_137857	A0A2V1AT72	Transcription factor domain-containing protein	76920
CXQ85_000005	OG6_112458	A0A2V1ASG5	alpha-L-rhamnosidase (EC 3.2.1.40)	94043
CXQ85_000006	OG6_113013	A0A2V1AVY1	Major facilitator superfamily (MFS) profile domain-containing protein	62380
CXQ85_000007	OG6_165975	A0A2V1ATF5	Dihydrodipicolinate synthase	32627
CXQ85_000008	OG6_110847	A0A2V1AUQ3	Amidohydrolase-related domain-containing protein	38252
CXQ85_000009	OG6_127020	A0A2V1ATG0	L-rhamnose-1-dehydrogenase	26958
CXQ85_000010	OG6_110843	A0A2V1ATB2	beta-glucosidase (EC 3.2.1.21)	91126
CXQ85_000011	OG6_111107	A0A2V1AU44	MIF4G domain-containing protein	78673
CXQ85_000012	OG6_140564	A0A2V1AS49	OPT family small oligopeptide transporter	105620
CXQ85_000013	OG6_151174	A0A2V1AT89	Hyphally-regulated cell wall protein N-terminal domain-containing protein	100715
CXQ85_000014	OG6r20_140406	A0A2V1AT80	CNH domain-containing protein	36857
CXQ85_000015	OG6_114253	A0A2V1ASH4	Major facilitator superfamily (MFS) profile domain-containing protein	82687
CXQ85_000016	OG6_113965	A0A2V1AVZ7	Uncharacterized protein	58985
CXQ85_000017	OG6_140564	A0A2V1ATG5	OPT family small oligopeptide transporter	106038
CXQ85_000018	OG6_105688	A0A2V1AUR2	Major facilitator superfamily (MFS) profile domain-containing protein	71968
CXQ85_000019	OG6_101746	A0A2V1ATH0	Uncharacterized protein	56149
CXQ85_000020	OG6_101746	A0A2V1ATC3	Uncharacterized protein	24132
CXQ85_000021	OG6_101746	A0A2V1AU52	Uncharacterized protein	27131
CXQ85_000022	OG6r20_309469	A0A2V1AS58	Uncharacterized protein	24259
CXQ85_000023	OG6r20_109176	A0A2V1AT99	Uncharacterized protein	32035
CXQ85_000024	OG6_101230	A0A2V1AT90	CRAL-TRIO domain-containing protein	51365
CXQ85_000025	OG6_114876	A0A2V1ASI5	ferric-chelate reductase (NADPH) (EC 1.16.1.9)	67634
CXQ85_000026	OG6_104675	A0A2V1AW06	Ceramide glucosyltransferase (EC 2.4.1.80) (Glucosylceramide synthase) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	52127
CXQ85_000027	OG6_102174	A0A2V1ATH5	Choline/carnitine acyltransferase domain-containing protein	69615
CXQ85_000028	OG6_124904	A0A2V1AUS0	Autophagy-related protein 11	134906
CXQ85_000029	OG6_100356	A0A2V1ATH8	ribose-phosphate diphosphokinase (EC 2.7.6.1)	35585
CXQ85_000030	OG6_102200	A0A2V1ATD1	dihydroxy-acid dehydratase (EC 4.2.1.9)	63003
CXQ85_000031	OG6_100282	A0A2V1AU59	Uncharacterized protein	67461
CXQ85_000032	OG6_101528	A0A2V1AS70	homocitrate synthase (EC 2.3.3.14)	47017
CXQ85_000033	OG6_100965	A0A2V1ATA9	SPX domain-containing protein	108437
CXQ85_000034	OG6_112275	A0A2V1ATA0	Tyrosine specific protein phosphatases domain-containing protein	71345
CXQ85_000035	OG6_101160	A0A2V1ASJ5	Phospholipid-transporting ATPase (EC 7.6.2.1)	127557
CXQ85_000036	OG6_130353	A0A2V1AW16	RNase III domain-containing protein	45720
CXQ85_000037	OG6_100771	A0A2V1ATI4	ATP synthase subunit alpha	58408
CXQ85_000038	OG6r20_103075	A0A2V1AUS8	Uncharacterized protein	52049
CXQ85_000039	OG6_106358	A0A2V1ATI7	Uncharacterized protein	26787
CXQ85_000040	OG6_100948	A0A2V1ATE1	Aminopeptidase (EC 3.4.11.-)	97232
CXQ85_000041	OG6_119686	A0A2V1AU70	Rhodanese domain-containing protein	15877
CXQ85_000042	OG6_100390	A0A2V1AS80	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	19186
CXQ85_000043	OG6_100591	A0A2V1ATB9	Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	34662
CXQ85_000044	OG6_108186	A0A2V1ATB1	Uncharacterized protein	26639
CXQ85_000045	OG6_103887	A0A2V1ASL1	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	74665
CXQ85_000046	OG6_121405	A0A2V1AW26	Uncharacterized protein	32430
CXQ85_000047	OG6r20_102018	A0A2V1ATJ3	Uncharacterized protein	30761
CXQ85_000048	OG6_100833	A0A2V1AUT9	Nucleosome assembly protein	46300
CXQ85_000049	OG6_100236	A0A2V1ATJ6	ABC transporter domain-containing protein	93978
CXQ85_000050	OG6_112012	A0A2V1ATF2	Major facilitator superfamily (MFS) profile domain-containing protein	58346
CXQ85_000051	OG6_102209	A0A2V1AU82	Mitochondrial oxaloacetate transport protein	43838
CXQ85_000052	OG6_113521	A0A2V1AS89	Metallo-beta-lactamase domain-containing protein	31514
CXQ85_000053	OG6_101809	A0A2V1ATC9	Presequence protease, mitochondrial (Pitrilysin metalloproteinase)	117756
CXQ85_000054	OG6_101611	A0A2V1ATC4	GOLD domain-containing protein	21288
CXQ85_000055	OG6r20_101654	A0A2V1ASM1	Uncharacterized protein	70626
CXQ85_000056	OG6_500446	A0A2V1AW36	Uncharacterized protein	24964
CXQ85_000057	OG6_118303	A0A2V1ATK2	Tryptophan synthase beta chain-like PALP domain-containing protein	124556
CXQ85_000058	OG6_103524	A0A2V1AUU9	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (Histone H3-K79 methyltransferase)	138009
CXQ85_000059	OG6_100877	A0A2V1ATK6	ISWI chromatin-remodeling complex ATPase ISW2	124238
CXQ85_000060	OG6_101690	A0A2V1ATG2	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	76598
CXQ85_000061	OG6_103193	A0A2V1AU93	EamA domain-containing protein	36233
CXQ85_000062	OG6_137739	A0A2V1ASA0	Uncharacterized protein	29184
