Gene Names	Accession
Q0045	OG6_102770
Q0050	OG6_129836
Q0055	OG6_129836
Q0060	OG6_181774
Q0065	OG6_102770
Q0070	OG6_102770
Q0075	OG6_137876
Q0080	OG6_137875
Q0085	OG6_102362
Q0105	OG6_102198
Q0110	OG6_500207
Q0115	OG6_205594
Q0120	OG6_102198
Q0130	OG6_101507
Q0140	OG6_500400
Q0160	OG6_134355
Q0250	OG6_103253
Q0255	OG6_128521
Q0275	OG6_104028
YAL001C	OG6_198028
YAL002W	OG6_102677
YAL003W	OG6_101695
YAL005C	OG6_100083
YAL007C	OG6_103696
YAL008W	OG6_499957
YAL009W	OG6_115039
YAL010C	OG6_114985
YAL011W	OG6_500215
YAL012W	OG6_100353
YAL013W	OG6_142300
YAL014C	OG6_103098
YAL015C	OG6_100563
YAL016W	OG6_101100
YAL017W	OG6_104334
YAL018C	OG6_110243
YAL019W	OG6_103309
YAL020C	OG6_105051
YAL021C	OG6_101771
YAL022C	OG6_100863
YAL023C	OG6_101353
YAL024C	OG6_123083
YAL025C	OG6_102084
YAL026C	OG6_100089
YAL027W	OG6_500947
YAL028W	OG6_500095
YAL029C	OG6_100101
YAL030W	OG6_105078
YAL031C	OG6_499956
YAL032C	OG6_102543
YAL033W	OG6_103583
YAL034C	OG6_222536
YAL034W-A	OG6_121243
YAL035W	OG6_101241
YAL036C	OG6_102018
YAL037C-A	OG6_500220
YAL037W	OG6_222537
YAL038W	OG6_100258
YAL039C	OG6_101849
YAL040C	OG6_500965
YAL041W	OG6_112509
YAL042W	OG6_101674
YAL043C	OG6_137869
YAL044C	OG6_100619
YAL044W-A	OG6_101206
YAL046C	OG6_104163
YAL047C	OG6_499942
YAL048C	OG6_101658
YAL049C	OG6_102257
YAL051W	OG6_222538
YAL053W	OG6_123074
YAL054C	OG6_100430
YAL055W	OG6_500864
YAL056W	OG6_222540
YAL058W	OG6_102144
YAL059W	OG6_143832
YAL060W	OG6_152608
YAL061W	OG6_100349
YAL062W	OG6_100455
YAL063C	OG6_128677
YAL063C-A	OG6_500538
YAL064C-A	OG6_128677
YAL064W	OG6_500706
YAL064W-B	OG6_500237
YAL065C	OG6_128677
YAL067C	OG6_124924
YAL067W-A	OG6_222541
YAL068C	OG6_109825
YAR002C-A	OG6_102210
YAR002W	OG6_500874
YAR003W	OG6_103359
YAR007C	OG6_101316
YAR008W	OG6_102602
YAR009C	OG6_100069
YAR010C	OG6_100069
YAR014C	OG6_116980
YAR015W	OG6_101413
YAR018C	OG6_104455
YAR019C	OG6_104840
YAR020C	OG6_109825
YAR023C	OG6_111794
YAR027W	OG6_111794
YAR028W	OG6_111794
YAR029W	OG6_111794
YAR031W	OG6_111794
YAR033W	OG6_111794
YAR035C-A	OG6_500804
YAR035W	OG6_104379
YAR042W	OG6_101373
YAR050W	OG6_128677
YAR064W	OG6_222542
YAR066W	OG6_162024
YAR068W	OG6_500195
YAR071W	OG6_101372
YBL001C	OG6_106489
YBL002W	OG6_100082
YBL003C	OG6_100077
YBL004W	OG6_103119
YBL005W	OG6_179530
YBL005W-A	OG6_100069
YBL005W-B	OG6_100069
YBL006C	OG6_500821
YBL007C	OG6_113608
YBL008W	OG6_103167
YBL008W-A	OG6_500514
YBL009W	OG6_193608
YBL010C	OG6_500910
YBL011W	OG6_105381
YBL013W	OG6_101497
YBL014C	OG6_500861
YBL015W	OG6_109868
YBL016W	OG6_100339
YBL017C	OG6_101285
YBL018C	OG6_131696
YBL019W	OG6_105226
YBL020W	OG6_103267
YBL021C	OG6_101084
YBL022C	OG6_100411
YBL023C	OG6_101336
YBL024W	OG6_101428
YBL025W	OG6_500873
YBL026W	OG6_103409
YBL027W	OG6_100773
YBL028C	OG6_129994
YBL029C-A	OG6_135805
YBL029W	OG6_500824
YBL030C	OG6_100505
YBL031W	OG6_500881
YBL032W	OG6_103746
YBL033C	OG6_100984
YBL034C	OG6_500777
YBL035C	OG6_102459
YBL036C	OG6_101083
YBL037W	OG6_101447
YBL038W	OG6_101573
YBL039C	OG6_100470
YBL039W-B	OG6_500844
YBL040C	OG6_101087
YBL041W	OG6_101631
YBL042C	OG6_110303
YBL043W	OG6_499927
YBL044W	OG6_500729
YBL045C	OG6_109499
YBL046W	OG6_500615
YBL047C	OG6_101578
YBL049W	OG6_100480
YBL050W	OG6_101315
YBL051C	OG6_115950
YBL052C	OG6_103737
YBL054W	OG6_222543
