"Accession","Group ID"
"caur|B9J08_000001","OGR7_0000276"
"caur|B9J08_000002","OG7_0011977"
"caur|B9J08_000003","OG7_0002599"
"caur|B9J08_000004","OGR7_0010219"
"caur|B9J08_000005","OGR7_0014532"
"caur|B9J08_000006","OGR7_0011405"
"caur|B9J08_000007","OG7_0001253"
"caur|B9J08_000008","OG7_0001646"
"caur|B9J08_000009","OG7_0009265"
"caur|B9J08_000010","OG7_0001730"
"caur|B9J08_000011","OG7_0012317"
"caur|B9J08_000012","OG7_0002319"
"caur|B9J08_000013","OG7_0007099"
"caur|B9J08_000014","OGR7_0003998"
"caur|B9J08_000015","OG7_0004756"
"caur|B9J08_000016","OG7_0003118"
"caur|B9J08_000017","OG7_0004121"
"caur|B9J08_000018","OG7_0001014"
"caur|B9J08_000019","OGR7_0004027"
"caur|B9J08_000020","OG7_0004945"
"caur|B9J08_000021","OGR7_0003445"
"caur|B9J08_000022","OG7_0155854"
"caur|B9J08_000023","OG7_0001210"
"caur|B9J08_000024","OG7_0010520"
"caur|B9J08_000025","OG7_0003241"
"caur|B9J08_000026","OG7_0001354"
"caur|B9J08_000027","OG7_0000082"
"caur|B9J08_000028","OG7_0007201"
"caur|B9J08_000029","OG7_0001822"
"caur|B9J08_000030","OGR7_0003997"
"caur|B9J08_000031","OG7_0003402"
"caur|B9J08_000032","OG7_0002777"
"caur|B9J08_000033","OG7_0002542"
"caur|B9J08_000034","OG7_0001465"
"caur|B9J08_000035","OG7_0011721"
"caur|B9J08_000036","OG7_0011721"
"caur|B9J08_000037","OG7_0004979"
"caur|B9J08_000038","OG7_0006780"
"caur|B9J08_000039","OG7_0001609"
"caur|B9J08_000040","OGR7_0003425"
"caur|B9J08_000041","OGR7_0003736"
"caur|B9J08_000042","OG7_0002180"
"caur|B9J08_000043","OG7_0021369"
"caur|B9J08_000044","OG7_0006575"
"caur|B9J08_000045","OG7_0000402"
"caur|B9J08_000046","OG7_0006007"
"caur|B9J08_000047","OG7_0005979"
"caur|B9J08_000048","OG7_0006472"
"caur|B9J08_000049","OG7_0071888"
"caur|B9J08_000050","OG7_0071888"
"caur|B9J08_000051","OG7_0015034"
"caur|B9J08_000052","OGR7_0003441"
"caur|B9J08_000053","OG7_0008718"
"caur|B9J08_000054","OG7_0006512"
"caur|B9J08_000055","OG7_0003537"
"caur|B9J08_000056","OG7_0006814"
"caur|B9J08_000057","OG7_0008733"
"caur|B9J08_000058","OG7_0008429"
"caur|B9J08_000059","OGR7_0002661"
"caur|B9J08_000060","OG7_0001368"
"caur|B9J08_000061","OG7_0155900"
"caur|B9J08_000062","OG7_0000970"
"caur|B9J08_000063","OG7_0001933"
"caur|B9J08_000064","OG7_0003690"
"caur|B9J08_000065","OG7_0008818"
"caur|B9J08_000066","OG7_0002147"
"caur|B9J08_000067","OG7_0007344"
"caur|B9J08_000068","OGR7_0002822"
"caur|B9J08_000069","OG7_0008837"
"caur|B9J08_000070","OGR7_0003756"
"caur|B9J08_000071","OG7_0015586"
"caur|B9J08_000072","OG7_0001918"
"caur|B9J08_000073","OG7_0001918"
"caur|B9J08_000074","OG7_0002540"
"caur|B9J08_000075","OG7_0002926"
"caur|B9J08_000076","OG7_0003037"
"caur|B9J08_000077","OG7_0007199"
"caur|B9J08_000078","OG7_0010250"
"caur|B9J08_000079","OG7_0009582"
"caur|B9J08_000080","OG7_0001576"
"caur|B9J08_000081","OG7_0014205"
"caur|B9J08_000082","OG7_0005954"
"caur|B9J08_000083","OGR7_0029171"
"caur|B9J08_000084","OG7_0019457"
"caur|B9J08_000085","OG7_0030270"
