Entry	Gene Names	Orthomcl ID
A0A2V1AUX0	CXQ85_000300	OG6_100256
A0A2V1AY83	CXQ85_002537	OG6_100765
A0A2V1ALF0	CXQ85_001423	OG6_126571
A0A2V1AMQ3	CXQ85_001256	OG6_100769
A0A2V1AND4	CXQ85_001611	OG6_100319
A0A2V1ANJ9	CXQ85_003295	OG6_102081
A0A2V1ANN4	CXQ85_003510	OG6_103269
A0A2V1AQB1	CXQ85_001449	OG6_100222
A0A2V1AQV1	CXQ85_002044	OG6_100049
A0A2V1AR82	CXQ85_002177	OG6_100083
A0A2V1ASC6	CXQ85_004264	OG6_100319
A0A2V1ASI1	CXQ85_004250	OG6_107063
A0A2V1ATB9	CXQ85_000043	OG6_100591
A0A2V1AU40	CXQ85_000274	OG6_103826
A0A2V1AVL5	CXQ85_004819	OG6_100026
A0A2V1AYC5	CXQ85_000835	OG6_100411
A0A2V1AYD1	CXQ85_002556	OG6_104460
A0A2V1AZB7	CXQ85_002570	OG6_100435
A0A2V1AZG7	CXQ85_002943	OG6_101866
A0A2V1B1D6	CXQ85_003958	OG6_100886
A0A2V1B1X7	CXQ85_003065	OG6_100980
A0A2V1AKX1	CXQ85_000986	OG6_100425
A0A2V1ALP3	CXQ85_001518	OG6_103174
A0A2V1ALQ1	CXQ85_001046	OG6_100158
A0A2V1ALR4	CXQ85_001538	OG6_100821
A0A2V1AM35	CXQ85_001251	OG6_100350
A0A2V1AM55	CXQ85_001272	OG6_100834
A0A2V1AM64	CXQ85_001220	OG6_101172
A0A2V1AM78	CXQ85_001112	OG6_103257
A0A2V1AM92	CXQ85_003249	OG6_101567
A0A2V1AMB6	CXQ85_001114	OG6_102422
A0A2V1AMF0	CXQ85_001364	OG6_100447
A0A2V1AMH9	CXQ85_001185	OG6_100639
A0A2V1AMK9	CXQ85_001425	OG6_101855
A0A2V1AML4	CXQ85_001319	OG6_101703
A0A2V1AMM0	CXQ85_001436	OG6_101255
A0A2V1AMQ7	CXQ85_001435	OG6_100223
A0A2V1AMR9	CXQ85_001306	OG6_100905
A0A2V1AMS1	CXQ85_001277	OG6_100111
