Gene Names	Accession	Entry	Protein names	Mass
B9J08_000001	OG6r20_106133	A0A2H1A6P9	Arrestin-like N-terminal domain-containing protein	44343
B9J08_000002	OG6_105688	A0A2H1A6Q5	Major facilitator superfamily (MFS) profile domain-containing protein	71484
B9J08_000003	OG6_101746	A0A2H1A283	Uncharacterized protein	56988
B9J08_000004	OG6r20_139744	A0A2H1A2B5	Uncharacterized protein	21330
B9J08_000005	OG6_105977	A0A2H1A6R0	Cell wall protein	20324
B9J08_000006	OG6r20_109176	A0A2H1A6P8	Uncharacterized protein	31638
B9J08_000007	OG6_101230	A0A2H1A276	CRAL-TRIO domain-containing protein	51676
B9J08_000008	OG6_114876	A0A2H1A7J0	ferric-chelate reductase (NADPH) (EC 1.16.1.9)	67710
B9J08_000009	OG6_104675	A0A2H1A7P5	Ceramide glucosyltransferase (EC 2.4.1.80) (Glucosylceramide synthase) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	51881
B9J08_000010	OG6_102174	A0A2H1A299	Choline/carnitine acyltransferase domain-containing protein	70098
B9J08_000011	OG6_124904	A0A2H1A6R3	Autophagy-related protein 11	139229
B9J08_000012	OG6_100356	A0A2H1A6R4	ribose-phosphate diphosphokinase (EC 2.7.6.1)	35535
B9J08_000013	OG6_102200	A0A2H1A6R7	dihydroxy-acid dehydratase (EC 4.2.1.9)	63036
B9J08_000014	OG6_100282	A0A2H1A6S0	Uncharacterized protein	70191
B9J08_000015	OG6_101528	A0A2H1A6S1	homocitrate synthase (EC 2.3.3.14)	47526
B9J08_000016	OG6_100965	A0A2H1A6R5	EXS domain-containing protein	108695
B9J08_000017	OG6_112275	A0A2H1A6R6	Tyrosine specific protein phosphatases domain-containing protein	71698
B9J08_000018	OG6_101160	A0A2H1A3E1	Phospholipid-transporting ATPase (EC 7.6.2.1)	127700
B9J08_000019	OG6r20_102217	A0A2H1A7Q3	Uncharacterized protein	40065
B9J08_000020	OG6_100771	A0A2H1A2B0	ATP synthase subunit alpha	58617
B9J08_000021	OG6r20_103075	A0A2H1A6S2	Uncharacterized protein	55338
B9J08_000022	OG6_106358	A0A2H1A6S6	Uncharacterized protein	29232
B9J08_000023	OG6_100948	A0A2H1A6S5	Aminopeptidase (EC 3.4.11.-)	96939
B9J08_000024	OG6_119686	A0A2H1A6T0	Rhodanese domain-containing protein	15823
B9J08_000025	OG6_100390	A0A2H1A6T1	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	21248
B9J08_000026	OG6_100591	A0A2H1A6S3	Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	32749
B9J08_000027	OG6_108186	A0A2H1A6S4	Uncharacterized protein	26610
B9J08_000028	OG6_103887	A0A2H1A7K9	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	75108
B9J08_000029	OG6_121405	A0A2H1A3K4	Cyclin N-terminal domain-containing protein	32386
B9J08_000030	OG6r20_102018	A0A2H1A2B8	Uncharacterized protein	30414
B9J08_000031	OG6_100833	A0A2H1A2A5	Nucleosome assembly protein	46960
B9J08_000032	OG6_100236	A0A2H1A6T7	ABC transporter domain-containing protein	94100
B9J08_000033	OG6_112012	A0A2H1A6T9	D-galactonate transporter	58168
B9J08_000034	OG6_102209	A0A2H1A6U0	Mitochondrial oxaloacetate transport protein	35783
B9J08_000035	OG6_113521	A0A2H1A6U1	Metallo-beta-lactamase domain-containing protein	31341
B9J08_000036	OG6_113521	A0A2H1A6T4	Metallo-beta-lactamase domain-containing protein	31827
B9J08_000037	OG6_101809	A0A2H1A6T3	Presequence protease, mitochondrial (Pitrilysin metalloproteinase)	118752
B9J08_000038	OG6_103648	A0A2H1A7L7	Large ribosomal subunit protein bL33m	8176
B9J08_000039	OG6_101611	A0A2H1A7S8	GOLD domain-containing protein	24398
B9J08_000040	OG6r20_101654	A0A2H1A6T8	Uncharacterized protein	74721
B9J08_000041	OG6r20_102782	A0A2H1A6U2	Uncharacterized protein	25707
B9J08_000042	OG6_105174	A0A2H1A6U7	L-serine ammonia-lyase (EC 4.3.1.17)	33942
B9J08_000043	OG6_118303	A0A2H1A6U8	DUF676 domain-containing protein	92858
B9J08_000044	OG6_103524	A0A2H1A6V0	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (Histone H3-K79 methyltransferase)	128339
B9J08_000045	OG6_100877	A0A2H1A6V1	ISWI chromatin-remodeling complex ATPase ISW2	123695
B9J08_000046	OG6_101690	A0A2H1A6U4	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	42318
B9J08_000047	OG6_143354	A0A2H1A6U3	Uncharacterized protein	40040
B9J08_000048	OG6_103193	A0A2H1A7N1	EamA domain-containing protein	45432
