Group ID	Entry
OGR7_0029146	Q5AB58
OGR7_0019431	Q5AB59
OGR7_0000847	A0A1D8PC38
OG7_0013468	P0CY34
OG7_0007007	A0A1D8PC43
OG7_0101632	Q5AB69
OG7_0008273	Q5AB70
OG7_0005388	Q5AB72
OG7_0001068	Q5AB74
OG7_0009845	P43073
OG7_0007000	Q5AB78
OG7_0001012	Q5AB80
OG7_0036263	Q9UW13
OG7_0000011	Q5AB84
OG7_0004758	Q5AB86
OG7_0005590	Q5AB87
OGR7_0004274	Q5AB88
OGR7_0023498	Q5AB89
OG7_0155578	A0A1D8PC56
OG7_0009493	O13318
OG7_0019451	A0A1D8PC67
OGR7_0028763	A0A1D8PC75
OG7_0001167	A0A1D8PC79
OG7_0007976	A0A1D8PC70
OG7_0001952	Q5AB93
OG7_0005079	Q5AB94
OG7_0005539	A0A1D8PC71
OG7_0006617	Q8TG40
OG7_0009248	Q5AB97
OGR7_0011378	Q5AB98
OG7_0011940	A0A1D8PC68
OG7_0007868	Q5AB99
OG7_0001061	Q5ABA1
OG7_0017496	Q5ABA2
OG7_0000709	A0A1D8PC76
OG7_0022966	Q5ABA5
OG7_0002811	Q5ABA6
OG7_0006559	A0A1D8PC77
OG7_0021370	A0A1D8PC73
OG7_0010293	Q5ABA8
OG7_0004243	Q5ABA9
OG7_0001747	Q5ABB0
OG7_0002700	Q5ABB1
OG7_0004546	Q5ABB2
OG7_0008181	Q5ABB3
OG7_0002312	Q5ABB4
OG7_0056871	Q5ABB5
OG7_0056871	A0A1D8PC83
OG7_0002382	A0A1D8PC84
OG7_0007988	Q5ABB8
OGR7_0007417	A0A1D8PC90
OG7_0014579	Q5ABC2
OG7_0004479	Q5ABC3
OG7_0007168	A0A1D8PCA6
OG7_0004477	Q5ABC5
OG7_0002826	Q5ABC6
OG7_0002979	Q5ABC8
OG7_0006314	A0A1D8PCA4
OG7_0005735	Q5ABD0
OG7_0007005	Q5ABD1
OG7_0020664	Q5ABD2
OG7_0003112	Q5ABD3
OG7_0006448	A0A1D8PCB4
OG7_0009123	Q5ABD5
OG7_0000784	A0A1D8PC97
OG7_0000696	A0A1D8PCA8
OG7_0002546	P78599
OG7_0001169	Q5ABD9
OGR7_0054055	Q5ABE0
OG7_0021770	Q5ABP8
OG7_0101637	Q5ABE2
OGR7_0009163	A0A1D8PCC4
OG7_0010710	A0A1D8PCB9
OG7_0008240	Q5ABE5
OGR7_0004289	Q5ABE6
OG7_0001708	A0A1D8PCB5
OG7_0072946	A0A1D8PCB2
OGR7_0029132	Q5ABE9
OG7_0007193	Q5ABQ7
OG7_0009577	A0A1D8PCB0
OGR7_0004578	A0A1D8PCC7
OG7_0004122	Q5ABR2
OG7_0008319	A0A1D8PCC8
OG7_0007071	A0A1D8PCC6
OG7_0015587	Q5ABF8
OG7_0003662	A0A1D8PCC3
OG7_0003756	A0A1D8PCD0
OG7_0000004	Q5ABG0
OG7_0000775	Q5ABG1
OG7_0009542	A0A1D8PCD5
OGR7_0019428	A0A1D8PCD7
OG7_0011827	A0A1D8PCD2
OGR7_0004576	Q5A945
OG7_0008316	A0A1D8PCD3
OG7_0001729	Q5A943
OG7_0003890	Q5A942
OG7_0006198	A0A1D8PCD8
OG7_0006305	Q5A940
OG7_0020685	A0A1D8PCF1
OGR7_0003448	Q5A938
OG7_0015017	Q5A937
OG7_0001206	Q5A936
OG7_0006538	Q5A934
OG7_0002743	Q5A933
OG7_0004116	Q5A932
OG7_0005126	Q5A931
OG7_0007513	A0A1D8PCE7
OG7_0009351	A0A1D8PCF5
OG7_0007675	Q5A928
OG7_0001362	Q5A927
OG7_0020045	Q5A926
OGR7_0011093	Q5A925
OGR7_0004043	Q5A924
OG7_0001184	Q5A923
OG7_0011622	Q5A922
OG7_0004832	Q5A920
OGR7_0004035	A0A1D8PCF2
OGR7_0014457	Q5A917
OG7_0156065	A0A1D8PCF7
OG7_0000495	Q5A915
OG7_0005407	A0A1D8PCG9
OG7_0005325	P0CY19
OGR7_0004015	Q5A911
OG7_0000130	P87206
OG7_0002910	A0A1D8PCG4
OG7_0006431	A0A1D8PCG7
OG7_0004255	A0A1D8PCG3
OG7_0155697	A0A1D8PCG5
OG7_0006826	Q5A905
OG7_0001254	Q5A904
OG7_0003757	A0A1D8PCH9
OG7_0006190	A0A1D8PCI9
OG7_0011978	A0A1D8PCH1
OG7_0019990	A0A1D8PCH2
OG7_0002866	Q5A900
OGR7_0003724	Q5A8Z9
OGR7_0012774	A0A1D8PCH3
OG7_0003185	Q5A8Z4
OG7_0003615	A0A1D8PCI5
OGR7_0002416	Q5A8Z2
OG7_0022160	Q5A8Z0
OG7_0002157	A0A1D8PCK0
OG7_0003800	Q5A8Y7
OG7_0005994	Q5A8Y6
OG7_0001821	Q5A8Y5
OG7_0009058	A0A1D8PCJ1
OG7_0002143	A0A1D8PCI8
OG7_0001023	A0A1D8PCJ0
OG7_0008750	A0A1D8PCJ4
OG7_0004517	A0A1D8PCI6
OG7_0013305	Q5A8X9
OG7_0007529	A0A1D8PCM0
OG7_0016766	Q5A8X7
OG7_0005210	Q5A8X6
OG7_0008829	A0A1D8PCJ9
OGR7_0004041	A0A1D8PCJ6
OG7_0001730	Q59T80
OG7_0001701	A0A1D8PCJ5
OGR7_0000448	A0A1D8PCK2
OG7_0017136	A0A1D8PCJ7
OG7_0003055	A0A1D8PCL5
OG7_0009582	A0A1D8PCM9
OGR7_0003768	Q59T87
OG7_0000704	Q59T88
OG7_0001363	Q59T89
OG7_0006962	Q59T91
OGR7_0038523	Q59T92
OG7_0000011	Q59T93
OG7_0003739	Q59T94
OG7_0002172	Q59T95
OG7_0101693	A0A1D8PCM3
OG7_0006386	A0A1D8PCP0
OG7_0003719	A0A1D8PCL3
OG7_0007238	A0A1D8PCL4
OG7_0001022	A0A1D8PCM6
OG7_0004018	A0A1D8PCL8
OGR7_0011394	Q59TA2
OG7_0008916	Q59TA3
OGR7_0054057	A0A1D8PCL0
OG7_0000446	A0A1D8PCL1
OG7_0010526	Q59TA5
OG7_0017540	A0A1D8PCP9
OG7_0041018	A0A1D8PCM7
OG7_0005754	Q59TA8
OG7_0002230	Q59TA9
OG7_0008002	A0A1D8PCM4
OG7_0002970	Q59VZ6
OG7_0022165	A0A1D8PCL9
OG7_0010526	Q59VZ4
OG7_0001287	Q59VZ3
OG7_0007460	A0A1D8PCP2
OG7_0000136	A0A1D8PCQ7
OG7_0000446	Q59VZ0
OG7_0000009	Q59VY9
OG7_0004338	Q59VY8
OG7_0001250	A0A1D8PCN0
OG7_0004616	Q59VY5
OG7_0001222	Q59VY4
OG7_0007662	A0A1D8PCM2
OG7_0003893	Q59VY2
OG7_0007853	Q59VY1
OGR7_0009160	A0A1D8PCQ8
OG7_0006318	Q59VX9
OG7_0001286	Q59VX8
OG7_0006736	Q59VX7
OG7_0006856	Q59VX6
OG7_0001719	A0A1D8PCP6
OG7_0000050	A0A1D8PCP4
OG7_0004683	A0A1D8PCN8
OG7_0007811	A0A1D8PCP8
OG7_0008267	Q59VX1
OG7_0155786	Q59W04
OG7_0002306	A0A1D8PCP7
OG7_0005205	A0A1D8PCQ5
OG7_0009965	Q59VW7
OG7_0009493	Q59VW6
OGR7_0004030	A0A1D8PCR0
OG7_0000557	A0A1D8PCQ6
OG7_0003518	A0A1D8PCQ2
OG7_0005756	A0A1D8PCR3
OG7_0008314	A0A1D8PCS2
OG7_0004854	A0A1D8PCT0
OG7_0006738	A0A1D8PCQ3
OG7_0008044	A0A1D8PCR2
OG7_0008477	A0A1D8PCR9
OG7_0004941	Q5AIB8
OGR7_0014479	Q5AIB7
OG7_0006507	P31353
OG7_0000958	Q5AIB5
OG7_0007438	Q5AIB4
OG7_0007923	Q5AIB3
OG7_0010826	Q5AIB2
OG7_0005294	A0A1D8PCR4
OG7_0005294	Q5AIA8
OG7_0005350	A0A1D8PCS6
OG7_0008429	Q5AIA6
OG7_0008733	A0A1D8PCS7
OG7_0006814	Q5AIA4
OG7_0003537	Q5AIA2
OG7_0006512	Q5AIA1
OG7_0008718	Q5AIA0
OGR7_0003441	A0A1D8PCU5
OG7_0015034	Q5AI97
OG7_0028333	A0A1D8PCT5
OG7_0028333	A0A1D8PCT7
OGR7_0038544	Q5AI94
OG7_0007186	A0A1D8PCT3
OG7_0002997	A0A1D8PCT4
OG7_0000135	Q5AI92
OGR7_0023493	Q5AI91
OG7_0001461	Q5AI90
OG7_0005034	A0A1D8PCV8
OG7_0004948	P0CB54
OG7_0009262	A0A1D8PCV2
OG7_0025095	Q5AI87
OG7_0003947	Q5AI86
OGR7_0023495	A0A1D8PCU3
OG7_0000402	Q5AI84
OG7_0000535	A0A1D8PCV7
OGR7_0008205	A0A1D8PCU1
OG7_0000695	A0A1D8PCV9
OG7_0007114	Q5AI80
OG7_0006468	Q5AI79
OG7_0000131	Q5AI78
OG7_0008707	O94030
OGR7_0005704	Q5AI75
OG7_0007062	A0A1D8PCV3
OGR7_0011381	Q5AI71
OG7_0007392	A0A1D8PCW7
OG7_0003264	A0A1D8PCV0
OGR7_0006751	Q5AI68
OG7_0024061	Q5AI67
OG7_0017500	Q5AI66
OG7_0007676	A0A1D8PCX5
OG7_0001271	A0A1D8PCW3
OG7_0006512	P29717
OG7_0015876	A0A1D8PCW2
OG7_0004828	Q9HFQ7
OG7_0005753	O59931
OG7_0003127	A0A1D8PCW6
OG7_0155891	Q5AI58
OG7_0007938	A0A1D8PCY2
OG7_0008269	Q5AI56
OG7_0003362	A0A1D8PCY1
OG7_0000131	A0A1D8PCX9
