Entry	Gene Names	Protein names	Mass
A0A2U8JET2		Translation elongation factor 1-alpha	32189
A0A7U3NFK4		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57944
A0A7U3NFK5		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57101
A0A7U3NFL2		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57988
A0A7U3NFM2		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57917
A0A7U3NFQ6		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57944
A0A7U3NFT1		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57781
A0A7U3RWI4		sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	57918
B0LCF7		Cytochrome c oxidase subunit 2	22678
B0LCF8		Cytochrome c oxidase subunit 2	22778
B0LCN8		DNA-directed RNA polymerase (EC 2.7.7.6)	30367
B0LCN9		DNA-directed RNA polymerase (EC 2.7.7.6)	30349
T2AW70		Inorganic phosphate transporter	39724
A0A2V1AU08	AAH1 CXQ85_000293	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	39968
