Accession	Gene Names
OG6r21_167609	C100010WA
OG6r21_119614	C100020CA
OG6r21_119615	C100030CA
OG6_115022	C100040WA
OG6r21_139948	C100050CA
OG6_108387	C100060WA
OG6_102327	C100070WA
OG6_186922	C100080CA
OG6_117001	C100090WA
OG6_102621	C100100CA
OG6_102087	C100110WA
OG6_105178	C100120CA
OG6_102035	C100130CA
OG6_107531	C100140WA
OG6_129116	C100150CA
OG6_102437	C100160CA
OG6_110817	C100170WA
OG6_100793	C100180WA
OG6r21_101812	C100190CA
OG6r21_126894	C100200CA
OG6_500126	C100210CA
OG6_107446	C100220WA
OG6_500290	C100230CA
OG6_109559	C100270WA
OG6_102480	C100280CA
OG6_100000	C100290WA
OG6_104517	C100310WA
OG6_101343	C100320WA
OG6_101639	C100330CA
OG6_101453	C100340WA
OG6_104451	C100350CA
OG6r21_106196	C100360WA
OG6_106242	C100370WA
OG6_102465	C100380CA
OG6_106383	C100390WA
OG6_111589	C100400WA
OG6_100557	C100410CA
OG6_118223	C100420WA
OG6_103112	C100430WA
OG6_101892	C100440WA
OG6_118306	C100450CA
OG6_105143	C100460WA
OG6_102519	C100470CA
OG6_100624	C100480CA
OG6_100315	C100490CA
OG6_102622	C100500CA
OG6_102860	C100510WA
OG6_101798	C100520WA
OG6_160270	C100530CA
OG6_160270	C100540CA
OG6_100578	C100550WA
OG6_102484	C100560WA
OG6_109925	C100570CA
OG6_107133	C100580WA
OG6_100780	C100590WA
OG6_102115	C100600WA
OG6_102081	C100610WA
OG6_112320	C100620WA
OG6_100306	C100630WA
OG6_101824	C100640CA
OG6_100985	C100650CA
OG6_102103	C100660CA
OG6_143740	C100670CA
OG6_306051	C100680WA
OG6r21_102025	C100690WA
OG6_103406	C100700WA
OG6_100137	C100710CA
OG6_100566	C100730CA
OG6_100277	C100740CA
OG6_110729	C100750CA
OG6_101140	C100760WA
OG6_123860	C100770CA
OG6_222615	C100780CA
OG6_109925	C100790WA
OG6_106167	C100800CA
OG6_102820	C100810WA
OG6r21_103534	C100820WA
OG6_100259	C100830WA
OG6r21_108051	C100840CA
OG6r21_126896	C100850WA
OG6_102211	C100860WA
OG6_107778	C100870WA
OG6r21_102819	C100880WA
OG6_101658	C100890WA
OG6_102760	C100900WA
OG6_104393	C100910WA
OG6_114273	C100920WA
OG6_101145	C100930CA
OG6_101401	C100940WA
OG6_100759	C100950CA
OG6_101262	C100960CA
OG6r21_119617	C100970WA
OG6_104476	C100980WA
OG6_107381	C100990CA
OG6r21_104641	C101000CA
OG6_103517	C101010WA
OG6_101444	C101030WA
OG6_100783	C101040WA
OG6_102127	C101050CA
OG6_102239	C101060WA
OG6_119801	C101070CA
OG6r21_101376	C101080WA
OG6_109870	C101090CA
OG6_104443	C101100WA
OG6_101443	C101110CA
OG6_112271	C101130WA
OG6_106093	C101140CA
OG6_100931	C101150CA
OG6_102463	C101160CA
OG6_122190	C101170CA
OG6_103312	C101180CA
OG6_100150	C101190CA
OG6_186916	C101200WA
OG6r21_112706	C101210WA
OG6_138957	C101220CA
OG6_101126	C101240WA
OG6_110891	C101250WA
OG6_102292	C101260CA
OG6r21_101657	C101270WA
OG6r21_126897	C101280CA
OG6r21_101515	C101290CA
OG6_100096	C101300WA
OG6r21_139950	C101310WA
OG6_101861	C101320WA
OG6_101166	C101330CA
OG6r21_101658	C101340CA
OG6_101294	C101350CA
OG6_101901	C101360CA
OG6_101819	C101370CA
OG6_100839	C101380CA
OG6_220882	C101390CA
OG6_102878	C101400CA
OG6_500422	C101420CA
OG6_106080	C101440CA
OG6_101512	C101450WA
OG6_115046	C101460WA
OG6_106005	C101470WA
OG6_100429	C101480CA
OG6_500975	C101490WA
OG6r21_139951	C101500WA
OG6r21_115508	C101510WA
OG6_100280	C101520CA
OG6_100350	C101530CA
OG6_499934	C101540WA
OG6_118299	C101550WA
OG6_102691	C101560WA
OG6_102167	C101570CA
OG6_101118	C101580WA
OG6_100190	C101590CA
OG6_105622	C101600WA
OG6_220121	C101610CA
OG6_100091	C101620CA
OG6_103519	C101630WA
OG6_100732	C101640WA
OG6_108620	C101650WA
OG6_103054	C101670CA
OG6_111592	C101680CA
OG6_100834	C101690CA
OG6_104893	C101700WA
OG6r21_102255	C101710WA
OG6_104379	C101740WA
OG6_101689	C101750WA
OG6_114178	C101760WA
OG6_115007	C101770WA
OG6_153038	C101780CA
OG6_115793	C101790WA
OG6r21_102517	C101800WA
OG6_102015	C101810CA
OG6_102792	C101820CA
OG6_102420	C101830CA
OG6_102354	C101840CA
OG6_100265	C101850CA
OG6_101177	C101860WA
OG6_100154	C101870CA
OG6r21_140183	C101880CA
OG6_105479	C101890CA
OG6_102936	C101900CA
OG6_102232	C101910WA
OG6_100076	C101920WA
OG6_111598	C101930WA
OG6_153948	C101940CA
OG6_103372	C101950CA
OG6r21_139952	C101970WA
OG6_100060	C101980WA
OG6_108032	C101990WA
OG6_104324	C102000WA
OG6_129996	C102010CA
OG6_101474	C102020WA
OG6_102017	C102030CA
OG6_143281	C102040CA
OG6_105067	C102050CA
OG6_143621	C102060WA
OG6_108032	C102070WA
OG6_170801	C102080WA
OG6_103314	C102090CA
OG6_143827	C102100WA
OG6_100060	C102110CA
OG6_111239	C102120CA
OG6_102769	C102130CA
OG6r21_139953	C102140CA
OG6_100506	C102150WA
OG6_102399	C102160WA
OG6_101389	C102170CA
OG6_101745	C102180WA
OG6_103169	C102190WA
OG6_103775	C102200CA
OG6r21_109245	C102210WA
OG6_102975	C102220CA
OG6_500540	C102230WA
OG6_101642	C102240WA
OG6_103418	C102250WA
OG6_102808	C102260CA
OG6_101971	C102270CA
OG6_101106	C102280CA
OG6_102681	C102290CA
OG6_103090	C102300WA
OG6_500766	C102310CA
OG6_115064	C102320CA
OG6_100790	C102330CA
OG6_104555	C102350WA
OG6_143047	C102360CA
OG6r21_101374	C102370CA
OG6_103223	C102380CA
OG6_102812	C102390WA
OG6_119656	C102400CA
OG6_103163	C102410CA
OG6_101172	C102420CA
OG6_101886	C102430CA
OG6_102949	C102440CA
OG6_103042	C102450CA
OG6_100701	C102460WA
OG6r21_126898	C102470WA
OG6_101634	C102480WA
OG6_112968	C102490CA
OG6_103110	C102500WA
OG6_102735	C102510WA
OG6_133467	C102520WA
OG6_124587	C102530CA
OG6r21_167610	C102560WA
OG6_129608	C102570CA
OG6_137565	C102580WA
OG6_102840	C102590CA
OG6_103407	C102600WA
OG6_103753	C102610WA
OG6_100697	C102620CA
OG6_107620	C102630CA
OG6_104980	C102640CA
OG6_106922	C102650WA
OG6_110272	C102660CA
OG6_133175	C102670CA
OG6_133175	C102680CA
OG6r21_126899	C102690CA
OG6_102636	C102700CA
OG6_100669	C102710WA
OG6_116650	C102720WA
OG6r21_112707	C102730WA
OG6_102326	C102740CA
OG6_103614	C102750CA
OG6_100709	C102760WA
OG6_103660	C102770WA
OG6_118030	C102780WA
OG6_101932	C102790WA
OG6r21_126900	C102800WA
OG6_105241	C102810WA
OG6_100454	C102820WA
OG6r21_107057	C102830WA
OG6_103870	C102840WA
OG6_106131	C102850WA
OG6_101684	C102860CA
OG6_101358	C102870WA
OG6_104129	C102880CA
OG6r21_109246	C102890CA
OG6_108023	C102900CA
OG6_143697	C102910CA
OG6_102858	C102920WA
OG6_118170	C102930CA
OG6r21_106197	C102940CA
OG6_121128	C102950WA
OG6_112021	C102960CA
OG6_102710	C102970WA
OG6_100397	C102980WA
OG6_107620	C102990CA
OG6_127200	C103000WA
OG6_101037	C103010WA
OG6_100961	C103020CA
OG6_100841	C103030WA
OG6r21_112708	C103040WA
OG6_103153	C103050WA
OG6_103365	C103060CA
OG6_100406	C103070CA
OG6_108522	C103080CA
OG6_100723	C103090WA
OG6_100476	C103100WA
OG6_101188	C103110WA
OG6_127248	C103120WA
OG6_112760	C103130CA
OG6_499989	C103140WA
OG6_112036	C103150CA
OG6_103250	C103160CA
OG6_127160	C103170CA
OG6_101396	C103180WA
OG6_117007	C103190CA
OG6_129925	C103200CA
OG6_108099	C103210CA
OG6_100283	C103220CA
OG6_191818	C103230CA
OG6_101441	C103240WA
OG6_119798	C103250CA
OG6_102902	C103260WA
OG6_102318	C103270WA
OG6_112794	C103280WA
OG6_104616	C103290WA
OG6_100777	C103300CA
OG6_102754	C103310WA
OG6_102025	C103320CA
OG6_103112	C103330CA
OG6_106907	C103340CA
OG6_101314	C103350CA
OG6_102222	C103360WA
OG6_100425	C103370WA
OG6_100616	C103380WA
OG6_100540	C103390WA
OG6_500046	C103400WA
OG6r21_108052	C103410WA
OG6_108836	C103430WA
OG6_118274	C103440CA
OG6_114861	C103450CA
OG6r21_101516	C103460CA
OG6_100860	C103470CA
OG6_101039	C103480CA
OG6_101954	C103490WA
OG6_101123	C103500WA
OG6_165199	C103510CA
OG6_101680	C103520WA
OG6_137788	C103530WA
OG6_222604	C103540CA
OG6_102655	C103550CA
OG6_101024	C103560CA
OG6r21_167611	C103580WA
OG6_103527	C103600WA
OG6_100609	C103610CA
OG6_100322	C103620CA
OG6_104423	C103630WA
OG6_104378	C103640CA
OG6_102880	C103650CA
OG6r21_104642	C103660WA
OG6_100720	C103670CA
OG6_105573	C103680WA
OG6_102404	C103690WA
OG6_161859	C103710CA
OG6_100952	C103720CA
OG6_100239	C103730CA
OG6_153292	C103740WA
OG6_104240	C103750WA
OG6_110525	C103760CA
OG6_500837	C103770WA
OG6_101762	C103780CA
OG6_104296	C103790CA
OG6_102854	C103800WA
OG6_136807	C103810CA
OG6_102382	C103820WA
OG6_101821	C103830CA
OG6r21_103535	C103840WA
OG6r21_110846	C103860CA
OG6_101873	C103870CA
OG6_127549	C103880CA
OG6_127524	C103890WA
OG6_137696	C103900WA
OG6_115946	C103910CA
OG6_100625	C103920CA
OG6r21_103121	C103930WA
OG6_103841	C103940WA
OG6_103094	C103950CA
OG6_193892	C103960CA
OG6r21_139954	C103970WA
OG6_119785	C103980WA
OG6_105888	C103990WA
OG6_129979	C104000CA
OG6_101126	C104010CA
OG6_101126	C104020CA
OG6_101912	C104030WA
OG6_103394	C104040CA
OG6r21_107058	C104050CA
OG6_100952	C104060WA
OG6_102100	C104070CA
OG6_103574	C104080WA
OG6_101562	C104090CA
OG6_101484	C104100CA
OG6_108921	C104110WA
OG6_102431	C104120CA
OG6_102525	C104130WA
OG6_101126	C104140WA
OG6_104650	C104150CA
OG6_132750	C104160CA
OG6_100077	C104170CA
OG6_100082	C104180WA
OG6_111877	C104190CA
OG6_104324	C104200CA
OG6_104146	C104210CA
OG6_102775	C104220CA
OG6_102724	C104230WA
