Uniprot ID	Orthomcl ID
A0A1D8PCA8	OG6_100566
A0A1D8PCN0	OG6_100506
A0A1D8PCY5	OG6_108099
A0A1D8PD38	OG6_100239
A0A1D8PDA6	OG6_100334
A0A1D8PEG3	OG6_100362
A0A1D8PF32	OG6_106277
A0A1D8PHA3	OG6_102032
A0A1D8PHU1	OG6_100326
A0A1D8PIH0	OG6_101893
A0A1D8PIK2	OG6r20_106957
A0A1D8PJG1	OG6_100285
A0A1D8PJX3	OG6_101749
A0A1D8PKE2	OG6_100914
A0A1D8PKY1	OG6_107465
A0A1D8PKY7	OG6_103269
A0A1D8PN61	OG6_100252
A0A1D8PNR5	OG6_110824
A0A1D8PP43	OG6_100245
A0A1D8PQT2	OG6_101854
A0A1D8PS50	OG6_100217
A0A1D8PT03	OG6_101948
A0A1D8PT38	OG6_100339
G1UB11	OG6_101117
G1UB61	OG6_108525
O13289	OG6_100495
O13318	OG6_107446
O13426	OG6_100262
O42766	OG6_100283
O43133	OG6_100597
O59923	OG6_103854
O59933	OG6_102540
O74189	OG6_101353
O74198	OG6_104760
O74201	OG6_101178
P0CU34	OG6_100111
P0CY31	OG6_101252
P0CY33	OG6_104797
P0CY34	OG6_108387
P10613	OG6_103408
P13649	OG6_100519
P22011	OG6_100528
P29717	OG6_107620
P30418	OG6_101234
P30575	OG6_100260
P34948	OG6_102059
P39827	OG6_104031
P40954	OG6_107621
P43063	OG6_100334
P43072	OG6_101494
P43076	OG6_107446
P46273	OG6_100440
P46592	OG6_104259
P46593	OG6r20_115348
P46614	OG6_100258
P82612	OG6_101500
P83774	OG6_101640
P83776	OG6_100418
P86029	OG6_111226
Q00310	OG6_104259
Q07730	OG6r20_115347
Q59KI0	OG6_102276
Q59KM8	OG6_111464
Q59KY8	OG6_103044
Q59LF3	OG6_109735
Q59MN0	OG6_108710
Q59N42	OG6_100222
Q59NH8	OG6_100917
Q59NP5	OG6_130006
Q59Q46	OG6_100534
Q59RA2	OG6_102569
Q59S64	OG6_100396
Q59S78	OG6_101164
Q59TP1	OG6r20_115348
Q59UP6	OG6r20_100573
Q59UT4	OG6r20_100573
Q59UT5	OG6r20_103983
Q59UY8	OG6_100483
Q59VG6	OG6_102250
Q59W33	OG6_100385
Q59WH0	OG6_100940
Q59X23	OG6_105038
Q59XU5	OG6_100217
Q59XX2	OG6_133467
Q59Y31	OG6r20_105287
Q59Y37	OG6_101948
Q59ZI9	OG6_100821
Q5A0W9	OG6r20_126637
Q5A0X8	OG6r20_139615
Q5A109	OG6_101107
Q5A1D3	OG6_100339
Q5A1W9	OG6_110516
Q5A1Z5	OG6r20_115749
Q5A343	OG6r20_126623
Q5A3V6	OG6_100984
Q5A4E3	OG6_106964
Q5A5Q6	OG6r20_107951
Q5A5U4	OG6r20_100255
Q5A6B6	OG6_110133
Q5A747	OG6_100468
Q5A761	OG6_101771
Q5A7Q2	OG6_100632
Q5A960	OG6_100220
Q5AAG6	OG6_100339
Q5AAH2	OG6_107621
Q5AAI8	OG6_100833
Q5ABC6	OG6_112320
Q5ABD0	OG6_100985
Q5ABG0	OG6_100759
Q5ABZ2	OG6r20_103086
Q5ACZ2	OG6_109780
Q5ADM7	OG6_100218
Q5ADS0	OG6_100667
Q5AF03	OG6_105123
Q5AF39	OG6r20_112554
Q5AF41	OG6r20_112554
Q5AFA2	OG6_142788
Q5AFE4	OG6_105748
Q5AFN8	OG6r20_126606
Q5AFP3	OG6_103066
Q5AG40	OG6_100670
Q5AG77	OG6_103579
Q5AHG6	OG6_100157
Q5AHK2	OG6_102974
Q5AIR7	OG6_105573
Q5AJC0	OG6_107120
Q5AJY5	OG6_122891
Q5AKZ2	OG6_102319
Q5ALY0	OG6_100199
Q5AMT2	OG6_108914
Q5AP52	OG6r20_105279
Q5AP53	OG6_100850
Q5AP71	OG6_100326
Q5APC8	OG6r20_167150
Q5APD4	OG6_101437
Q8TG40	OG6_101453
Q8TGH6	OG6_101794
Q92206	OG6_103798
Q92207	OG6_102675
Q92410	OG6_100616
Q9P940	OG6_100657
Q9URB4	OG6_102020
Q9Y7F0	OG6_100111
A0A1D8PC43	OG6_102327
A0A1D8PCX8	OG6_101188
A0A1D8PD39	OG6_101762
A0A1D8PD83	OG6_104146
A0A1D8PDB5	OG6_105980
A0A1D8PDV5	OG6_100633
A0A1D8PEA2	OG6_100818
A0A1D8PFN6	OG6_101440
A0A1D8PFS4	OG6_100975
A0A1D8PH17	OG6_102324
A0A1D8PH63	OG6_101338
A0A1D8PH78	OG6_101661
A0A1D8PH81	OG6_100394
A0A1D8PH98	OG6_102726
A0A1D8PHA2	OG6_105128
A0A1D8PHR5	OG6_101948
A0A1D8PHR9	OG6_101358
A0A1D8PHW4	OG6_101598
A0A1D8PI07	OG6_110868
A0A1D8PI64	OG6_102718
A0A1D8PI71	OG6_103822
A0A1D8PIC7	OG6_102075
A0A1D8PIH3	OG6r20_103993
A0A1D8PJ17	OG6_100248
A0A1D8PJ31	OG6_100438
A0A1D8PJ73	OG6_101398
A0A1D8PJ80	OG6_100547
A0A1D8PKB4	OG6_101750
A0A1D8PKC9	OG6_100232
A0A1D8PKM5	OG6_105799
A0A1D8PLP3	OG6_104587
A0A1D8PLR7	OG6_100886
A0A1D8PMR6	OG6_101746
A0A1D8PMZ4	OG6r20_140391
A0A1D8PN14	OG6_112813
A0A1D8PNV9	OG6_101561
A0A1D8PPC9	OG6_100257
A0A1D8PPI2	OG6_101409
A0A1D8PPI5	OG6_103579
A0A1D8PQG0	OG6_114945
A0A1D8PQJ5	OG6_100060
A0A1D8PSQ3	OG6_100614
A0A1D8PSV5	OG6_100514
A0A1D8PT02	OG6_101948
A0A1D8PTG5	OG6_101597
A0A1D8PTW6	OG6_101064
A0A1D8PTX1	OG6_102757
A0A1D8PU69	OG6_100096
G1UB37	OG6_112504
O13332	OG6_110014
O42817	OG6_100806
O42825	OG6_101682
O43101	OG6_100327
O74261	OG6_100393
O93827	OG6_100460
O94069	OG6_100359
P0C075	OG6_100707
P0C8L0	OG6_102198
P12461	OG6_101427
P28870	OG6_100299
P31353	OG6_101634
P42800	OG6_100830
P48989	OG6_100082
P53697	OG6_132885
P53698	OG6_101063
P78594	OG6_114842
P83773	OG6_109868
P83779	OG6_104452
P87185	OG6_100745
P87219	OG6_119760
Q04802	OG6_102139
Q59KZ2	OG6_100390
Q59KZ3	OG6_100591
Q59L72	OG6_114872
Q59LN9	OG6_106270
Q59LU0	OG6_100364
Q59MA6	OG6r20_101234
Q59N20	OG6r20_139694
Q59N29	OG6_102339
Q59N80	OG6_100769
Q59P03	OG6_100179
Q59PF9	OG6r20_166835
Q59PZ5	OG6_101489
Q59Q30	OG6_112813
Q59QC4	OG6_103826
Q59QN7	OG6_100664
Q59RG0	OG6_114945
Q59S63	OG6_101974
Q59S66	OG6_100573
Q59SU5	OG6_100077
Q59TD5	OG6_101044
Q59U81	OG6_101779
Q59UG2	OG6_103165
Q59VN2	OG6_100119
Q59VP1	OG6_100082
Q59VP2	OG6_100077
Q59WB3	OG6_103579
Q59WC6	OG6_111253
Q59WD3	OG6_100297
Q59WH7	OG6_100543
Q59X38	OG6_102136
Q59XA7	OG6r20_100214
Q59XL0	OG6r20_100214
Q59YF0	OG6_100497
Q59Z14	OG6_101312
Q59ZX3	OG6_101367
Q5A0A9	OG6_100199
Q5A1B0	OG6_102847
Q5A1D5	OG6_102309
Q5A1L6	OG6_112813
Q5A3Y5	OG6_107444
Q5A477	OG6_105424
Q5A4E2	OG6_100461
Q5A4N0	OG6_111526
Q5A4P2	OG6_102172
Q5A4Q1	OG6_100712
Q5A5U6	OG6r20_100255
Q5A5U9	OG6r20_100255
Q5A692	OG6_100919
Q5A6K8	OG6_101387
Q5A6M0	OG6r20_292275
Q5A786	OG6_101239
Q5A7M3	OG6_103174
Q5A888	OG6_106304
Q5A985	OG6_101879
Q5AA09	OG6r20_101107
Q5AA40	OG6_113009
Q5AAS1	OG6_103547
Q5AAW3	OG6_101887
Q5AB87	OG6_100793
Q5ABR2	OG6_101658
Q5ABS1	OG6_103572
Q5ABV6	OG6r20_139655
Q5ACL7	OG6r20_110698
Q5AD78	OG6_109780
Q5ADL8	OG6r20_110681
Q5AEN1	OG6_101949
Q5AFB7	OG6_114251
Q5AGZ9	OG6_101635
Q5AH38	OG6_104734
Q5AI00	OG6_101123
Q5AI15	OG6_100425
Q5AJD0	OG6_101341
Q5AK59	OG6_102072
Q5AKU5	OG6_130006
Q5ALL3	OG6_101202
Q5ALL8	OG6_101807
Q5AMG5	OG6_100417
Q5AMH1	OG6r20_102487
Q5AML6	OG6_103680
Q5AMP3	OG6_103249
Q5ANE1	OG6_100060
Q5APF0	OG6_102659
Q5AQ47	OG6_103854
Q96VB9	OG6_100680
Q9HGT6	OG6_100275
Q9P8E3	OG6_100672
Q9UW26	OG6_100691
Q9Y7C4	OG6_102417
Q9Y872	OG6_100343
A0A1D8PC97	OG6_100137
A0A1D8PCB0	OG6_107778
A0A1D8PCB9	OG6_106167
A0A1D8PCD3	OG6_103517
A0A1D8PCI6	OG6_100732
A0A1D8PCM2	OG6_101745
A0A1D8PCQ5	OG6_100790
A0A1D8PCS7	OG6_103407
A0A1D8PCX9	OG6_108522
A0A1D8PCY8	OG6_100777
A0A1D8PDF4	OG6_101473
A0A1D8PDL6	OG6_100755
A0A1D8PDM8	OG6r20_103977
A0A1D8PDT3	OG6_100266
A0A1D8PDU3	OG6_100935
A0A1D8PE37	OG6_101156
A0A1D8PE92	OG6_100563
A0A1D8PEG2	OG6_100726
A0A1D8PEH5	OG6_103139
A0A1D8PEM4	OG6_103139
A0A1D8PEV4	OG6_100788
A0A1D8PF45	OG6_100852
A0A1D8PF54	OG6_101246
A0A1D8PF57	OG6_101591
A0A1D8PF68	OG6_100388
A0A1D8PFC8	OG6_103198
A0A1D8PFE1	OG6_101913
A0A1D8PFE4	OG6_100483
A0A1D8PFG4	OG6_101266
A0A1D8PFJ8	OG6_101049
A0A1D8PFL9	OG6_100966
A0A1D8PFR4	OG6_100127
A0A1D8PFV0	OG6_107140
A0A1D8PFV1	OG6_100849
A0A1D8PFX2	OG6_103748
A0A1D8PG16	OG6_101624
A0A1D8PG20	OG6_100686
A0A1D8PGE0	OG6_101264
A0A1D8PGG5	OG6_103565
A0A1D8PGR1	OG6_101679
A0A1D8PGS5	OG6_100541
A0A1D8PGS7	OG6_104105
A0A1D8PGU2	OG6_100254
A0A1D8PGU4	OG6_101254
A0A1D8PGY8	OG6_100955
A0A1D8PH20	OG6_102408
A0A1D8PH31	OG6_123100
A0A1D8PH42	OG6_100313
A0A1D8PH52	OG6_100472
A0A1D8PH55	OG6_103520
A0A1D8PH56	OG6_100496
A0A1D8PH96	OG6_119792
A0A1D8PHG7	OG6_114868
A0A1D8PHH7	OG6_100639
A0A1D8PHI0	OG6_101059
A0A1D8PHJ7	OG6_102197
A0A1D8PHP3	OG6_102323
A0A1D8PHV8	OG6_103317
A0A1D8PI15	OG6_101133
A0A1D8PI52	OG6_102474
A0A1D8PI58	OG6_101483
A0A1D8PI76	OG6_100903
A0A1D8PI78	OG6_102845
A0A1D8PIH2	OG6_110306
A0A1D8PIH5	OG6_101867
A0A1D8PIL8	OG6_112762
A0A1D8PJ08	OG6_100906
A0A1D8PJ25	OG6_109926
A0A1D8PJ29	OG6_103535
A0A1D8PJL5	OG6_102466
A0A1D8PJL8	OG6_101826
A0A1D8PJS7	OG6_101403
A0A1D8PJT8	OG6_102683
A0A1D8PK00	OG6_100711
A0A1D8PK22	OG6_100373
A0A1D8PK40	OG6_100773
A0A1D8PK61	OG6_100904
A0A1D8PK89	OG6_103579
A0A1D8PKA6	OG6_100844
A0A1D8PKB9	OG6_100313
A0A1D8PKL0	OG6_100844
A0A1D8PKQ8	OG6r20_292335
A0A1D8PKW2	OG6_101108
A0A1D8PKY4	OG6_107446
A0A1D8PKZ3	OG6_101150
A0A1D8PKZ9	OG6_100608
A0A1D8PL01	OG6_101632
A0A1D8PL06	OG6_100742
A0A1D8PL14	OG6_100416
A0A1D8PL68	OG6_359002
A0A1D8PL99	OG6_100737
A0A1D8PLC9	OG6_101208
A0A1D8PLF1	OG6_104618
A0A1D8PLI2	OG6_102471
A0A1D8PLJ3	OG6_101013
A0A1D8PLU4	OG6_500427
A0A1D8PM35	OG6_101695
A0A1D8PM41	OG6_101015
A0A1D8PM75	OG6_100932
A0A1D8PMB1	OG6_103579
A0A1D8PMB7	OG6_104447
A0A1D8PMP9	OG6_100342
A0A1D8PMQ1	OG6_100962
A0A1D8PMU8	OG6_100442
A0A1D8PN12	OG6_112813
A0A1D8PN32	OG6_101849
A0A1D8PN46	OG6_104460
A0A1D8PN88	OG6_103579
A0A1D8PNG9	OG6_102837
A0A1D8PNH4	OG6_101295
A0A1D8PNI6	OG6_100687
A0A1D8PNJ2	OG6_104988
A0A1D8PNK3	OG6_100072
A0A1D8PNP3	OG6_103579
