Accession	Entry
OG6_102770	P00401
OG6_129836	P03875
OG6_129836	P03876
OG6_181774	P03877
OG6_102770	P03878
OG6_102770	Q9ZZX1
OG6_137876	Q9ZZX0
OG6_137875	P00856
OG6_102362	P00854
OG6_102198	P00163
OG6_500207	P03873
OG6_205594	Q9ZZW7
OG6_102198	P03879
OG6_101507	P61829
OG6_500400	P02381
OG6_134355	P03882
OG6_103253	P00410
OG6_128521	P03881
OG6_104028	P00420
OG6_198028	P34111
OG6_102677	P39702
OG6_101695	P32471
OG6_100083	P10591
OG6_103696	P39704
OG6_499957	P18411
OG6_115039	P18410
OG6_114985	P18409
OG6_500215	P31376
OG6_100353	P31373
OG6_142300	P31385
OG6_103098	P31377
OG6_100563	P31378
OG6_101100	P31383
OG6_104334	P31374
OG6_110243	P31379
OG6_103309	P31380
OG6_105051	P31386
OG6_101771	P31384
OG6_100863	P31381
OG6_101353	P31382
OG6_123083	P07866
OG6_102084	P10962
OG6_100089	P39524
OG6_500947	P39735
OG6_500095	P39734
OG6_100101	P32492
OG6_105078	P31109
OG6_499956	P39732
OG6_102543	P28004
OG6_103583	P28005
OG6_222536	P28003
OG6_121243	P39731
OG6_101241	P39730
OG6_102018	P39729
OG6_500220	Q3E741
OG6_222537	P39728
OG6_100258	P00549
OG6_101849	P06182
OG6_500965	P13365
OG6_112509	P11433
OG6_101674	P39727
OG6_137869	Q01329
OG6_100619	P39726
OG6_101206	Q3E793
OG6_104163	P39724
OG6_499942	P39723
OG6_101658	P39722
OG6_102257	P39721
OG6_222538	P39720
OG6_123074	P39719
OG6_100430	Q01574
OG6_500864	P39718
OG6_222540	P39717
OG6_102144	P27825
OG6_143832	P39715
OG6_152608	P39714
OG6_100349	P39713
OG6_100455	P39708
OG6_128677	P39712
OG6_500538	Q3E791
OG6_128677	Q6B2U8
OG6_500706	P39711
OG6_500237	O13512
OG6_128677	O13511
OG6_124924	P39709
OG6_222541	Q8TGK6
OG6_109825	P0CE92
OG6_102210	Q05359
OG6_500874	P39705
OG6_103359	P39706
OG6_101316	P22336
OG6_102602	P39707
OG6_100069	O13527
OG6_100069	P0CX57
OG6_116980	P27637
OG6_101413	P27616
OG6_104455	P22209
OG6_104840	P27636
OG6_109825	P39545
OG6_111794	D6VPM8
OG6_111794	P39547
OG6_111794	P39548
OG6_111794	P39549
OG6_111794	P39551
OG6_111794	P39552
OG6_500804	Q8TGV0
OG6_104379	P80235
OG6_101373	P35845
OG6_128677	P32768
OG6_222542	P39563
OG6_162024	P0CX18
OG6_500195	P39564
OG6_101372	P35842
OG6_106489	P35195
OG6_100082	P02294
OG6_100077	P04912
OG6_103119	P35194
OG6_179530	P33200
OG6_100069	Q12266
OG6_100069	Q12490
OG6_500821	P38210
OG6_113608	P32790
OG6_103167	P32479
OG6_500514	Q3E821
OG6_193608	P32789
OG6_500910	P32788
OG6_105381	P32784
OG6_101497	P32785
OG6_500861	P32786
OG6_109868	P32316
OG6_100339	P16892
OG6_101285	P32319
OG6_131696	P38208
OG6_105226	P38207
OG6_103267	P38206
OG6_101084	P13434
OG6_100411	P36775
OG6_101336	P29469
OG6_101428	P38205
OG6_500873	P38204
OG6_103409	P38203
OG6_100773	P0CX83
OG6_129994	P38202
OG6_135805	Q3E756
OG6_500824	P38201
OG6_100505	P18239
OG6_500881	P38200
OG6_103746	P38199
OG6_100984	P38066
OG6_500777	P38198
OG6_102459	P38121
OG6_101083	P38197
OG6_101447	P38065
OG6_101573	P38064
OG6_100470	P28274
OG6_500844	P0C268
OG6_101087	P18414
OG6_101631	P23724
OG6_110303	P38196
OG6_499927	P38195
OG6_500729	P38194
OG6_109499	P07256
OG6_500615	P38193
OG6_101578	P34216
OG6_100480	P38191
OG6_101315	P32602
OG6_115950	P34217
OG6_103737	P34218
OG6_222543	P34219
OG6_100330	P34220
OG6_100270	P34221
OG6_100991	P34222
OG6_102041	P34223
OG6_104914	Q3E7A4
OG6_143732	P34224
OG6_500753	P34225
OG6_118125	P34226
OG6_102884	P28742
OG6_100111	P34227
OG6_500036	P34228
OG6_101733	P38187
OG6_100356	P38063
OG6_187137	P35183
OG6_500572	Q8TGU8
OG6_103160	Q3E840
OG6_100802	P0CX39
OG6_103436	P32357
OG6_100083	P09435
OG6_100811	P09436
OG6_100707	P38182
OG6_102040	P38181
OG6_101213	P33893
OG6_500348	P38180
OG6_103036	P38179
OG6_101939	P38042
OG6_103553	P38041
OG6_109471	P38177
OG6_100370	P0CX41
OG6_102827	P38110
OG6_100459	P38176
OG6_106076	P38175
OG6_100815	P38174
OG6_101143	Q6Q595
OG6_100702	P38061
OG6_500254	P25046
OG6_103459	P38172
OG6_103100	P38170
OG6_103174	P38169
OG6_100771	P07251
OG6_100069	Q12260
OG6_100069	Q12491
OG6_500419	P0C269
OG6_222544	P38167
OG6_103301	P38166
OG6_500054	P38165
OG6_104395	P38164
OG6_102972	P24583
OG6_115599	P38163
OG6_129167	P38162
OG6_109825	Q3E770
OG6_108906	Q3E7Y5
OG6_108906	Q3E7Y4
OG6_108906	Q7M4S9
OG6_111461	P35172
OG6_100493	P35196
OG6_100316	P18900
OG6_103140	P38211
OG6_160274	P38212
OG6_102015	P38067
OG6_111244	P38213
OG6_127591	P38124
OG6_100120	P02309
OG6_100119	P61830
OG6_100346	P00817
OG6_100069	Q12217
OG6_100069	Q12193
OG6_500158	P38215
OG6_100315	P38068
OG6_116848	P38069
OG6_500623	P38216
OG6_101362	P38217
OG6_101745	P08431
OG6_100506	P04397
OG6_102769	P04385
OG6_110303	P05316
OG6_166187	P38218
OG6_105483	P29465
OG6_100983	P38072
OG6_100571	P38219
OG6_100989	P38071
OG6_100157	P38070
OG6_101561	P38221
OG6_103554	P38222
OG6_100849	P10664
OG6_173339	P38073
OG6_101444	P38074
OG6_103552	P38075
OG6_500344	P35206
OG6_100983	P23833
OG6_103535	P14180
