Gene Names	Accession
B9J08_000001	OG6r20_106133
B9J08_000002	OG6_105688
B9J08_000003	OG6_101746
B9J08_000004	OG6r20_139744
B9J08_000005	OG6_105977
B9J08_000006	OG6r20_109176
B9J08_000007	OG6_101230
B9J08_000008	OG6_114876
B9J08_000009	OG6_104675
B9J08_000010	OG6_102174
B9J08_000011	OG6_124904
B9J08_000012	OG6_100356
B9J08_000013	OG6_102200
B9J08_000014	OG6_100282
B9J08_000015	OG6_101528
B9J08_000016	OG6_100965
B9J08_000017	OG6_112275
B9J08_000018	OG6_101160
B9J08_000019	OG6r20_102217
B9J08_000020	OG6_100771
B9J08_000021	OG6r20_103075
B9J08_000022	OG6_106358
B9J08_000023	OG6_100948
B9J08_000024	OG6_119686
B9J08_000025	OG6_100390
B9J08_000026	OG6_100591
B9J08_000027	OG6_108186
B9J08_000028	OG6_103887
B9J08_000029	OG6_121405
B9J08_000030	OG6r20_102018
B9J08_000031	OG6_100833
B9J08_000032	OG6_100236
B9J08_000033	OG6_112012
B9J08_000034	OG6_102209
B9J08_000035	OG6_113521
B9J08_000036	OG6_113521
B9J08_000037	OG6_101809
B9J08_000038	OG6_103648
B9J08_000039	OG6_101611
B9J08_000040	OG6r20_101654
B9J08_000041	OG6r20_102782
B9J08_000042	OG6_105174
B9J08_000043	OG6_118303
B9J08_000044	OG6_103524
B9J08_000045	OG6_100877
B9J08_000046	OG6_101690
B9J08_000047	OG6_143354
B9J08_000048	OG6_103193
B9J08_000049	OG6_137739
B9J08_000050	OG6_137739
B9J08_000051	OG6_110272
B9J08_000052	OG6_106922
B9J08_000053	OG6_104980
B9J08_000054	OG6_107620
B9J08_000055	OG6_100697
B9J08_000056	OG6_103753
B9J08_000057	OG6_103407
B9J08_000058	OG6_102840
B9J08_000059	OG6r20_101803
B9J08_000060	OG6_123083
B9J08_000061	OG6_500579
B9J08_000062	OG6_511044
B9J08_000063	OG6_100897
B9J08_000064	OG6_100325
B9J08_000065	OG6_103435
B9J08_000066	OG6_152992
B9J08_000067	OG6_102985
B9J08_000068	OG6r20_101231
B9J08_000069	OG6_103376
B9J08_000070	OG6r20_101500
B9J08_000071	OG6_112026
B9J08_000072	OG6_100380
B9J08_000073	OG6_100380
B9J08_000074	OG6_100293
B9J08_000075	OG6_100534
B9J08_000076	OG6_102866
B9J08_000077	OG6_102084
B9J08_000078	OG6_112506
B9J08_000079	OG6_113582
B9J08_000080	OG6_100570
