Entry	Gene Names	Protein names	Mass
A0A2H0ZNK0	B9J08_003814 B9J08_01672	Histone acetyltransferase ESA1 (EC 2.3.1.48) (Protein 2-hydroxyisobutyryltransferase ESA1) (Protein acetyltransferase ESA1) (Protein crotonyltransferase ESA1)	58786
A0A2H0ZSW5	B9J08_003355 CA7LBN_000647 CJI97_003430	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1) (Serine/threonine-protein kinase atg1)	96292
A0A2H0ZW78	B9J08_002043 CA7LBN_003182	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	171567
A0A2H1A768	CDR1 B9J08_000164	Pleiotropic ABC efflux transporter of multiple drugs CDR1	169964
A0A2H1A7E4	B9J08_000248 CA7LBN_001912	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	54162
A0A2H1A7Z3	B9J08_000462 B9J08_02420	Serine/threonine-protein phosphatase (EC 3.1.3.16)	37693
A0AAW0VDP8	B9J08_03116	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	171567
A0A0L0P597	HAM1 QG37_01492	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	23281
A0A2H0ZCT4	B9J08_005133 CA7LBN_003638	Histone acetyltransferase GCN5 (EC 2.3.1.48)	60515
A0A2H0ZD56	B9J08_005249 B9J08_04132	non-specific serine/threonine protein kinase (EC 2.7.11.1)	144886
A0A2H0ZD57	B9J08_004928 CA7LBN_003815 CJI97_005012	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	102747
A0A2H0ZDJ2	B9J08_005396 B9J08_04279	Protein kinase domain-containing protein	166748
A0A2H0ZDK9	B9J08_005412 CA7LBN_003404	non-specific serine/threonine protein kinase (EC 2.7.11.1)	191285
A0A2H0ZF20	PIM1 B9J08_005478 CA7LBN_003345	Lon protease homolog, mitochondrial (EC 3.4.21.53)	118158
A0A2H0ZF39	ADK1 B9J08_005499 B9J08_04381	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	27545
A0A2H0ZIL9	B9J08_004309 CA7LBN_004409	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	107630
A0A2H0ZIZ6	B9J08_004406 B9J08_05160	EKC/KEOPS complex subunit BUD32 (EC 2.7.11.1) (Atypical Serine/threonine protein kinase BUD32) (EKC/KEOPS complex subunit bud32)	28858
A0A2H0ZJJ4	PSD2 B9J08_004295 CA7LBN_004398 CJI97_004358	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	128542
A0A2H0ZK46	B9J08_002611 CA7LBN_001245	non-specific serine/threonine protein kinase (EC 2.7.11.1)	142613
A0A2H0ZLB1	PIF1 B9J08_002675 B9J08_00535	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	87647
A0A2H0ZMI9	B9J08_003114 CA7LBN_000861	Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1)	270199
A0A2H0ZMK1	B9J08_003467 CA7LBN_000548	DNA replication licensing factor MCM4 (EC 3.6.4.12)	100578
A0A2H0ZMN8	B9J08_003505 CA7LBN_000519 CJI97_003579	Histone acetyltransferase (EC 2.3.1.48)	96388
A0A2H0ZMW0	PSD1 B9J08_003240 B9J08_01101	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	68716
A0A2H0ZNV4	B9J08_003920 B9J08_01778	non-specific serine/threonine protein kinase (EC 2.7.11.1)	124976
A0A2H0ZUG7	B9J08_004028 B9J08_01885	non-specific serine/threonine protein kinase (EC 2.7.11.1)	87130
A0A2H0ZVJ1	B9J08_002458 B9J08_05468	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	47420
A0A2H0ZWA0	B9J08_002060 B9J08_03133	non-specific serine/threonine protein kinase (EC 2.7.11.1)	68571
A0A2H0ZWS3	B9J08_002235 B9J08_03308	non-specific serine/threonine protein kinase (EC 2.7.11.1)	52957
A0A2H0ZXX2	B9J08_001611 CA7LBN_001578	non-specific serine/threonine protein kinase (EC 2.7.11.1)	131636
A0A2H0ZZD8	B9J08_001348 B9J08_03598	Aurora kinase (EC 2.7.11.1)	36130
A0A2H0ZZY1	B9J08_001138 CA7LBN_002950 CJI97_001468	non-specific serine/threonine protein kinase (EC 2.7.11.1)	279155
A0A2H1A113	B9J08_001105 CA7LBN_002980 CJI97_001501	DNA replication licensing factor MCM6 (EC 3.6.4.12)	103563
A0A2H1A1C6	B9J08_001075 B9J08_03325	Serine/threonine-protein kinase Tel1 (EC 2.7.11.1)	322630
